group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp,SyncPermutation,16,,,976969.0,ns,487262
permutation__cmp__lmp,SyncPermutation,16,,,1953937.0,ns,974524
permutation__cmp__lmp,SyncPermutation,16,,,3518747.0,ns,1461786
permutation__cmp__lmp,SyncPermutation,16,,,3961879.0,ns,1949048
permutation__cmp__lmp,SyncPermutation,16,,,5005352.0,ns,2436310
permutation__cmp__lmp,SyncPermutation,16,,,5986321.0,ns,2923572
permutation__cmp__lmp,SyncPermutation,16,,,7103000.0,ns,3410834
permutation__cmp__lmp,SyncPermutation,16,,,8138673.0,ns,3898096
permutation__cmp__lmp,SyncPermutation,16,,,9032035.0,ns,4385358
permutation__cmp__lmp,SyncPermutation,16,,,9946800.0,ns,4872620
permutation__cmp__lmp,SyncPermutation,16,,,10869764.0,ns,5359882
permutation__cmp__lmp,SyncPermutation,16,,,12402072.0,ns,5847144
permutation__cmp__lmp,SyncPermutation,16,,,11980243.0,ns,6334406
permutation__cmp__lmp,SyncPermutation,16,,,13135424.0,ns,6821668
permutation__cmp__lmp,SyncPermutation,16,,,14670432.0,ns,7308930
permutation__cmp__lmp,SyncPermutation,16,,,15937222.0,ns,7796192
permutation__cmp__lmp,SyncPermutation,16,,,16208841.0,ns,8283454
permutation__cmp__lmp,SyncPermutation,16,,,18464599.0,ns,8770716
permutation__cmp__lmp,SyncPermutation,16,,,18696116.0,ns,9257978
permutation__cmp__lmp,SyncPermutation,16,,,20353632.0,ns,9745240
permutation__cmp__lmp,SyncPermutation,16,,,20352233.0,ns,10232502
permutation__cmp__lmp,SyncPermutation,16,,,22450280.0,ns,10719764
permutation__cmp__lmp,SyncPermutation,16,,,22318370.0,ns,11207026
permutation__cmp__lmp,SyncPermutation,16,,,24054493.0,ns,11694288
permutation__cmp__lmp,SyncPermutation,16,,,25293080.0,ns,12181550
permutation__cmp__lmp,SyncPermutation,16,,,26116038.0,ns,12668812
permutation__cmp__lmp,SyncPermutation,16,,,26344954.0,ns,13156074
permutation__cmp__lmp,SyncPermutation,16,,,27537338.0,ns,13643336
permutation__cmp__lmp,SyncPermutation,16,,,29169253.0,ns,14130598
permutation__cmp__lmp,SyncPermutation,16,,,29187854.0,ns,14617860
permutation__cmp__lmp,SyncPermutation,16,,,31710831.0,ns,15105122
permutation__cmp__lmp,SyncPermutation,16,,,31808039.0,ns,15592384
permutation__cmp__lmp,SyncPermutation,16,,,32772606.0,ns,16079646
permutation__cmp__lmp,SyncPermutation,16,,,33559562.0,ns,16566908
permutation__cmp__lmp,SyncPermutation,16,,,35203077.0,ns,17054170
permutation__cmp__lmp,SyncPermutation,16,,,36581875.0,ns,17541432
permutation__cmp__lmp,SyncPermutation,16,,,35433293.0,ns,18028694
permutation__cmp__lmp,SyncPermutation,16,,,37627848.0,ns,18515956
permutation__cmp__lmp,SyncPermutation,16,,,38379801.0,ns,19003218
permutation__cmp__lmp,SyncPermutation,16,,,40166927.0,ns,19490480
permutation__cmp__lmp,SyncPermutation,16,,,40896878.0,ns,19977742
permutation__cmp__lmp,SyncPermutation,16,,,41611828.0,ns,20465004
permutation__cmp__lmp,SyncPermutation,16,,,42532193.0,ns,20952266
permutation__cmp__lmp,SyncPermutation,16,,,43909590.0,ns,21439528
permutation__cmp__lmp,SyncPermutation,16,,,46211852.0,ns,21926790
permutation__cmp__lmp,SyncPermutation,16,,,46135447.0,ns,22414052
permutation__cmp__lmp,SyncPermutation,16,,,47553346.0,ns,22901314
permutation__cmp__lmp,SyncPermutation,16,,,48430508.0,ns,23388576
permutation__cmp__lmp,SyncPermutation,16,,,48891441.0,ns,23875838
permutation__cmp__lmp,SyncPermutation,16,,,49511184.0,ns,24363100
permutation__cmp__lmp,SyncPermutation,16,,,50279738.0,ns,24850362
permutation__cmp__lmp,SyncPermutation,16,,,51268307.0,ns,25337624
permutation__cmp__lmp,SyncPermutation,16,,,51577430.0,ns,25824886
permutation__cmp__lmp,SyncPermutation,16,,,52296180.0,ns,26312148
permutation__cmp__lmp,SyncPermutation,16,,,54540338.0,ns,26799410
permutation__cmp__lmp,SyncPermutation,16,,,54774555.0,ns,27286672
permutation__cmp__lmp,SyncPermutation,16,,,56681388.0,ns,27773934
permutation__cmp__lmp,SyncPermutation,16,,,57365836.0,ns,28261196
permutation__cmp__lmp,SyncPermutation,16,,,58397110.0,ns,28748458
permutation__cmp__lmp,SyncPermutation,16,,,58612324.0,ns,29235720
permutation__cmp__lmp,SyncPermutation,16,,,60095828.0,ns,29722982
permutation__cmp__lmp,SyncPermutation,16,,,61547331.0,ns,30210244
permutation__cmp__lmp,SyncPermutation,16,,,63725084.0,ns,30697506
permutation__cmp__lmp,SyncPermutation,16,,,65665821.0,ns,31184768
permutation__cmp__lmp,SyncPermutation,16,,,64197618.0,ns,31672030
permutation__cmp__lmp,SyncPermutation,16,,,65456906.0,ns,32159292
permutation__cmp__lmp,SyncPermutation,16,,,67008416.0,ns,32646554
permutation__cmp__lmp,SyncPermutation,16,,,67652760.0,ns,33133816
permutation__cmp__lmp,SyncPermutation,16,,,68704634.0,ns,33621078
