group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp,WordPermutation,8,,,1001075.0,ns,118885
permutation__cmp__lmp,WordPermutation,8,,,2026452.0,ns,237770
permutation__cmp__lmp,WordPermutation,8,,,2838913.0,ns,356655
permutation__cmp__lmp,WordPermutation,8,,,3868089.0,ns,475540
permutation__cmp__lmp,WordPermutation,8,,,5045378.0,ns,594425
permutation__cmp__lmp,WordPermutation,8,,,5720929.0,ns,713310
permutation__cmp__lmp,WordPermutation,8,,,6651898.0,ns,832195
permutation__cmp__lmp,WordPermutation,8,,,7330449.0,ns,951080
permutation__cmp__lmp,WordPermutation,8,,,8976472.0,ns,1069965
permutation__cmp__lmp,WordPermutation,8,,,9105882.0,ns,1188850
permutation__cmp__lmp,WordPermutation,8,,,10910717.0,ns,1307735
permutation__cmp__lmp,WordPermutation,8,,,11897290.0,ns,1426620
permutation__cmp__lmp,WordPermutation,8,,,12477034.0,ns,1545505
permutation__cmp__lmp,WordPermutation,8,,,13843936.0,ns,1664390
permutation__cmp__lmp,WordPermutation,8,,,15072429.0,ns,1783275
permutation__cmp__lmp,WordPermutation,8,,,16242616.0,ns,1902160
permutation__cmp__lmp,WordPermutation,8,,,16971671.0,ns,2021045
permutation__cmp__lmp,WordPermutation,8,,,17984646.0,ns,2139930
permutation__cmp__lmp,WordPermutation,8,,,18470382.0,ns,2258815
permutation__cmp__lmp,WordPermutation,8,,,19630169.0,ns,2377700
permutation__cmp__lmp,WordPermutation,8,,,20827860.0,ns,2496585
permutation__cmp__lmp,WordPermutation,8,,,21720426.0,ns,2615470
permutation__cmp__lmp,WordPermutation,8,,,22144758.0,ns,2734355
permutation__cmp__lmp,WordPermutation,8,,,22657397.0,ns,2853240
permutation__cmp__lmp,WordPermutation,8,,,23557963.0,ns,2972125
permutation__cmp__lmp,WordPermutation,8,,,24617744.0,ns,3091010
permutation__cmp__lmp,WordPermutation,8,,,27028823.0,ns,3209895
permutation__cmp__lmp,WordPermutation,8,,,25717526.0,ns,3328780
permutation__cmp__lmp,WordPermutation,8,,,28463831.0,ns,3447665
permutation__cmp__lmp,WordPermutation,8,,,26613093.0,ns,3566550
permutation__cmp__lmp,WordPermutation,8,,,29845834.0,ns,3685435
permutation__cmp__lmp,WordPermutation,8,,,31541361.0,ns,3804320
permutation__cmp__lmp,WordPermutation,8,,,32280817.0,ns,3923205
permutation__cmp__lmp,WordPermutation,8,,,33532211.0,ns,4042090
permutation__cmp__lmp,WordPermutation,8,,,33990845.0,ns,4160975
permutation__cmp__lmp,WordPermutation,8,,,34333170.0,ns,4279860
permutation__cmp__lmp,WordPermutation,8,,,35867886.0,ns,4398745
permutation__cmp__lmp,WordPermutation,8,,,37411301.0,ns,4517630
permutation__cmp__lmp,WordPermutation,8,,,39038823.0,ns,4636515
permutation__cmp__lmp,WordPermutation,8,,,40003395.0,ns,4755400
permutation__cmp__lmp,WordPermutation,8,,,41166282.0,ns,4874285
permutation__cmp__lmp,WordPermutation,8,,,42167557.0,ns,4993170
permutation__cmp__lmp,WordPermutation,8,,,42997819.0,ns,5112055
permutation__cmp__lmp,WordPermutation,8,,,43886186.0,ns,5230940
permutation__cmp__lmp,WordPermutation,8,,,45633517.0,ns,5349825
permutation__cmp__lmp,WordPermutation,8,,,46278765.0,ns,5468710
permutation__cmp__lmp,WordPermutation,8,,,46850808.0,ns,5587595
permutation__cmp__lmp,WordPermutation,8,,,47610864.0,ns,5706480
permutation__cmp__lmp,WordPermutation,8,,,48350621.0,ns,5825365
permutation__cmp__lmp,WordPermutation,8,,,49925038.0,ns,5944250
permutation__cmp__lmp,WordPermutation,8,,,50551385.0,ns,6063135
permutation__cmp__lmp,WordPermutation,8,,,51683669.0,ns,6182020
permutation__cmp__lmp,WordPermutation,8,,,52827256.0,ns,6300905
permutation__cmp__lmp,WordPermutation,8,,,52287114.0,ns,6419790
permutation__cmp__lmp,WordPermutation,8,,,52710746.0,ns,6538675
permutation__cmp__lmp,WordPermutation,8,,,52929063.0,ns,6657560
permutation__cmp__lmp,WordPermutation,8,,,56326417.0,ns,6776445
permutation__cmp__lmp,WordPermutation,8,,,57157780.0,ns,6895330
permutation__cmp__lmp,WordPermutation,8,,,57445701.0,ns,7014215
permutation__cmp__lmp,WordPermutation,8,,,59060022.0,ns,7133100
permutation__cmp__lmp,WordPermutation,8,,,61385196.0,ns,7251985
permutation__cmp__lmp,WordPermutation,8,,,62036145.0,ns,7370870
permutation__cmp__lmp,WordPermutation,8,,,61844730.0,ns,7489755
permutation__cmp__lmp,WordPermutation,8,,,61815729.0,ns,7608640
permutation__cmp__lmp,WordPermutation,8,,,64153403.0,ns,7727525
permutation__cmp__lmp,WordPermutation,8,,,65435899.0,ns,7846410
permutation__cmp__lmp,WordPermutation,8,,,66604887.0,ns,7965295
permutation__cmp__lmp,WordPermutation,8,,,65993141.0,ns,8084180
permutation__cmp__lmp,WordPermutation,8,,,68633839.0,ns,8203065
permutation__cmp__lmp,WordPermutation,8,,,70504479.0,ns,8321950
permutation__cmp__lmp,WordPermutation,8,,,70828703.0,ns,8440835
permutation__cmp__lmp,WordPermutation,8,,,71528956.0,ns,8559720
permutation__cmp__lmp,WordPermutation,8,,,72948461.0,ns,8678605
permutation__cmp__lmp,WordPermutation,8,,,73997540.0,ns,8797490
permutation__cmp__lmp,WordPermutation,8,,,75321339.0,ns,8916375
permutation__cmp__lmp,WordPermutation,8,,,74605886.0,ns,9035260
permutation__cmp__lmp,WordPermutation,8,,,76715144.0,ns,9154145
permutation__cmp__lmp,WordPermutation,8,,,75789275.0,ns,9273030
permutation__cmp__lmp,WordPermutation,8,,,77065370.0,ns,9391915
permutation__cmp__lmp,WordPermutation,8,,,80124499.0,ns,9510800
permutation__cmp__lmp,WordPermutation,8,,,80456324.0,ns,9629685
permutation__cmp__lmp,WordPermutation,8,,,81744120.0,ns,9748570
permutation__cmp__lmp,WordPermutation,8,,,83466350.0,ns,9867455
permutation__cmp__lmp,WordPermutation,8,,,84218305.0,ns,9986340
permutation__cmp__lmp,WordPermutation,8,,,84668339.0,ns,10105225
permutation__cmp__lmp,WordPermutation,8,,,86708792.0,ns,10224110
permutation__cmp__lmp,WordPermutation,8,,,87679164.0,ns,10342995
permutation__cmp__lmp,WordPermutation,8,,,87697666.0,ns,10461880
permutation__cmp__lmp,WordPermutation,8,,,89214679.0,ns,10580765
