group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp,WordPermutation,8,,,980293.0,ns,130377
permutation__cmp__lmp,WordPermutation,8,,,1966988.0,ns,260754
permutation__cmp__lmp,WordPermutation,8,,,3045492.0,ns,391131
permutation__cmp__lmp,WordPermutation,8,,,4140795.0,ns,521508
permutation__cmp__lmp,WordPermutation,8,,,5003479.0,ns,651885
permutation__cmp__lmp,WordPermutation,8,,,5974371.0,ns,782262
permutation__cmp__lmp,WordPermutation,8,,,6871557.0,ns,912639
permutation__cmp__lmp,WordPermutation,8,,,7904255.0,ns,1043016
permutation__cmp__lmp,WordPermutation,8,,,8971358.0,ns,1173393
permutation__cmp__lmp,WordPermutation,8,,,10028658.0,ns,1303770
permutation__cmp__lmp,WordPermutation,8,,,10922643.0,ns,1434147
permutation__cmp__lmp,WordPermutation,8,,,12234469.0,ns,1564524
permutation__cmp__lmp,WordPermutation,8,,,12917935.0,ns,1694901
permutation__cmp__lmp,WordPermutation,8,,,13848323.0,ns,1825278
permutation__cmp__lmp,WordPermutation,8,,,15305763.0,ns,1955655
permutation__cmp__lmp,WordPermutation,8,,,15914021.0,ns,2086032
permutation__cmp__lmp,WordPermutation,8,,,16992924.0,ns,2216409
permutation__cmp__lmp,WordPermutation,8,,,17787800.0,ns,2346786
permutation__cmp__lmp,WordPermutation,8,,,18765094.0,ns,2477163
permutation__cmp__lmp,WordPermutation,8,,,19778090.0,ns,2607540
permutation__cmp__lmp,WordPermutation,8,,,20929300.0,ns,2737917
permutation__cmp__lmp,WordPermutation,8,,,21722276.0,ns,2868294
permutation__cmp__lmp,WordPermutation,8,,,22880787.0,ns,2998671
permutation__cmp__lmp,WordPermutation,8,,,23726967.0,ns,3129048
permutation__cmp__lmp,WordPermutation,8,,,24947083.0,ns,3259425
permutation__cmp__lmp,WordPermutation,8,,,25585144.0,ns,3389802
permutation__cmp__lmp,WordPermutation,8,,,26606641.0,ns,3520179
permutation__cmp__lmp,WordPermutation,8,,,27849060.0,ns,3650556
permutation__cmp__lmp,WordPermutation,8,,,29259494.0,ns,3780933
permutation__cmp__lmp,WordPermutation,8,,,29740841.0,ns,3911310
permutation__cmp__lmp,WordPermutation,8,,,30735736.0,ns,4041687
permutation__cmp__lmp,WordPermutation,8,,,31917249.0,ns,4172064
permutation__cmp__lmp,WordPermutation,8,,,32924045.0,ns,4302441
permutation__cmp__lmp,WordPermutation,8,,,33617911.0,ns,4432818
permutation__cmp__lmp,WordPermutation,8,,,34802124.0,ns,4563195
permutation__cmp__lmp,WordPermutation,8,,,35980137.0,ns,4693572
permutation__cmp__lmp,WordPermutation,8,,,36566593.0,ns,4823949
permutation__cmp__lmp,WordPermutation,8,,,37525085.0,ns,4954326
permutation__cmp__lmp,WordPermutation,8,,,38712497.0,ns,5084703
permutation__cmp__lmp,WordPermutation,8,,,39811603.0,ns,5215080
permutation__cmp__lmp,WordPermutation,8,,,40807798.0,ns,5345457
permutation__cmp__lmp,WordPermutation,8,,,41730386.0,ns,5475834
permutation__cmp__lmp,WordPermutation,8,,,42748884.0,ns,5606211
permutation__cmp__lmp,WordPermutation,8,,,43379643.0,ns,5736588
permutation__cmp__lmp,WordPermutation,8,,,44982397.0,ns,5866965
permutation__cmp__lmp,WordPermutation,8,,,45625758.0,ns,5997342
permutation__cmp__lmp,WordPermutation,8,,,46869477.0,ns,6127719
