group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp_multiple,BasedPermutation,128,,,1081978.0,ns,8
permutation__cmp__lmp_multiple,BasedPermutation,128,,,2066949.0,ns,16
permutation__cmp__lmp_multiple,BasedPermutation,128,,,3113724.0,ns,24
permutation__cmp__lmp_multiple,BasedPermutation,128,,,4150799.0,ns,32
permutation__cmp__lmp_multiple,BasedPermutation,128,,,5160871.0,ns,40
permutation__cmp__lmp_multiple,BasedPermutation,128,,,6236248.0,ns,48
permutation__cmp__lmp_multiple,BasedPermutation,128,,,7128513.0,ns,56
permutation__cmp__lmp_multiple,BasedPermutation,128,,,8239492.0,ns,64
permutation__cmp__lmp_multiple,BasedPermutation,128,,,9196461.0,ns,72
permutation__cmp__lmp_multiple,BasedPermutation,128,,,10095326.0,ns,80
permutation__cmp__lmp_multiple,BasedPermutation,128,,,11340315.0,ns,88
permutation__cmp__lmp_multiple,BasedPermutation,128,,,12437994.0,ns,96
permutation__cmp__lmp_multiple,BasedPermutation,128,,,13288256.0,ns,104
permutation__cmp__lmp_multiple,BasedPermutation,128,,,14218822.0,ns,112
permutation__cmp__lmp_multiple,BasedPermutation,128,,,15425209.0,ns,120
permutation__cmp__lmp_multiple,BasedPermutation,128,,,16445282.0,ns,128
permutation__cmp__lmp_multiple,BasedPermutation,128,,,17274442.0,ns,136
permutation__cmp__lmp_multiple,BasedPermutation,128,,,17972792.0,ns,144
permutation__cmp__lmp_multiple,BasedPermutation,128,,,19019667.0,ns,152
permutation__cmp__lmp_multiple,BasedPermutation,128,,,20058342.0,ns,160
permutation__cmp__lmp_multiple,BasedPermutation,128,,,21326633.0,ns,168
permutation__cmp__lmp_multiple,BasedPermutation,128,,,22514818.0,ns,176
permutation__cmp__lmp_multiple,BasedPermutation,128,,,23296875.0,ns,184
permutation__cmp__lmp_multiple,BasedPermutation,128,,,24326349.0,ns,192
permutation__cmp__lmp_multiple,BasedPermutation,128,,,25838058.0,ns,200
permutation__cmp__lmp_multiple,BasedPermutation,128,,,26897533.0,ns,208
permutation__cmp__lmp_multiple,BasedPermutation,128,,,27437572.0,ns,216
permutation__cmp__lmp_multiple,BasedPermutation,128,,,29159996.0,ns,224
permutation__cmp__lmp_multiple,BasedPermutation,128,,,29613129.0,ns,232
permutation__cmp__lmp_multiple,BasedPermutation,128,,,30706307.0,ns,240
permutation__cmp__lmp_multiple,BasedPermutation,128,,,31374755.0,ns,248
permutation__cmp__lmp_multiple,BasedPermutation,128,,,32681049.0,ns,256
permutation__cmp__lmp_multiple,BasedPermutation,128,,,33884736.0,ns,264
permutation__cmp__lmp_multiple,BasedPermutation,128,,,34422275.0,ns,272
permutation__cmp__lmp_multiple,BasedPermutation,128,,,35629261.0,ns,280
permutation__cmp__lmp_multiple,BasedPermutation,128,,,36897753.0,ns,288
permutation__cmp__lmp_multiple,BasedPermutation,128,,,37700010.0,ns,296
permutation__cmp__lmp_multiple,BasedPermutation,128,,,38386059.0,ns,304
permutation__cmp__lmp_multiple,BasedPermutation,128,,,39296725.0,ns,312
permutation__cmp__lmp_multiple,BasedPermutation,128,,,40385803.0,ns,320
permutation__cmp__lmp_multiple,BasedPermutation,128,,,42002219.0,ns,328
