group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp_multiple,BasedPermutation,16,,,1022977.0,ns,85
permutation__cmp__lmp_multiple,BasedPermutation,16,,,2051055.0,ns,170
permutation__cmp__lmp_multiple,BasedPermutation,16,,,2962424.0,ns,255
permutation__cmp__lmp_multiple,BasedPermutation,16,,,3940998.0,ns,340
permutation__cmp__lmp_multiple,BasedPermutation,16,,,4765760.0,ns,425
permutation__cmp__lmp_multiple,BasedPermutation,16,,,5786137.0,ns,510
permutation__cmp__lmp_multiple,BasedPermutation,16,,,6940924.0,ns,595
permutation__cmp__lmp_multiple,BasedPermutation,16,,,8487141.0,ns,680
permutation__cmp__lmp_multiple,BasedPermutation,16,,,9149091.0,ns,765
permutation__cmp__lmp_multiple,BasedPermutation,16,,,9586924.0,ns,850
permutation__cmp__lmp_multiple,BasedPermutation,16,,,10815517.0,ns,935
permutation__cmp__lmp_multiple,BasedPermutation,16,,,11960204.0,ns,1020
permutation__cmp__lmp_multiple,BasedPermutation,16,,,12930476.0,ns,1105
permutation__cmp__lmp_multiple,BasedPermutation,16,,,13684034.0,ns,1190
permutation__cmp__lmp_multiple,BasedPermutation,16,,,15276754.0,ns,1275
permutation__cmp__lmp_multiple,BasedPermutation,16,,,15638782.0,ns,1360
permutation__cmp__lmp_multiple,BasedPermutation,16,,,16855773.0,ns,1445
permutation__cmp__lmp_multiple,BasedPermutation,16,,,18044763.0,ns,1530
permutation__cmp__lmp_multiple,BasedPermutation,16,,,19550477.0,ns,1615
permutation__cmp__lmp_multiple,BasedPermutation,16,,,21528426.0,ns,1700
permutation__cmp__lmp_multiple,BasedPermutation,16,,,20888478.0,ns,1785
permutation__cmp__lmp_multiple,BasedPermutation,16,,,22090368.0,ns,1870
permutation__cmp__lmp_multiple,BasedPermutation,16,,,22631509.0,ns,1955
permutation__cmp__lmp_multiple,BasedPermutation,16,,,25020189.0,ns,2040
permutation__cmp__lmp_multiple,BasedPermutation,16,,,25890855.0,ns,2125
permutation__cmp__lmp_multiple,BasedPermutation,16,,,25735644.0,ns,2210
permutation__cmp__lmp_multiple,BasedPermutation,16,,,27697891.0,ns,2295
permutation__cmp__lmp_multiple,BasedPermutation,16,,,28859579.0,ns,2380
permutation__cmp__lmp_multiple,BasedPermutation,16,,,29245009.0,ns,2465
permutation__cmp__lmp_multiple,BasedPermutation,16,,,30574509.0,ns,2550
permutation__cmp__lmp_multiple,BasedPermutation,16,,,33013193.0,ns,2635
permutation__cmp__lmp_multiple,BasedPermutation,16,,,32718471.0,ns,2720
permutation__cmp__lmp_multiple,BasedPermutation,16,,,34234685.0,ns,2805
permutation__cmp__lmp_multiple,BasedPermutation,16,,,35175356.0,ns,2890
permutation__cmp__lmp_multiple,BasedPermutation,16,,,35056448.0,ns,2975
permutation__cmp__lmp_multiple,BasedPermutation,16,,,37093101.0,ns,3060
permutation__cmp__lmp_multiple,BasedPermutation,16,,,36532159.0,ns,3145
permutation__cmp__lmp_multiple,BasedPermutation,16,,,38168182.0,ns,3230
