group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp_multiple,MapPermutation,256,,,1783527.0,ns,1
permutation__cmp__lmp_multiple,MapPermutation,256,,,3576554.0,ns,2
permutation__cmp__lmp_multiple,MapPermutation,256,,,5281374.0,ns,3
permutation__cmp__lmp_multiple,MapPermutation,256,,,7039298.0,ns,4
permutation__cmp__lmp_multiple,MapPermutation,256,,,8795322.0,ns,5
permutation__cmp__lmp_multiple,MapPermutation,256,,,10606450.0,ns,6
permutation__cmp__lmp_multiple,MapPermutation,256,,,12346574.0,ns,7
permutation__cmp__lmp_multiple,MapPermutation,256,,,14066196.0,ns,8
permutation__cmp__lmp_multiple,MapPermutation,256,,,15872824.0,ns,9
permutation__cmp__lmp_multiple,MapPermutation,256,,,17608147.0,ns,10
permutation__cmp__lmp_multiple,MapPermutation,256,,,19324268.0,ns,11
permutation__cmp__lmp_multiple,MapPermutation,256,,,21146697.0,ns,12
permutation__cmp__lmp_multiple,MapPermutation,256,,,22831016.0,ns,13
permutation__cmp__lmp_multiple,MapPermutation,256,,,24658446.0,ns,14
permutation__cmp__lmp_multiple,MapPermutation,256,,,26429271.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,256,,,28178195.0,ns,16
permutation__cmp__lmp_multiple,MapPermutation,256,,,29791209.0,ns,17
permutation__cmp__lmp_multiple,MapPermutation,256,,,31626339.0,ns,18
permutation__cmp__lmp_multiple,MapPermutation,256,,,33478170.0,ns,19
permutation__cmp__lmp_multiple,MapPermutation,256,,,35210893.0,ns,20
permutation__cmp__lmp_multiple,MapPermutation,256,,,36931715.0,ns,21
permutation__cmp__lmp_multiple,MapPermutation,256,,,38550029.0,ns,22
permutation__cmp__lmp_multiple,MapPermutation,256,,,40576072.0,ns,23
permutation__cmp__lmp_multiple,MapPermutation,256,,,42193987.0,ns,24
permutation__cmp__lmp_multiple,MapPermutation,256,,,44125324.0,ns,25
permutation__cmp__lmp_multiple,MapPermutation,256,,,45578226.0,ns,26
permutation__cmp__lmp_multiple,MapPermutation,256,,,47510663.0,ns,27
permutation__cmp__lmp_multiple,MapPermutation,256,,,49250187.0,ns,28
permutation__cmp__lmp_multiple,MapPermutation,256,,,51184323.0,ns,29
permutation__cmp__lmp_multiple,MapPermutation,256,,,52858241.0,ns,30
permutation__cmp__lmp_multiple,MapPermutation,256,,,54594465.0,ns,31
permutation__cmp__lmp_multiple,MapPermutation,256,,,56339588.0,ns,32
permutation__cmp__lmp_multiple,MapPermutation,256,,,58009506.0,ns,33
permutation__cmp__lmp_multiple,MapPermutation,256,,,60087553.0,ns,34
permutation__cmp__lmp_multiple,MapPermutation,256,,,61421348.0,ns,35
permutation__cmp__lmp_multiple,MapPermutation,256,,,63464292.0,ns,36
permutation__cmp__lmp_multiple,MapPermutation,256,,,64744683.0,ns,37
permutation__cmp__lmp_multiple,MapPermutation,256,,,66871333.0,ns,38
permutation__cmp__lmp_multiple,MapPermutation,256,,,68135722.0,ns,39
permutation__cmp__lmp_multiple,MapPermutation,256,,,70304477.0,ns,40
permutation__cmp__lmp_multiple,MapPermutation,256,,,72323219.0,ns,41
permutation__cmp__lmp_multiple,MapPermutation,256,,,73620210.0,ns,42
permutation__cmp__lmp_multiple,MapPermutation,256,,,75712259.0,ns,43
permutation__cmp__lmp_multiple,MapPermutation,256,,,76983249.0,ns,44
permutation__cmp__lmp_multiple,MapPermutation,256,,,79081198.0,ns,45
permutation__cmp__lmp_multiple,MapPermutation,256,,,81191046.0,ns,46
permutation__cmp__lmp_multiple,MapPermutation,256,,,82442834.0,ns,47
permutation__cmp__lmp_multiple,MapPermutation,256,,,84467577.0,ns,48
permutation__cmp__lmp_multiple,MapPermutation,256,,,85605658.0,ns,49
permutation__cmp__lmp_multiple,MapPermutation,256,,,87595899.0,ns,50
permutation__cmp__lmp_multiple,MapPermutation,256,,,89496834.0,ns,51
permutation__cmp__lmp_multiple,MapPermutation,256,,,91639985.0,ns,52
permutation__cmp__lmp_multiple,MapPermutation,256,,,93205696.0,ns,53
permutation__cmp__lmp_multiple,MapPermutation,256,,,95104031.0,ns,54
permutation__cmp__lmp_multiple,MapPermutation,256,,,96674741.0,ns,55
permutation__cmp__lmp_multiple,MapPermutation,256,,,98376362.0,ns,56
permutation__cmp__lmp_multiple,MapPermutation,256,,,100753029.0,ns,57
permutation__cmp__lmp_multiple,MapPermutation,256,,,102069322.0,ns,58
permutation__cmp__lmp_multiple,MapPermutation,256,,,103763242.0,ns,59
permutation__cmp__lmp_multiple,MapPermutation,256,,,105194443.0,ns,60
permutation__cmp__lmp_multiple,MapPermutation,256,,,107479705.0,ns,61
permutation__cmp__lmp_multiple,MapPermutation,256,,,109238829.0,ns,62
permutation__cmp__lmp_multiple,MapPermutation,256,,,111191467.0,ns,63
permutation__cmp__lmp_multiple,MapPermutation,256,,,112159136.0,ns,64
permutation__cmp__lmp_multiple,MapPermutation,256,,,114379093.0,ns,65
permutation__cmp__lmp_multiple,MapPermutation,256,,,116294728.0,ns,66
permutation__cmp__lmp_multiple,MapPermutation,256,,,117189591.0,ns,67
permutation__cmp__lmp_multiple,MapPermutation,256,,,119825077.0,ns,68
permutation__cmp__lmp_multiple,MapPermutation,256,,,121015461.0,ns,69
permutation__cmp__lmp_multiple,MapPermutation,256,,,123171614.0,ns,70
permutation__cmp__lmp_multiple,MapPermutation,256,,,124474506.0,ns,71
permutation__cmp__lmp_multiple,MapPermutation,256,,,126398042.0,ns,72
permutation__cmp__lmp_multiple,MapPermutation,256,,,127607128.0,ns,73
permutation__cmp__lmp_multiple,MapPermutation,256,,,130005896.0,ns,74
permutation__cmp__lmp_multiple,MapPermutation,256,,,131801022.0,ns,75
permutation__cmp__lmp_multiple,MapPermutation,256,,,133701257.0,ns,76
permutation__cmp__lmp_multiple,MapPermutation,256,,,134979048.0,ns,77
permutation__cmp__lmp_multiple,MapPermutation,256,,,137076496.0,ns,78
permutation__cmp__lmp_multiple,MapPermutation,256,,,137752144.0,ns,79
permutation__cmp__lmp_multiple,MapPermutation,256,,,140303324.0,ns,80
permutation__cmp__lmp_multiple,MapPermutation,256,,,141883235.0,ns,81
permutation__cmp__lmp_multiple,MapPermutation,256,,,143968182.0,ns,82
permutation__cmp__lmp_multiple,MapPermutation,256,,,145124964.0,ns,83
permutation__cmp__lmp_multiple,MapPermutation,256,,,147324219.0,ns,84
permutation__cmp__lmp_multiple,MapPermutation,256,,,149450469.0,ns,85
permutation__cmp__lmp_multiple,MapPermutation,256,,,151041782.0,ns,86
permutation__cmp__lmp_multiple,MapPermutation,256,,,152949017.0,ns,87
permutation__cmp__lmp_multiple,MapPermutation,256,,,155279281.0,ns,88
permutation__cmp__lmp_multiple,MapPermutation,256,,,155475794.0,ns,89
permutation__cmp__lmp_multiple,MapPermutation,256,,,159096750.0,ns,90
permutation__cmp__lmp_multiple,MapPermutation,256,,,160506649.0,ns,91
permutation__cmp__lmp_multiple,MapPermutation,256,,,162545094.0,ns,92
permutation__cmp__lmp_multiple,MapPermutation,256,,,162868516.0,ns,93
permutation__cmp__lmp_multiple,MapPermutation,256,,,165931732.0,ns,94
