group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp_multiple,MapPermutation,512,,,52454343.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52000110.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52508346.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52586752.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52446042.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52484245.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52580952.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52356736.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51618782.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52286830.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51676386.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52012511.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51354962.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,50964334.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52232827.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52501047.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52317632.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52426040.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51755291.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51956206.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52028111.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52293931.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52312233.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52271329.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52510447.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52379438.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52236826.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52383638.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52425941.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51627782.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51180650.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51751692.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52550249.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52010411.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51812695.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52321733.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52413239.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,50986935.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52596954.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51575978.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52526048.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52043661.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52332459.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,50617508.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52345559.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51170624.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52239656.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,50963618.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51920347.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51096222.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51141123.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51261127.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51896846.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,49603178.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51966048.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51957647.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51698540.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51351630.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52100251.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52080951.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51762641.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52345459.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52463463.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52436962.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52175254.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52124453.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,50097093.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52112852.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52104652.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52433862.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52475663.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51910846.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52225956.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52230356.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51687440.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51554835.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52149553.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52383361.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51906346.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51494134.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51059921.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51906146.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51941347.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51712341.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52148653.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52533965.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51143924.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52002349.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52563766.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51903146.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52259631.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52135448.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51481098.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,49953783.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51384491.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52176851.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,51995637.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52582182.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52655287.0,ns,15
permutation__cmp__lmp_multiple,MapPermutation,512,,,52560080.0,ns,15
