group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp_multiple,StandardPermutation,32,,,1006374.0,ns,227
permutation__cmp__lmp_multiple,StandardPermutation,32,,,2014948.0,ns,454
permutation__cmp__lmp_multiple,StandardPermutation,32,,,3045724.0,ns,681
permutation__cmp__lmp_multiple,StandardPermutation,32,,,4036697.0,ns,908
permutation__cmp__lmp_multiple,StandardPermutation,32,,,5084374.0,ns,1135
permutation__cmp__lmp_multiple,StandardPermutation,32,,,5951037.0,ns,1362
permutation__cmp__lmp_multiple,StandardPermutation,32,,,6897006.0,ns,1589
permutation__cmp__lmp_multiple,StandardPermutation,32,,,7992987.0,ns,1816
permutation__cmp__lmp_multiple,StandardPermutation,32,,,9148172.0,ns,2043
permutation__cmp__lmp_multiple,StandardPermutation,32,,,9878126.0,ns,2270
permutation__cmp__lmp_multiple,StandardPermutation,32,,,11085814.0,ns,2497
permutation__cmp__lmp_multiple,StandardPermutation,32,,,12250800.0,ns,2724
permutation__cmp__lmp_multiple,StandardPermutation,32,,,13239572.0,ns,2951
permutation__cmp__lmp_multiple,StandardPermutation,32,,,13798814.0,ns,3178
permutation__cmp__lmp_multiple,StandardPermutation,32,,,15065007.0,ns,3405
permutation__cmp__lmp_multiple,StandardPermutation,32,,,16053679.0,ns,3632
permutation__cmp__lmp_multiple,StandardPermutation,32,,,17096956.0,ns,3859
permutation__cmp__lmp_multiple,StandardPermutation,32,,,18343848.0,ns,4086
permutation__cmp__lmp_multiple,StandardPermutation,32,,,19142507.0,ns,4313
permutation__cmp__lmp_multiple,StandardPermutation,32,,,20241588.0,ns,4540
permutation__cmp__lmp_multiple,StandardPermutation,32,,,21332868.0,ns,4767
permutation__cmp__lmp_multiple,StandardPermutation,32,,,22433848.0,ns,4994
permutation__cmp__lmp_multiple,StandardPermutation,32,,,22727070.0,ns,5221
permutation__cmp__lmp_multiple,StandardPermutation,32,,,24148574.0,ns,5448
permutation__cmp__lmp_multiple,StandardPermutation,32,,,24873128.0,ns,5675
permutation__cmp__lmp_multiple,StandardPermutation,32,,,25208053.0,ns,5902
permutation__cmp__lmp_multiple,StandardPermutation,32,,,26993084.0,ns,6129
permutation__cmp__lmp_multiple,StandardPermutation,32,,,28117167.0,ns,6356
permutation__cmp__lmp_multiple,StandardPermutation,32,,,29011132.0,ns,6583
permutation__cmp__lmp_multiple,StandardPermutation,32,,,29554672.0,ns,6810
permutation__cmp__lmp_multiple,StandardPermutation,32,,,31010879.0,ns,7037
permutation__cmp__lmp_multiple,StandardPermutation,32,,,32685202.0,ns,7264
permutation__cmp__lmp_multiple,StandardPermutation,32,,,32844114.0,ns,7491
permutation__cmp__lmp_multiple,StandardPermutation,32,,,34621044.0,ns,7718
permutation__cmp__lmp_multiple,StandardPermutation,32,,,34185112.0,ns,7945
permutation__cmp__lmp_multiple,StandardPermutation,32,,,35440605.0,ns,8172
permutation__cmp__lmp_multiple,StandardPermutation,32,,,36891610.0,ns,8399
