group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp_multiple,StandardPermutation,64,,,989074.0,ns,129
permutation__cmp__lmp_multiple,StandardPermutation,64,,,1960147.0,ns,258
permutation__cmp__lmp_multiple,StandardPermutation,64,,,2901317.0,ns,387
permutation__cmp__lmp_multiple,StandardPermutation,64,,,3997499.0,ns,516
permutation__cmp__lmp_multiple,StandardPermutation,64,,,5087081.0,ns,645
permutation__cmp__lmp_multiple,StandardPermutation,64,,,5839337.0,ns,774
permutation__cmp__lmp_multiple,StandardPermutation,64,,,7096531.0,ns,903
permutation__cmp__lmp_multiple,StandardPermutation,64,,,8066003.0,ns,1032
permutation__cmp__lmp_multiple,StandardPermutation,64,,,8887865.0,ns,1161
permutation__cmp__lmp_multiple,StandardPermutation,64,,,9687424.0,ns,1290
permutation__cmp__lmp_multiple,StandardPermutation,64,,,11042126.0,ns,1419
permutation__cmp__lmp_multiple,StandardPermutation,64,,,11827785.0,ns,1548
permutation__cmp__lmp_multiple,StandardPermutation,64,,,12107805.0,ns,1677
permutation__cmp__lmp_multiple,StandardPermutation,64,,,13563315.0,ns,1806
permutation__cmp__lmp_multiple,StandardPermutation,64,,,14427279.0,ns,1935
permutation__cmp__lmp_multiple,StandardPermutation,64,,,15170735.0,ns,2064
permutation__cmp__lmp_multiple,StandardPermutation,64,,,16002697.0,ns,2193
permutation__cmp__lmp_multiple,StandardPermutation,64,,,17218588.0,ns,2322
permutation__cmp__lmp_multiple,StandardPermutation,64,,,18670096.0,ns,2451
permutation__cmp__lmp_multiple,StandardPermutation,64,,,19597066.0,ns,2580
permutation__cmp__lmp_multiple,StandardPermutation,64,,,20429028.0,ns,2709
permutation__cmp__lmp_multiple,StandardPermutation,64,,,21505408.0,ns,2838
permutation__cmp__lmp_multiple,StandardPermutation,64,,,23007021.0,ns,2967
permutation__cmp__lmp_multiple,StandardPermutation,64,,,23709074.0,ns,3096
permutation__cmp__lmp_multiple,StandardPermutation,64,,,24600940.0,ns,3225
permutation__cmp__lmp_multiple,StandardPermutation,64,,,25007670.0,ns,3354
permutation__cmp__lmp_multiple,StandardPermutation,64,,,27307743.0,ns,3483
permutation__cmp__lmp_multiple,StandardPermutation,64,,,27064925.0,ns,3612
permutation__cmp__lmp_multiple,StandardPermutation,64,,,28509733.0,ns,3741
permutation__cmp__lmp_multiple,StandardPermutation,64,,,28882161.0,ns,3870
permutation__cmp__lmp_multiple,StandardPermutation,64,,,29888936.0,ns,3999
permutation__cmp__lmp_multiple,StandardPermutation,64,,,31508457.0,ns,4128
permutation__cmp__lmp_multiple,StandardPermutation,64,,,31693771.0,ns,4257
permutation__cmp__lmp_multiple,StandardPermutation,64,,,33174381.0,ns,4386
permutation__cmp__lmp_multiple,StandardPermutation,64,,,34497081.0,ns,4515
permutation__cmp__lmp_multiple,StandardPermutation,64,,,34748699.0,ns,4644
permutation__cmp__lmp_multiple,StandardPermutation,64,,,36410123.0,ns,4773
permutation__cmp__lmp_multiple,StandardPermutation,64,,,37001868.0,ns,4902
permutation__cmp__lmp_multiple,StandardPermutation,64,,,38012644.0,ns,5031
permutation__cmp__lmp_multiple,StandardPermutation,64,,,39452352.0,ns,5160
permutation__cmp__lmp_multiple,StandardPermutation,64,,,40144203.0,ns,5289
permutation__cmp__lmp_multiple,StandardPermutation,64,,,41628315.0,ns,5418
permutation__cmp__lmp_multiple,StandardPermutation,64,,,41897434.0,ns,5547
permutation__cmp__lmp_multiple,StandardPermutation,64,,,42976915.0,ns,5676
permutation__cmp__lmp_multiple,StandardPermutation,64,,,44068597.0,ns,5805
permutation__cmp__lmp_multiple,StandardPermutation,64,,,44717745.0,ns,5934
permutation__cmp__lmp_multiple,StandardPermutation,64,,,46000841.0,ns,6063
permutation__cmp__lmp_multiple,StandardPermutation,64,,,47597961.0,ns,6192
permutation__cmp__lmp_multiple,StandardPermutation,64,,,48241009.0,ns,6321
permutation__cmp__lmp_multiple,StandardPermutation,64,,,49070371.0,ns,6450
permutation__cmp__lmp_multiple,StandardPermutation,64,,,49262985.0,ns,6579
permutation__cmp__lmp_multiple,StandardPermutation,64,,,50749097.0,ns,6708
permutation__cmp__lmp_multiple,StandardPermutation,64,,,52180004.0,ns,6837
permutation__cmp__lmp_multiple,StandardPermutation,64,,,52935865.0,ns,6966
permutation__cmp__lmp_multiple,StandardPermutation,64,,,53926636.0,ns,7095
permutation__cmp__lmp_multiple,StandardPermutation,64,,,56687548.0,ns,7224
permutation__cmp__lmp_multiple,StandardPermutation,64,,,56620443.0,ns,7353
permutation__cmp__lmp_multiple,StandardPermutation,64,,,57217088.0,ns,7482
permutation__cmp__lmp_multiple,StandardPermutation,64,,,56914865.0,ns,7611
permutation__cmp__lmp_multiple,StandardPermutation,64,,,59071830.0,ns,7740
permutation__cmp__lmp_multiple,StandardPermutation,64,,,59259045.0,ns,7869
permutation__cmp__lmp_multiple,StandardPermutation,64,,,59523365.0,ns,7998
permutation__cmp__lmp_multiple,StandardPermutation,64,,,61841743.0,ns,8127
permutation__cmp__lmp_multiple,StandardPermutation,64,,,62844120.0,ns,8256
permutation__cmp__lmp_multiple,StandardPermutation,64,,,65243304.0,ns,8385
permutation__cmp__lmp_multiple,StandardPermutation,64,,,63777391.0,ns,8514
permutation__cmp__lmp_multiple,StandardPermutation,64,,,64478245.0,ns,8643
permutation__cmp__lmp_multiple,StandardPermutation,64,,,67481075.0,ns,8772
permutation__cmp__lmp_multiple,StandardPermutation,64,,,68237333.0,ns,8901
permutation__cmp__lmp_multiple,StandardPermutation,64,,,67000439.0,ns,9030
permutation__cmp__lmp_multiple,StandardPermutation,64,,,68596761.0,ns,9159
permutation__cmp__lmp_multiple,StandardPermutation,64,,,71226663.0,ns,9288
permutation__cmp__lmp_multiple,StandardPermutation,64,,,69728148.0,ns,9417
permutation__cmp__lmp_multiple,StandardPermutation,64,,,74388905.0,ns,9546
permutation__cmp__lmp_multiple,StandardPermutation,64,,,74955349.0,ns,9675
permutation__cmp__lmp_multiple,StandardPermutation,64,,,76104137.0,ns,9804
permutation__cmp__lmp_multiple,StandardPermutation,64,,,76489966.0,ns,9933
permutation__cmp__lmp_multiple,StandardPermutation,64,,,76309953.0,ns,10062
permutation__cmp__lmp_multiple,StandardPermutation,64,,,77218022.0,ns,10191
permutation__cmp__lmp_multiple,StandardPermutation,64,,,80654086.0,ns,10320
permutation__cmp__lmp_multiple,StandardPermutation,64,,,79350986.0,ns,10449
permutation__cmp__lmp_multiple,StandardPermutation,64,,,78618329.0,ns,10578
permutation__cmp__lmp_multiple,StandardPermutation,64,,,79382388.0,ns,10707
permutation__cmp__lmp_multiple,StandardPermutation,64,,,80650985.0,ns,10836
permutation__cmp__lmp_multiple,StandardPermutation,64,,,81917882.0,ns,10965
permutation__cmp__lmp_multiple,StandardPermutation,64,,,82005590.0,ns,11094
permutation__cmp__lmp_multiple,StandardPermutation,64,,,84489980.0,ns,11223
permutation__cmp__lmp_multiple,StandardPermutation,64,,,85053523.0,ns,11352
permutation__cmp__lmp_multiple,StandardPermutation,64,,,87802834.0,ns,11481
permutation__cmp__lmp_multiple,StandardPermutation,64,,,87638422.0,ns,11610
permutation__cmp__lmp_multiple,StandardPermutation,64,,,87808135.0,ns,11739
permutation__cmp__lmp_multiple,StandardPermutation,64,,,90653253.0,ns,11868
permutation__cmp__lmp_multiple,StandardPermutation,64,,,89634374.0,ns,11997
