group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp_multiple,SyncPermutation,16,,,963073.0,ns,123
permutation__cmp__lmp_multiple,SyncPermutation,16,,,2040255.0,ns,246
permutation__cmp__lmp_multiple,SyncPermutation,16,,,2885319.0,ns,369
permutation__cmp__lmp_multiple,SyncPermutation,16,,,3903896.0,ns,492
permutation__cmp__lmp_multiple,SyncPermutation,16,,,4836967.0,ns,615
permutation__cmp__lmp_multiple,SyncPermutation,16,,,6176468.0,ns,738
permutation__cmp__lmp_multiple,SyncPermutation,16,,,6371183.0,ns,861
permutation__cmp__lmp_multiple,SyncPermutation,16,,,8021508.0,ns,984
permutation__cmp__lmp_multiple,SyncPermutation,16,,,9017583.0,ns,1107
permutation__cmp__lmp_multiple,SyncPermutation,16,,,10505296.0,ns,1230
permutation__cmp__lmp_multiple,SyncPermutation,16,,,10571402.0,ns,1353
permutation__cmp__lmp_multiple,SyncPermutation,16,,,12067015.0,ns,1476
permutation__cmp__lmp_multiple,SyncPermutation,16,,,12814472.0,ns,1599
permutation__cmp__lmp_multiple,SyncPermutation,16,,,12425642.0,ns,1722
permutation__cmp__lmp_multiple,SyncPermutation,16,,,13334611.0,ns,1845
permutation__cmp__lmp_multiple,SyncPermutation,16,,,16191527.0,ns,1968
permutation__cmp__lmp_multiple,SyncPermutation,16,,,15559980.0,ns,2091
permutation__cmp__lmp_multiple,SyncPermutation,16,,,16592262.0,ns,2214
permutation__cmp__lmp_multiple,SyncPermutation,16,,,19594099.0,ns,2337
permutation__cmp__lmp_multiple,SyncPermutation,16,,,19896123.0,ns,2460
permutation__cmp__lmp_multiple,SyncPermutation,16,,,21314731.0,ns,2583
permutation__cmp__lmp_multiple,SyncPermutation,16,,,21774366.0,ns,2706
permutation__cmp__lmp_multiple,SyncPermutation,16,,,23008661.0,ns,2829
permutation__cmp__lmp_multiple,SyncPermutation,16,,,24470773.0,ns,2952
permutation__cmp__lmp_multiple,SyncPermutation,16,,,24510575.0,ns,3075
permutation__cmp__lmp_multiple,SyncPermutation,16,,,26155001.0,ns,3198
permutation__cmp__lmp_multiple,SyncPermutation,16,,,26836954.0,ns,3321
permutation__cmp__lmp_multiple,SyncPermutation,16,,,28283864.0,ns,3444
permutation__cmp__lmp_multiple,SyncPermutation,16,,,30333122.0,ns,3567
permutation__cmp__lmp_multiple,SyncPermutation,16,,,30092203.0,ns,3690
permutation__cmp__lmp_multiple,SyncPermutation,16,,,30805558.0,ns,3813
