group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp_multiple,SyncPermutation,16,,,1042579.0,ns,113
permutation__cmp__lmp_multiple,SyncPermutation,16,,,1922346.0,ns,226
permutation__cmp__lmp_multiple,SyncPermutation,16,,,3163339.0,ns,339
permutation__cmp__lmp_multiple,SyncPermutation,16,,,3827990.0,ns,452
permutation__cmp__lmp_multiple,SyncPermutation,16,,,4926474.0,ns,565
permutation__cmp__lmp_multiple,SyncPermutation,16,,,5807741.0,ns,678
permutation__cmp__lmp_multiple,SyncPermutation,16,,,6934626.0,ns,791
permutation__cmp__lmp_multiple,SyncPermutation,16,,,8650956.0,ns,904
permutation__cmp__lmp_multiple,SyncPermutation,16,,,9246101.0,ns,1017
permutation__cmp__lmp_multiple,SyncPermutation,16,,,9581226.0,ns,1130
permutation__cmp__lmp_multiple,SyncPermutation,16,,,11277755.0,ns,1243
permutation__cmp__lmp_multiple,SyncPermutation,16,,,11446168.0,ns,1356
permutation__cmp__lmp_multiple,SyncPermutation,16,,,13775544.0,ns,1469
permutation__cmp__lmp_multiple,SyncPermutation,16,,,14328886.0,ns,1582
permutation__cmp__lmp_multiple,SyncPermutation,16,,,14599506.0,ns,1695
permutation__cmp__lmp_multiple,SyncPermutation,16,,,16326138.0,ns,1808
permutation__cmp__lmp_multiple,SyncPermutation,16,,,16272134.0,ns,1921
permutation__cmp__lmp_multiple,SyncPermutation,16,,,18979839.0,ns,2034
permutation__cmp__lmp_multiple,SyncPermutation,16,,,20693868.0,ns,2147
permutation__cmp__lmp_multiple,SyncPermutation,16,,,21118901.0,ns,2260
permutation__cmp__lmp_multiple,SyncPermutation,16,,,21351619.0,ns,2373
permutation__cmp__lmp_multiple,SyncPermutation,16,,,23135053.0,ns,2486
permutation__cmp__lmp_multiple,SyncPermutation,16,,,24954492.0,ns,2599
permutation__cmp__lmp_multiple,SyncPermutation,16,,,22850732.0,ns,2712
permutation__cmp__lmp_multiple,SyncPermutation,16,,,25824358.0,ns,2825
permutation__cmp__lmp_multiple,SyncPermutation,16,,,24571863.0,ns,2938
permutation__cmp__lmp_multiple,SyncPermutation,16,,,26408802.0,ns,3051
permutation__cmp__lmp_multiple,SyncPermutation,16,,,29285720.0,ns,3164
permutation__cmp__lmp_multiple,SyncPermutation,16,,,31315973.0,ns,3277
permutation__cmp__lmp_multiple,SyncPermutation,16,,,28636870.0,ns,3390
permutation__cmp__lmp_multiple,SyncPermutation,16,,,33212517.0,ns,3503
permutation__cmp__lmp_multiple,SyncPermutation,16,,,32737781.0,ns,3616
permutation__cmp__lmp_multiple,SyncPermutation,16,,,34819739.0,ns,3729
permutation__cmp__lmp_multiple,SyncPermutation,16,,,32493862.0,ns,3842
permutation__cmp__lmp_multiple,SyncPermutation,16,,,41469143.0,ns,3955
permutation__cmp__lmp_multiple,SyncPermutation,16,,,37815866.0,ns,4068
permutation__cmp__lmp_multiple,SyncPermutation,16,,,39143666.0,ns,4181
permutation__cmp__lmp_multiple,SyncPermutation,16,,,40407263.0,ns,4294
permutation__cmp__lmp_multiple,SyncPermutation,16,,,37316429.0,ns,4407
permutation__cmp__lmp_multiple,SyncPermutation,16,,,41532048.0,ns,4520
permutation__cmp__lmp_multiple,SyncPermutation,16,,,43719213.0,ns,4633
permutation__cmp__lmp_multiple,SyncPermutation,16,,,43903928.0,ns,4746
permutation__cmp__lmp_multiple,SyncPermutation,16,,,41097215.0,ns,4859
permutation__cmp__lmp_multiple,SyncPermutation,16,,,45232328.0,ns,4972
permutation__cmp__lmp_multiple,SyncPermutation,16,,,47495899.0,ns,5085
permutation__cmp__lmp_multiple,SyncPermutation,16,,,47270783.0,ns,5198
permutation__cmp__lmp_multiple,SyncPermutation,16,,,47953635.0,ns,5311
permutation__cmp__lmp_multiple,SyncPermutation,16,,,46699639.0,ns,5424
permutation__cmp__lmp_multiple,SyncPermutation,16,,,51538306.0,ns,5537
permutation__cmp__lmp_multiple,SyncPermutation,16,,,52733796.0,ns,5650
permutation__cmp__lmp_multiple,SyncPermutation,16,,,52795001.0,ns,5763
permutation__cmp__lmp_multiple,SyncPermutation,16,,,49699966.0,ns,5876
permutation__cmp__lmp_multiple,SyncPermutation,16,,,54477927.0,ns,5989
permutation__cmp__lmp_multiple,SyncPermutation,16,,,51161877.0,ns,6102
permutation__cmp__lmp_multiple,SyncPermutation,16,,,54995667.0,ns,6215
permutation__cmp__lmp_multiple,SyncPermutation,16,,,53569359.0,ns,6328
permutation__cmp__lmp_multiple,SyncPermutation,16,,,54253611.0,ns,6441
permutation__cmp__lmp_multiple,SyncPermutation,16,,,62299420.0,ns,6554
permutation__cmp__lmp_multiple,SyncPermutation,16,,,58393924.0,ns,6667
permutation__cmp__lmp_multiple,SyncPermutation,16,,,58641343.0,ns,6780
permutation__cmp__lmp_multiple,SyncPermutation,16,,,60203361.0,ns,6893
permutation__cmp__lmp_multiple,SyncPermutation,16,,,63557816.0,ns,7006
permutation__cmp__lmp_multiple,SyncPermutation,16,,,64427781.0,ns,7119
permutation__cmp__lmp_multiple,SyncPermutation,16,,,60731802.0,ns,7232
permutation__cmp__lmp_multiple,SyncPermutation,16,,,65236543.0,ns,7345
permutation__cmp__lmp_multiple,SyncPermutation,16,,,62771756.0,ns,7458
permutation__cmp__lmp_multiple,SyncPermutation,16,,,66017502.0,ns,7571
permutation__cmp__lmp_multiple,SyncPermutation,16,,,71733536.0,ns,7684
permutation__cmp__lmp_multiple,SyncPermutation,16,,,65879591.0,ns,7797
permutation__cmp__lmp_multiple,SyncPermutation,16,,,71685430.0,ns,7910
permutation__cmp__lmp_multiple,SyncPermutation,16,,,73667780.0,ns,8023
permutation__cmp__lmp_multiple,SyncPermutation,16,,,75735237.0,ns,8136
permutation__cmp__lmp_multiple,SyncPermutation,16,,,73681081.0,ns,8249
permutation__cmp__lmp_multiple,SyncPermutation,16,,,80342285.0,ns,8362
permutation__cmp__lmp_multiple,SyncPermutation,16,,,78729864.0,ns,8475
permutation__cmp__lmp_multiple,SyncPermutation,16,,,80225777.0,ns,8588
permutation__cmp__lmp_multiple,SyncPermutation,16,,,73146141.0,ns,8701
permutation__cmp__lmp_multiple,SyncPermutation,16,,,79684835.0,ns,8814
permutation__cmp__lmp_multiple,SyncPermutation,16,,,83376716.0,ns,8927
permutation__cmp__lmp_multiple,SyncPermutation,16,,,87142201.0,ns,9040
permutation__cmp__lmp_multiple,SyncPermutation,16,,,78502747.0,ns,9153
permutation__cmp__lmp_multiple,SyncPermutation,16,,,80373787.0,ns,9266
permutation__cmp__lmp_multiple,SyncPermutation,16,,,85086343.0,ns,9379
permutation__cmp__lmp_multiple,SyncPermutation,16,,,82387739.0,ns,9492
permutation__cmp__lmp_multiple,SyncPermutation,16,,,81121843.0,ns,9605
permutation__cmp__lmp_multiple,SyncPermutation,16,,,83368913.0,ns,9718
permutation__cmp__lmp_multiple,SyncPermutation,16,,,88871330.0,ns,9831
permutation__cmp__lmp_multiple,SyncPermutation,16,,,87915157.0,ns,9944
permutation__cmp__lmp_multiple,SyncPermutation,16,,,91135001.0,ns,10057
permutation__cmp__lmp_multiple,SyncPermutation,16,,,89074046.0,ns,10170
permutation__cmp__lmp_multiple,SyncPermutation,16,,,93404273.0,ns,10283
permutation__cmp__lmp_multiple,SyncPermutation,16,,,90792076.0,ns,10396
permutation__cmp__lmp_multiple,SyncPermutation,16,,,88290385.0,ns,10509
permutation__cmp__lmp_multiple,SyncPermutation,16,,,92397295.0,ns,10622
permutation__cmp__lmp_multiple,SyncPermutation,16,,,92392594.0,ns,10735
permutation__cmp__lmp_multiple,SyncPermutation,16,,,101637495.0,ns,10848
permutation__cmp__lmp_multiple,SyncPermutation,16,,,98795080.0,ns,10961
permutation__cmp__lmp_multiple,SyncPermutation,16,,,106219142.0,ns,11074
permutation__cmp__lmp_multiple,SyncPermutation,16,,,95754849.0,ns,11187
permutation__cmp__lmp_multiple,SyncPermutation,16,,,105163461.0,ns,11300
