group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp_multiple,WordPermutation,256,,,822763.0,ns,38
permutation__cmp__lmp_multiple,WordPermutation,256,,,1660126.0,ns,76
permutation__cmp__lmp_multiple,WordPermutation,256,,,3068433.0,ns,114
permutation__cmp__lmp_multiple,WordPermutation,256,,,3960001.0,ns,152
permutation__cmp__lmp_multiple,WordPermutation,256,,,4944576.0,ns,190
permutation__cmp__lmp_multiple,WordPermutation,256,,,5961353.0,ns,228
permutation__cmp__lmp_multiple,WordPermutation,256,,,7108340.0,ns,266
permutation__cmp__lmp_multiple,WordPermutation,256,,,8158720.0,ns,304
permutation__cmp__lmp_multiple,WordPermutation,256,,,8588052.0,ns,342
permutation__cmp__lmp_multiple,WordPermutation,256,,,9511723.0,ns,380
permutation__cmp__lmp_multiple,WordPermutation,256,,,10842424.0,ns,418
permutation__cmp__lmp_multiple,WordPermutation,256,,,11663386.0,ns,456
permutation__cmp__lmp_multiple,WordPermutation,256,,,13033091.0,ns,494
permutation__cmp__lmp_multiple,WordPermutation,256,,,13951661.0,ns,532
permutation__cmp__lmp_multiple,WordPermutation,256,,,15012441.0,ns,570
permutation__cmp__lmp_multiple,WordPermutation,256,,,15525579.0,ns,608
permutation__cmp__lmp_multiple,WordPermutation,256,,,16740272.0,ns,646
permutation__cmp__lmp_multiple,WordPermutation,256,,,17988567.0,ns,684
permutation__cmp__lmp_multiple,WordPermutation,256,,,19241262.0,ns,722
permutation__cmp__lmp_multiple,WordPermutation,256,,,20096827.0,ns,760
permutation__cmp__lmp_multiple,WordPermutation,256,,,20629368.0,ns,798
permutation__cmp__lmp_multiple,WordPermutation,256,,,22281693.0,ns,836
permutation__cmp__lmp_multiple,WordPermutation,256,,,22959145.0,ns,874
permutation__cmp__lmp_multiple,WordPermutation,256,,,24158136.0,ns,912
permutation__cmp__lmp_multiple,WordPermutation,256,,,25074405.0,ns,950
permutation__cmp__lmp_multiple,WordPermutation,256,,,25962673.0,ns,988
permutation__cmp__lmp_multiple,WordPermutation,256,,,26983250.0,ns,1026
permutation__cmp__lmp_multiple,WordPermutation,256,,,27559194.0,ns,1064
permutation__cmp__lmp_multiple,WordPermutation,256,,,29517543.0,ns,1102
permutation__cmp__lmp_multiple,WordPermutation,256,,,29318627.0,ns,1140
permutation__cmp__lmp_multiple,WordPermutation,256,,,30657229.0,ns,1178
permutation__cmp__lmp_multiple,WordPermutation,256,,,31992731.0,ns,1216
permutation__cmp__lmp_multiple,WordPermutation,256,,,33066913.0,ns,1254
permutation__cmp__lmp_multiple,WordPermutation,256,,,34432216.0,ns,1292
permutation__cmp__lmp_multiple,WordPermutation,256,,,34803544.0,ns,1330
permutation__cmp__lmp_multiple,WordPermutation,256,,,35610806.0,ns,1368
permutation__cmp__lmp_multiple,WordPermutation,256,,,36333061.0,ns,1406
permutation__cmp__lmp_multiple,WordPermutation,256,,,37978786.0,ns,1444
permutation__cmp__lmp_multiple,WordPermutation,256,,,38365116.0,ns,1482
permutation__cmp__lmp_multiple,WordPermutation,256,,,39950136.0,ns,1520
permutation__cmp__lmp_multiple,WordPermutation,256,,,38919258.0,ns,1558
permutation__cmp__lmp_multiple,WordPermutation,256,,,40134150.0,ns,1596
permutation__cmp__lmp_multiple,WordPermutation,256,,,43444901.0,ns,1634
permutation__cmp__lmp_multiple,WordPermutation,256,,,44263263.0,ns,1672
permutation__cmp__lmp_multiple,WordPermutation,256,,,45170333.0,ns,1710
permutation__cmp__lmp_multiple,WordPermutation,256,,,45945491.0,ns,1748
permutation__cmp__lmp_multiple,WordPermutation,256,,,46685348.0,ns,1786
permutation__cmp__lmp_multiple,WordPermutation,256,,,47373800.0,ns,1824
permutation__cmp__lmp_multiple,WordPermutation,256,,,46604042.0,ns,1862
permutation__cmp__lmp_multiple,WordPermutation,256,,,47243390.0,ns,1900
permutation__cmp__lmp_multiple,WordPermutation,256,,,49763282.0,ns,1938
permutation__cmp__lmp_multiple,WordPermutation,256,,,48636995.0,ns,1976
permutation__cmp__lmp_multiple,WordPermutation,256,,,51210791.0,ns,2014
permutation__cmp__lmp_multiple,WordPermutation,256,,,51487012.0,ns,2052
permutation__cmp__lmp_multiple,WordPermutation,256,,,54848268.0,ns,2090
permutation__cmp__lmp_multiple,WordPermutation,256,,,55465815.0,ns,2128
permutation__cmp__lmp_multiple,WordPermutation,256,,,55688432.0,ns,2166
permutation__cmp__lmp_multiple,WordPermutation,256,,,56316679.0,ns,2204
permutation__cmp__lmp_multiple,WordPermutation,256,,,59153094.0,ns,2242
permutation__cmp__lmp_multiple,WordPermutation,256,,,57954104.0,ns,2280
permutation__cmp__lmp_multiple,WordPermutation,256,,,60039363.0,ns,2318
permutation__cmp__lmp_multiple,WordPermutation,256,,,61110443.0,ns,2356
permutation__cmp__lmp_multiple,WordPermutation,256,,,63568031.0,ns,2394
permutation__cmp__lmp_multiple,WordPermutation,256,,,64245181.0,ns,2432
permutation__cmp__lmp_multiple,WordPermutation,256,,,65548881.0,ns,2470
permutation__cmp__lmp_multiple,WordPermutation,256,,,66016616.0,ns,2508
permutation__cmp__lmp_multiple,WordPermutation,256,,,67342917.0,ns,2546
permutation__cmp__lmp_multiple,WordPermutation,256,,,68431000.0,ns,2584
permutation__cmp__lmp_multiple,WordPermutation,256,,,69124753.0,ns,2622
permutation__cmp__lmp_multiple,WordPermutation,256,,,70454453.0,ns,2660
permutation__cmp__lmp_multiple,WordPermutation,256,,,69229760.0,ns,2698
permutation__cmp__lmp_multiple,WordPermutation,256,,,72005271.0,ns,2736
permutation__cmp__lmp_multiple,WordPermutation,256,,,72412002.0,ns,2774
permutation__cmp__lmp_multiple,WordPermutation,256,,,74730478.0,ns,2812
permutation__cmp__lmp_multiple,WordPermutation,256,,,75374228.0,ns,2850
permutation__cmp__lmp_multiple,WordPermutation,256,,,76650124.0,ns,2888
permutation__cmp__lmp_multiple,WordPermutation,256,,,76858140.0,ns,2926
permutation__cmp__lmp_multiple,WordPermutation,256,,,76121184.0,ns,2964
permutation__cmp__lmp_multiple,WordPermutation,256,,,78427160.0,ns,3002
permutation__cmp__lmp_multiple,WordPermutation,256,,,78901996.0,ns,3040
permutation__cmp__lmp_multiple,WordPermutation,256,,,79816365.0,ns,3078
permutation__cmp__lmp_multiple,WordPermutation,256,,,81915624.0,ns,3116
permutation__cmp__lmp_multiple,WordPermutation,256,,,83056711.0,ns,3154
permutation__cmp__lmp_multiple,WordPermutation,256,,,84414915.0,ns,3192
permutation__cmp__lmp_multiple,WordPermutation,256,,,85117967.0,ns,3230
permutation__cmp__lmp_multiple,WordPermutation,256,,,86084241.0,ns,3268
permutation__cmp__lmp_multiple,WordPermutation,256,,,85828722.0,ns,3306
permutation__cmp__lmp_multiple,WordPermutation,256,,,85734814.0,ns,3344
permutation__cmp__lmp_multiple,WordPermutation,256,,,89251782.0,ns,3382
permutation__cmp__lmp_multiple,WordPermutation,256,,,90120848.0,ns,3420
permutation__cmp__lmp_multiple,WordPermutation,256,,,91025017.0,ns,3458
permutation__cmp__lmp_multiple,WordPermutation,256,,,90474275.0,ns,3496
permutation__cmp__lmp_multiple,WordPermutation,256,,,89819625.0,ns,3534
permutation__cmp__lmp_multiple,WordPermutation,256,,,92533531.0,ns,3572
permutation__cmp__lmp_multiple,WordPermutation,256,,,93963440.0,ns,3610
permutation__cmp__lmp_multiple,WordPermutation,256,,,94321067.0,ns,3648
permutation__cmp__lmp_multiple,WordPermutation,256,,,97132781.0,ns,3686
permutation__cmp__lmp_multiple,WordPermutation,256,,,98367575.0,ns,3724
permutation__cmp__lmp_multiple,WordPermutation,256,,,99033025.0,ns,3762
permutation__cmp__lmp_multiple,WordPermutation,256,,,99314746.0,ns,3800
