group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp_multiple,WordPermutation,64,,,989474.0,ns,38
permutation__cmp__lmp_multiple,WordPermutation,64,,,1940346.0,ns,76
permutation__cmp__lmp_multiple,WordPermutation,64,,,3063831.0,ns,114
permutation__cmp__lmp_multiple,WordPermutation,64,,,4024503.0,ns,152
permutation__cmp__lmp_multiple,WordPermutation,64,,,4893769.0,ns,190
permutation__cmp__lmp_multiple,WordPermutation,64,,,6101560.0,ns,228
permutation__cmp__lmp_multiple,WordPermutation,64,,,5734832.0,ns,266
permutation__cmp__lmp_multiple,WordPermutation,64,,,7571271.0,ns,304
permutation__cmp__lmp_multiple,WordPermutation,64,,,8948674.0,ns,342
permutation__cmp__lmp_multiple,WordPermutation,64,,,9783437.0,ns,380
permutation__cmp__lmp_multiple,WordPermutation,64,,,10775612.0,ns,418
permutation__cmp__lmp_multiple,WordPermutation,64,,,12231421.0,ns,456
permutation__cmp__lmp_multiple,WordPermutation,64,,,12989078.0,ns,494
permutation__cmp__lmp_multiple,WordPermutation,64,,,14115163.0,ns,532
permutation__cmp__lmp_multiple,WordPermutation,64,,,15111438.0,ns,570
permutation__cmp__lmp_multiple,WordPermutation,64,,,15772387.0,ns,608
permutation__cmp__lmp_multiple,WordPermutation,64,,,17201895.0,ns,646
permutation__cmp__lmp_multiple,WordPermutation,64,,,17656230.0,ns,684
permutation__cmp__lmp_multiple,WordPermutation,64,,,19281852.0,ns,722
permutation__cmp__lmp_multiple,WordPermutation,64,,,20140116.0,ns,760
permutation__cmp__lmp_multiple,WordPermutation,64,,,20587850.0,ns,798
permutation__cmp__lmp_multiple,WordPermutation,64,,,21413712.0,ns,836
permutation__cmp__lmp_multiple,WordPermutation,64,,,23079438.0,ns,874
permutation__cmp__lmp_multiple,WordPermutation,64,,,24370635.0,ns,912
permutation__cmp__lmp_multiple,WordPermutation,64,,,25295205.0,ns,950
permutation__cmp__lmp_multiple,WordPermutation,64,,,26485394.0,ns,988
permutation__cmp__lmp_multiple,WordPermutation,64,,,27506571.0,ns,1026
permutation__cmp__lmp_multiple,WordPermutation,64,,,28259028.0,ns,1064
permutation__cmp__lmp_multiple,WordPermutation,64,,,28261528.0,ns,1102
permutation__cmp__lmp_multiple,WordPermutation,64,,,28869674.0,ns,1140
permutation__cmp__lmp_multiple,WordPermutation,64,,,30694412.0,ns,1178
permutation__cmp__lmp_multiple,WordPermutation,64,,,31604881.0,ns,1216
permutation__cmp__lmp_multiple,WordPermutation,64,,,32669161.0,ns,1254
permutation__cmp__lmp_multiple,WordPermutation,64,,,33468921.0,ns,1292
permutation__cmp__lmp_multiple,WordPermutation,64,,,35019038.0,ns,1330
permutation__cmp__lmp_multiple,WordPermutation,64,,,36689663.0,ns,1368
permutation__cmp__lmp_multiple,WordPermutation,64,,,37637734.0,ns,1406
permutation__cmp__lmp_multiple,WordPermutation,64,,,38246780.0,ns,1444
permutation__cmp__lmp_multiple,WordPermutation,64,,,37659036.0,ns,1482
permutation__cmp__lmp_multiple,WordPermutation,64,,,40284734.0,ns,1520
permutation__cmp__lmp_multiple,WordPermutation,64,,,40244531.0,ns,1558
permutation__cmp__lmp_multiple,WordPermutation,64,,,41987162.0,ns,1596
permutation__cmp__lmp_multiple,WordPermutation,64,,,43659988.0,ns,1634
permutation__cmp__lmp_multiple,WordPermutation,64,,,43498575.0,ns,1672
permutation__cmp__lmp_multiple,WordPermutation,64,,,44524453.0,ns,1710
permutation__cmp__lmp_multiple,WordPermutation,64,,,46745720.0,ns,1748
permutation__cmp__lmp_multiple,WordPermutation,64,,,47389069.0,ns,1786
permutation__cmp__lmp_multiple,WordPermutation,64,,,44782073.0,ns,1824
permutation__cmp__lmp_multiple,WordPermutation,64,,,47355166.0,ns,1862
permutation__cmp__lmp_multiple,WordPermutation,64,,,49336216.0,ns,1900
permutation__cmp__lmp_multiple,WordPermutation,64,,,51888208.0,ns,1938
permutation__cmp__lmp_multiple,WordPermutation,64,,,51037444.0,ns,1976
permutation__cmp__lmp_multiple,WordPermutation,64,,,52795676.0,ns,2014
permutation__cmp__lmp_multiple,WordPermutation,64,,,51933711.0,ns,2052
permutation__cmp__lmp_multiple,WordPermutation,64,,,55099049.0,ns,2090
permutation__cmp__lmp_multiple,WordPermutation,64,,,56481254.0,ns,2128
permutation__cmp__lmp_multiple,WordPermutation,64,,,57768751.0,ns,2166
permutation__cmp__lmp_multiple,WordPermutation,64,,,58633916.0,ns,2204
permutation__cmp__lmp_multiple,WordPermutation,64,,,57381621.0,ns,2242
permutation__cmp__lmp_multiple,WordPermutation,64,,,59584987.0,ns,2280
permutation__cmp__lmp_multiple,WordPermutation,64,,,58985643.0,ns,2318
permutation__cmp__lmp_multiple,WordPermutation,64,,,62032072.0,ns,2356
permutation__cmp__lmp_multiple,WordPermutation,64,,,62489406.0,ns,2394
permutation__cmp__lmp_multiple,WordPermutation,64,,,64816481.0,ns,2432
permutation__cmp__lmp_multiple,WordPermutation,64,,,65418727.0,ns,2470
permutation__cmp__lmp_multiple,WordPermutation,64,,,64754876.0,ns,2508
permutation__cmp__lmp_multiple,WordPermutation,64,,,68036724.0,ns,2546
permutation__cmp__lmp_multiple,WordPermutation,64,,,66498308.0,ns,2584
permutation__cmp__lmp_multiple,WordPermutation,64,,,70120081.0,ns,2622
permutation__cmp__lmp_multiple,WordPermutation,64,,,71291769.0,ns,2660
permutation__cmp__lmp_multiple,WordPermutation,64,,,68294143.0,ns,2698
permutation__cmp__lmp_multiple,WordPermutation,64,,,71845211.0,ns,2736
permutation__cmp__lmp_multiple,WordPermutation,64,,,72460157.0,ns,2774
permutation__cmp__lmp_multiple,WordPermutation,64,,,74441507.0,ns,2812
permutation__cmp__lmp_multiple,WordPermutation,64,,,73744153.0,ns,2850
permutation__cmp__lmp_multiple,WordPermutation,64,,,76368452.0,ns,2888
permutation__cmp__lmp_multiple,WordPermutation,64,,,77648648.0,ns,2926
permutation__cmp__lmp_multiple,WordPermutation,64,,,77334124.0,ns,2964
permutation__cmp__lmp_multiple,WordPermutation,64,,,78673925.0,ns,3002
permutation__cmp__lmp_multiple,WordPermutation,64,,,79121359.0,ns,3040
permutation__cmp__lmp_multiple,WordPermutation,64,,,81632648.0,ns,3078
permutation__cmp__lmp_multiple,WordPermutation,64,,,81899768.0,ns,3116
permutation__cmp__lmp_multiple,WordPermutation,64,,,82837339.0,ns,3154
permutation__cmp__lmp_multiple,WordPermutation,64,,,84893693.0,ns,3192
permutation__cmp__lmp_multiple,WordPermutation,64,,,86517316.0,ns,3230
permutation__cmp__lmp_multiple,WordPermutation,64,,,86789936.0,ns,3268
permutation__cmp__lmp_multiple,WordPermutation,64,,,84798186.0,ns,3306
permutation__cmp__lmp_multiple,WordPermutation,64,,,87917021.0,ns,3344
permutation__cmp__lmp_multiple,WordPermutation,64,,,87542393.0,ns,3382
permutation__cmp__lmp_multiple,WordPermutation,64,,,90348104.0,ns,3420
permutation__cmp__lmp_multiple,WordPermutation,64,,,91999429.0,ns,3458
permutation__cmp__lmp_multiple,WordPermutation,64,,,90949049.0,ns,3496
permutation__cmp__lmp_multiple,WordPermutation,64,,,94531619.0,ns,3534
permutation__cmp__lmp_multiple,WordPermutation,64,,,92600274.0,ns,3572
permutation__cmp__lmp_multiple,WordPermutation,64,,,93849668.0,ns,3610
permutation__cmp__lmp_multiple,WordPermutation,64,,,97284026.0,ns,3648
permutation__cmp__lmp_multiple,WordPermutation,64,,,98886547.0,ns,3686
permutation__cmp__lmp_multiple,WordPermutation,64,,,96643578.0,ns,3724
permutation__cmp__lmp_multiple,WordPermutation,64,,,97109113.0,ns,3762
permutation__cmp__lmp_multiple,WordPermutation,64,,,100960304.0,ns,3800
