group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult,BasedPermutation,256,,,1197092.0,ns,4
permutation__cmp__multiple_mult,BasedPermutation,256,,,2426286.0,ns,8
permutation__cmp__multiple_mult,BasedPermutation,256,,,3501167.0,ns,12
permutation__cmp__multiple_mult,BasedPermutation,256,,,4715761.0,ns,16
permutation__cmp__multiple_mult,BasedPermutation,256,,,5913152.0,ns,20
permutation__cmp__multiple_mult,BasedPermutation,256,,,7102743.0,ns,24
permutation__cmp__multiple_mult,BasedPermutation,256,,,8222428.0,ns,28
permutation__cmp__multiple_mult,BasedPermutation,256,,,9461822.0,ns,32
permutation__cmp__multiple_mult,BasedPermutation,256,,,10624512.0,ns,36
permutation__cmp__multiple_mult,BasedPermutation,256,,,11578485.0,ns,40
permutation__cmp__multiple_mult,BasedPermutation,256,,,12919087.0,ns,44
permutation__cmp__multiple_mult,BasedPermutation,256,,,14220286.0,ns,48
permutation__cmp__multiple_mult,BasedPermutation,256,,,15458180.0,ns,52
permutation__cmp__multiple_mult,BasedPermutation,256,,,16525162.0,ns,56
permutation__cmp__multiple_mult,BasedPermutation,256,,,17728854.0,ns,60
permutation__cmp__multiple_mult,BasedPermutation,256,,,18716029.0,ns,64
permutation__cmp__multiple_mult,BasedPermutation,256,,,20285049.0,ns,68
permutation__cmp__multiple_mult,BasedPermutation,256,,,21188618.0,ns,72
permutation__cmp__multiple_mult,BasedPermutation,256,,,22329605.0,ns,76
permutation__cmp__multiple_mult,BasedPermutation,256,,,23379086.0,ns,80
permutation__cmp__multiple_mult,BasedPermutation,256,,,24798894.0,ns,84
permutation__cmp__multiple_mult,BasedPermutation,256,,,25874876.0,ns,88
permutation__cmp__multiple_mult,BasedPermutation,256,,,26807148.0,ns,92
permutation__cmp__multiple_mult,BasedPermutation,256,,,28139450.0,ns,96
permutation__cmp__multiple_mult,BasedPermutation,256,,,29643665.0,ns,100
permutation__cmp__multiple_mult,BasedPermutation,256,,,30655242.0,ns,104
permutation__cmp__multiple_mult,BasedPermutation,256,,,31775828.0,ns,108
permutation__cmp__multiple_mult,BasedPermutation,256,,,32971218.0,ns,112
permutation__cmp__multiple_mult,BasedPermutation,256,,,34050601.0,ns,116
permutation__cmp__multiple_mult,BasedPermutation,256,,,35163886.0,ns,120
permutation__cmp__multiple_mult,BasedPermutation,256,,,36507488.0,ns,124
permutation__cmp__multiple_mult,BasedPermutation,256,,,38021704.0,ns,128
permutation__cmp__multiple_mult,BasedPermutation,256,,,38536344.0,ns,132
permutation__cmp__multiple_mult,BasedPermutation,256,,,39979754.0,ns,136
permutation__cmp__multiple_mult,BasedPermutation,256,,,41073738.0,ns,140
permutation__cmp__multiple_mult,BasedPermutation,256,,,42587253.0,ns,144
permutation__cmp__multiple_mult,BasedPermutation,256,,,43760242.0,ns,148
permutation__cmp__multiple_mult,BasedPermutation,256,,,44891829.0,ns,152
permutation__cmp__multiple_mult,BasedPermutation,256,,,45540579.0,ns,156
permutation__cmp__multiple_mult,BasedPermutation,256,,,46570657.0,ns,160
permutation__cmp__multiple_mult,BasedPermutation,256,,,48237985.0,ns,164
permutation__cmp__multiple_mult,BasedPermutation,256,,,48992043.0,ns,168
permutation__cmp__multiple_mult,BasedPermutation,256,,,50026922.0,ns,172
permutation__cmp__multiple_mult,BasedPermutation,256,,,51391926.0,ns,176
permutation__cmp__multiple_mult,BasedPermutation,256,,,52762530.0,ns,180
permutation__cmp__multiple_mult,BasedPermutation,256,,,53350275.0,ns,184
permutation__cmp__multiple_mult,BasedPermutation,256,,,54699779.0,ns,188
permutation__cmp__multiple_mult,BasedPermutation,256,,,56335204.0,ns,192
permutation__cmp__multiple_mult,BasedPermutation,256,,,57353881.0,ns,196
permutation__cmp__multiple_mult,BasedPermutation,256,,,58558173.0,ns,200
permutation__cmp__multiple_mult,BasedPermutation,256,,,59749365.0,ns,204
permutation__cmp__multiple_mult,BasedPermutation,256,,,60256003.0,ns,208
permutation__cmp__multiple_mult,BasedPermutation,256,,,61879727.0,ns,212
permutation__cmp__multiple_mult,BasedPermutation,256,,,62806198.0,ns,216
permutation__cmp__multiple_mult,BasedPermutation,256,,,63723267.0,ns,220
permutation__cmp__multiple_mult,BasedPermutation,256,,,65090372.0,ns,224
permutation__cmp__multiple_mult,BasedPermutation,256,,,66946814.0,ns,228
permutation__cmp__multiple_mult,BasedPermutation,256,,,68344721.0,ns,232
permutation__cmp__multiple_mult,BasedPermutation,256,,,69717326.0,ns,236
permutation__cmp__multiple_mult,BasedPermutation,256,,,69849536.0,ns,240
permutation__cmp__multiple_mult,BasedPermutation,256,,,71766182.0,ns,244
permutation__cmp__multiple_mult,BasedPermutation,256,,,72531740.0,ns,248
permutation__cmp__multiple_mult,BasedPermutation,256,,,73939648.0,ns,252
permutation__cmp__multiple_mult,BasedPermutation,256,,,74997428.0,ns,256
permutation__cmp__multiple_mult,BasedPermutation,256,,,75636583.0,ns,260
permutation__cmp__multiple_mult,BasedPermutation,256,,,77692719.0,ns,264
permutation__cmp__multiple_mult,BasedPermutation,256,,,78466974.0,ns,268
permutation__cmp__multiple_mult,BasedPermutation,256,,,79334838.0,ns,272
permutation__cmp__multiple_mult,BasedPermutation,256,,,80837547.0,ns,276
permutation__cmp__multiple_mult,BasedPermutation,256,,,81096865.0,ns,280
permutation__cmp__multiple_mult,BasedPermutation,256,,,81888422.0,ns,284
permutation__cmp__multiple_mult,BasedPermutation,256,,,83987374.0,ns,288
permutation__cmp__multiple_mult,BasedPermutation,256,,,85753501.0,ns,292
permutation__cmp__multiple_mult,BasedPermutation,256,,,85285138.0,ns,296
permutation__cmp__multiple_mult,BasedPermutation,256,,,87200220.0,ns,300
permutation__cmp__multiple_mult,BasedPermutation,256,,,88458313.0,ns,304
permutation__cmp__multiple_mult,BasedPermutation,256,,,89916320.0,ns,308
permutation__cmp__multiple_mult,BasedPermutation,256,,,90524365.0,ns,312
permutation__cmp__multiple_mult,BasedPermutation,256,,,92992148.0,ns,316
permutation__cmp__multiple_mult,BasedPermutation,256,,,93054352.0,ns,320
permutation__cmp__multiple_mult,BasedPermutation,256,,,93545288.0,ns,324
permutation__cmp__multiple_mult,BasedPermutation,256,,,95321219.0,ns,328
permutation__cmp__multiple_mult,BasedPermutation,256,,,95507532.0,ns,332
permutation__cmp__multiple_mult,BasedPermutation,256,,,98027618.0,ns,336
permutation__cmp__multiple_mult,BasedPermutation,256,,,98289238.0,ns,340
permutation__cmp__multiple_mult,BasedPermutation,256,,,100156075.0,ns,344
permutation__cmp__multiple_mult,BasedPermutation,256,,,100914231.0,ns,348
permutation__cmp__multiple_mult,BasedPermutation,256,,,101597281.0,ns,352
permutation__cmp__multiple_mult,BasedPermutation,256,,,102598955.0,ns,356
permutation__cmp__multiple_mult,BasedPermutation,256,,,103422115.0,ns,360
permutation__cmp__multiple_mult,BasedPermutation,256,,,106214120.0,ns,364
permutation__cmp__multiple_mult,BasedPermutation,256,,,108210668.0,ns,368
permutation__cmp__multiple_mult,BasedPermutation,256,,,107489914.0,ns,372
permutation__cmp__multiple_mult,BasedPermutation,256,,,107853041.0,ns,376
permutation__cmp__multiple_mult,BasedPermutation,256,,,108153763.0,ns,380
permutation__cmp__multiple_mult,BasedPermutation,256,,,110294821.0,ns,384
permutation__cmp__multiple_mult,BasedPermutation,256,,,111778130.0,ns,388
permutation__cmp__multiple_mult,BasedPermutation,256,,,115215584.0,ns,392
permutation__cmp__multiple_mult,BasedPermutation,256,,,115582211.0,ns,396
permutation__cmp__multiple_mult,BasedPermutation,256,,,117559056.0,ns,400
