group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult,BasedPermutation,512,,,1218490.0,ns,2
permutation__cmp__multiple_mult,BasedPermutation,512,,,2267366.0,ns,4
permutation__cmp__multiple_mult,BasedPermutation,512,,,3617265.0,ns,6
permutation__cmp__multiple_mult,BasedPermutation,512,,,4839956.0,ns,8
permutation__cmp__multiple_mult,BasedPermutation,512,,,6100447.0,ns,10
permutation__cmp__multiple_mult,BasedPermutation,512,,,7257233.0,ns,12
permutation__cmp__multiple_mult,BasedPermutation,512,,,8523826.0,ns,14
permutation__cmp__multiple_mult,BasedPermutation,512,,,9617306.0,ns,16
permutation__cmp__multiple_mult,BasedPermutation,512,,,10625079.0,ns,18
permutation__cmp__multiple_mult,BasedPermutation,512,,,11701759.0,ns,20
permutation__cmp__multiple_mult,BasedPermutation,512,,,12808640.0,ns,22
permutation__cmp__multiple_mult,BasedPermutation,512,,,14282248.0,ns,24
permutation__cmp__multiple_mult,BasedPermutation,512,,,15732454.0,ns,26
permutation__cmp__multiple_mult,BasedPermutation,512,,,16967245.0,ns,28
permutation__cmp__multiple_mult,BasedPermutation,512,,,17973319.0,ns,30
permutation__cmp__multiple_mult,BasedPermutation,512,,,18916188.0,ns,32
permutation__cmp__multiple_mult,BasedPermutation,512,,,19933963.0,ns,34
permutation__cmp__multiple_mult,BasedPermutation,512,,,21616086.0,ns,36
permutation__cmp__multiple_mult,BasedPermutation,512,,,22703466.0,ns,38
permutation__cmp__multiple_mult,BasedPermutation,512,,,24117870.0,ns,40
permutation__cmp__multiple_mult,BasedPermutation,512,,,25267354.0,ns,42
permutation__cmp__multiple_mult,BasedPermutation,512,,,26563549.0,ns,44
permutation__cmp__multiple_mult,BasedPermutation,512,,,27902347.0,ns,46
permutation__cmp__multiple_mult,BasedPermutation,512,,,29081134.0,ns,48
permutation__cmp__multiple_mult,BasedPermutation,512,,,30284422.0,ns,50
permutation__cmp__multiple_mult,BasedPermutation,512,,,31570916.0,ns,52
permutation__cmp__multiple_mult,BasedPermutation,512,,,32565190.0,ns,54
permutation__cmp__multiple_mult,BasedPermutation,512,,,33374249.0,ns,56
permutation__cmp__multiple_mult,BasedPermutation,512,,,33818981.0,ns,58
permutation__cmp__multiple_mult,BasedPermutation,512,,,35983440.0,ns,60
permutation__cmp__multiple_mult,BasedPermutation,512,,,37236432.0,ns,62
permutation__cmp__multiple_mult,BasedPermutation,512,,,38470023.0,ns,64
permutation__cmp__multiple_mult,BasedPermutation,512,,,39940831.0,ns,66
permutation__cmp__multiple_mult,BasedPermutation,512,,,40897501.0,ns,68
permutation__cmp__multiple_mult,BasedPermutation,512,,,42344807.0,ns,70
permutation__cmp__multiple_mult,BasedPermutation,512,,,43252173.0,ns,72
permutation__cmp__multiple_mult,BasedPermutation,512,,,43270974.0,ns,74
permutation__cmp__multiple_mult,BasedPermutation,512,,,44927097.0,ns,76
permutation__cmp__multiple_mult,BasedPermutation,512,,,46570917.0,ns,78
