group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult,MapPermutation,32,,,1104464.0,ns,9
permutation__cmp__multiple_mult,MapPermutation,32,,,2182528.0,ns,18
permutation__cmp__multiple_mult,MapPermutation,32,,,3239589.0,ns,27
permutation__cmp__multiple_mult,MapPermutation,32,,,4401156.0,ns,36
permutation__cmp__multiple_mult,MapPermutation,32,,,5392314.0,ns,45
permutation__cmp__multiple_mult,MapPermutation,32,,,6481078.0,ns,54
permutation__cmp__multiple_mult,MapPermutation,32,,,7519738.0,ns,63
permutation__cmp__multiple_mult,MapPermutation,32,,,8731109.0,ns,72
permutation__cmp__multiple_mult,MapPermutation,32,,,9626361.0,ns,81
permutation__cmp__multiple_mult,MapPermutation,32,,,10710425.0,ns,90
permutation__cmp__multiple_mult,MapPermutation,32,,,11748485.0,ns,99
permutation__cmp__multiple_mult,MapPermutation,32,,,12993658.0,ns,108
permutation__cmp__multiple_mult,MapPermutation,32,,,13932613.0,ns,117
permutation__cmp__multiple_mult,MapPermutation,32,,,15122583.0,ns,126
permutation__cmp__multiple_mult,MapPermutation,32,,,16364055.0,ns,135
permutation__cmp__multiple_mult,MapPermutation,32,,,17193703.0,ns,144
permutation__cmp__multiple_mult,MapPermutation,32,,,18078055.0,ns,153
permutation__cmp__multiple_mult,MapPermutation,32,,,19457336.0,ns,162
permutation__cmp__multiple_mult,MapPermutation,32,,,20260782.0,ns,171
permutation__cmp__multiple_mult,MapPermutation,32,,,21348646.0,ns,180
permutation__cmp__multiple_mult,MapPermutation,32,,,22416108.0,ns,189
permutation__cmp__multiple_mult,MapPermutation,32,,,23596577.0,ns,198
permutation__cmp__multiple_mult,MapPermutation,32,,,24733743.0,ns,207
permutation__cmp__multiple_mult,MapPermutation,32,,,25430984.0,ns,216
permutation__cmp__multiple_mult,MapPermutation,32,,,26967273.0,ns,225
permutation__cmp__multiple_mult,MapPermutation,32,,,27885027.0,ns,234
permutation__cmp__multiple_mult,MapPermutation,32,,,29127800.0,ns,243
permutation__cmp__multiple_mult,MapPermutation,32,,,30462678.0,ns,252
permutation__cmp__multiple_mult,MapPermutation,32,,,31121016.0,ns,261
permutation__cmp__multiple_mult,MapPermutation,32,,,31880060.0,ns,270
permutation__cmp__multiple_mult,MapPermutation,32,,,32842216.0,ns,279
permutation__cmp__multiple_mult,MapPermutation,32,,,34628721.0,ns,288
permutation__cmp__multiple_mult,MapPermutation,32,,,35331462.0,ns,297
permutation__cmp__multiple_mult,MapPermutation,32,,,36498230.0,ns,306
permutation__cmp__multiple_mult,MapPermutation,32,,,37644596.0,ns,315
permutation__cmp__multiple_mult,MapPermutation,32,,,38571551.0,ns,324
permutation__cmp__multiple_mult,MapPermutation,32,,,39430101.0,ns,333
permutation__cmp__multiple_mult,MapPermutation,32,,,41125200.0,ns,342
permutation__cmp__multiple_mult,MapPermutation,32,,,41604528.0,ns,351
permutation__cmp__multiple_mult,MapPermutation,32,,,42530981.0,ns,360
permutation__cmp__multiple_mult,MapPermutation,32,,,43755154.0,ns,369
permutation__cmp__multiple_mult,MapPermutation,32,,,45035528.0,ns,378
permutation__cmp__multiple_mult,MapPermutation,32,,,45914079.0,ns,387
permutation__cmp__multiple_mult,MapPermutation,32,,,46901437.0,ns,396
permutation__cmp__multiple_mult,MapPermutation,32,,,48561634.0,ns,405
permutation__cmp__multiple_mult,MapPermutation,32,,,49055162.0,ns,414
