group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult,MapPermutation,512,,,50584206.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50573505.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50551303.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50692011.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50467899.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50605006.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50586206.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50633208.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50641109.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50621907.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50562904.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50649209.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50586205.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50567704.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50705012.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50595706.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50496300.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50807818.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50580805.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50567404.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50617907.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50610107.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50668610.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50592906.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50579805.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50607406.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50513201.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50597306.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50630407.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50616107.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50589706.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50562804.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50649009.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50592205.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50506900.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50603506.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50610807.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50586305.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50602006.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,56298633.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50565704.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50646709.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50600805.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50600606.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50579205.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50645008.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50671510.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50580705.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50603306.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50565504.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50588306.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50607606.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50582905.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50538502.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50567404.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50681510.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50638408.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50599406.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50566204.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50610306.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50550403.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50669510.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50540802.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50573005.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50603106.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50640008.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50648208.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50656609.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50497800.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50665310.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50615307.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50723813.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50637207.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50718613.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50623707.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50627608.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50649309.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50860221.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50596505.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50629908.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50488100.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50545303.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50528801.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50682210.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50549202.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50679310.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50554503.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50624707.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50604406.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50593305.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50586905.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50658009.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50483999.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50684710.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50580504.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50654009.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50510501.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50657708.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50530402.0,ns,13
permutation__cmp__multiple_mult,MapPermutation,512,,,50719613.0,ns,13
