group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult,StandardPermutation,128,,,1003158.0,ns,76
permutation__cmp__multiple_mult,StandardPermutation,128,,,1994716.0,ns,152
permutation__cmp__multiple_mult,StandardPermutation,128,,,3012874.0,ns,228
permutation__cmp__multiple_mult,StandardPermutation,128,,,4002632.0,ns,304
permutation__cmp__multiple_mult,StandardPermutation,128,,,5000090.0,ns,380
permutation__cmp__multiple_mult,StandardPermutation,128,,,6020349.0,ns,456
permutation__cmp__multiple_mult,StandardPermutation,128,,,7131513.0,ns,532
permutation__cmp__multiple_mult,StandardPermutation,128,,,8227377.0,ns,608
permutation__cmp__multiple_mult,StandardPermutation,128,,,9239936.0,ns,684
permutation__cmp__multiple_mult,StandardPermutation,128,,,10277496.0,ns,760
permutation__cmp__multiple_mult,StandardPermutation,128,,,11305056.0,ns,836
permutation__cmp__multiple_mult,StandardPermutation,128,,,12319815.0,ns,912
permutation__cmp__multiple_mult,StandardPermutation,128,,,13300071.0,ns,988
permutation__cmp__multiple_mult,StandardPermutation,128,,,13998912.0,ns,1064
permutation__cmp__multiple_mult,StandardPermutation,128,,,15199881.0,ns,1140
permutation__cmp__multiple_mult,StandardPermutation,128,,,16000928.0,ns,1216
permutation__cmp__multiple_mult,StandardPermutation,128,,,16999686.0,ns,1292
permutation__cmp__multiple_mult,StandardPermutation,128,,,18012544.0,ns,1368
permutation__cmp__multiple_mult,StandardPermutation,128,,,19045304.0,ns,1444
permutation__cmp__multiple_mult,StandardPermutation,128,,,20057663.0,ns,1520
permutation__cmp__multiple_mult,StandardPermutation,128,,,21016818.0,ns,1596
permutation__cmp__multiple_mult,StandardPermutation,128,,,22288893.0,ns,1672
permutation__cmp__multiple_mult,StandardPermutation,128,,,23114740.0,ns,1748
permutation__cmp__multiple_mult,StandardPermutation,128,,,24064496.0,ns,1824
permutation__cmp__multiple_mult,StandardPermutation,128,,,25220162.0,ns,1900
permutation__cmp__multiple_mult,StandardPermutation,128,,,26264723.0,ns,1976
permutation__cmp__multiple_mult,StandardPermutation,128,,,27136974.0,ns,2052
permutation__cmp__multiple_mult,StandardPermutation,128,,,28242637.0,ns,2128
permutation__cmp__multiple_mult,StandardPermutation,128,,,29258197.0,ns,2204
permutation__cmp__multiple_mult,StandardPermutation,128,,,30931293.0,ns,2280
permutation__cmp__multiple_mult,StandardPermutation,128,,,31849446.0,ns,2356
permutation__cmp__multiple_mult,StandardPermutation,128,,,32916809.0,ns,2432
permutation__cmp__multiple_mult,StandardPermutation,128,,,33814561.0,ns,2508
permutation__cmp__multiple_mult,StandardPermutation,128,,,34140879.0,ns,2584
permutation__cmp__multiple_mult,StandardPermutation,128,,,35219742.0,ns,2660
permutation__cmp__multiple_mult,StandardPermutation,128,,,36573121.0,ns,2736
permutation__cmp__multiple_mult,StandardPermutation,128,,,37875796.0,ns,2812
permutation__cmp__multiple_mult,StandardPermutation,128,,,37994403.0,ns,2888
permutation__cmp__multiple_mult,StandardPermutation,128,,,39602296.0,ns,2964
permutation__cmp__multiple_mult,StandardPermutation,128,,,40155329.0,ns,3040
permutation__cmp__multiple_mult,StandardPermutation,128,,,41277593.0,ns,3116
permutation__cmp__multiple_mult,StandardPermutation,128,,,42279451.0,ns,3192
permutation__cmp__multiple_mult,StandardPermutation,128,,,43365114.0,ns,3268
permutation__cmp__multiple_mult,StandardPermutation,128,,,44175661.0,ns,3344
permutation__cmp__multiple_mult,StandardPermutation,128,,,45635046.0,ns,3420
permutation__cmp__multiple_mult,StandardPermutation,128,,,47309543.0,ns,3496
permutation__cmp__multiple_mult,StandardPermutation,128,,,48148891.0,ns,3572
permutation__cmp__multiple_mult,StandardPermutation,128,,,48009584.0,ns,3648
permutation__cmp__multiple_mult,StandardPermutation,128,,,49254756.0,ns,3724
permutation__cmp__multiple_mult,StandardPermutation,128,,,50426024.0,ns,3800
permutation__cmp__multiple_mult,StandardPermutation,128,,,51256471.0,ns,3876
permutation__cmp__multiple_mult,StandardPermutation,128,,,52237229.0,ns,3952
permutation__cmp__multiple_mult,StandardPermutation,128,,,53194484.0,ns,4028
permutation__cmp__multiple_mult,StandardPermutation,128,,,54215543.0,ns,4104
