group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult,StandardPermutation,64,,,1003670.0,ns,131
permutation__cmp__multiple_mult,StandardPermutation,64,,,2020640.0,ns,262
permutation__cmp__multiple_mult,StandardPermutation,64,,,3010909.0,ns,393
permutation__cmp__multiple_mult,StandardPermutation,64,,,4009378.0,ns,524
permutation__cmp__multiple_mult,StandardPermutation,64,,,4958043.0,ns,655
permutation__cmp__multiple_mult,StandardPermutation,64,,,5833905.0,ns,786
permutation__cmp__multiple_mult,StandardPermutation,64,,,6879876.0,ns,917
permutation__cmp__multiple_mult,StandardPermutation,64,,,7947151.0,ns,1048
permutation__cmp__multiple_mult,StandardPermutation,64,,,8922518.0,ns,1179
permutation__cmp__multiple_mult,StandardPermutation,64,,,9896786.0,ns,1310
permutation__cmp__multiple_mult,StandardPermutation,64,,,10916656.0,ns,1441
permutation__cmp__multiple_mult,StandardPermutation,64,,,11993231.0,ns,1572
permutation__cmp__multiple_mult,StandardPermutation,64,,,12862691.0,ns,1703
permutation__cmp__multiple_mult,StandardPermutation,64,,,14093977.0,ns,1834
permutation__cmp__multiple_mult,StandardPermutation,64,,,15011740.0,ns,1965
permutation__cmp__multiple_mult,StandardPermutation,64,,,16128718.0,ns,2096
permutation__cmp__multiple_mult,StandardPermutation,64,,,17050881.0,ns,2227
permutation__cmp__multiple_mult,StandardPermutation,64,,,18080453.0,ns,2358
permutation__cmp__multiple_mult,StandardPermutation,64,,,18925212.0,ns,2489
permutation__cmp__multiple_mult,StandardPermutation,64,,,19868777.0,ns,2620
permutation__cmp__multiple_mult,StandardPermutation,64,,,21030957.0,ns,2751
permutation__cmp__multiple_mult,StandardPermutation,64,,,21763008.0,ns,2882
permutation__cmp__multiple_mult,StandardPermutation,64,,,23092300.0,ns,3013
permutation__cmp__multiple_mult,StandardPermutation,64,,,24099070.0,ns,3144
permutation__cmp__multiple_mult,StandardPermutation,64,,,25088438.0,ns,3275
permutation__cmp__multiple_mult,StandardPermutation,64,,,26049505.0,ns,3406
permutation__cmp__multiple_mult,StandardPermutation,64,,,27254488.0,ns,3537
permutation__cmp__multiple_mult,StandardPermutation,64,,,28211655.0,ns,3668
permutation__cmp__multiple_mult,StandardPermutation,64,,,29036512.0,ns,3799
permutation__cmp__multiple_mult,StandardPermutation,64,,,30117787.0,ns,3930
permutation__cmp__multiple_mult,StandardPermutation,64,,,30842738.0,ns,4061
permutation__cmp__multiple_mult,StandardPermutation,64,,,32219833.0,ns,4192
permutation__cmp__multiple_mult,StandardPermutation,64,,,32916381.0,ns,4323
permutation__cmp__multiple_mult,StandardPermutation,64,,,33991655.0,ns,4454
permutation__cmp__multiple_mult,StandardPermutation,64,,,34727006.0,ns,4585
permutation__cmp__multiple_mult,StandardPermutation,64,,,35821283.0,ns,4716
permutation__cmp__multiple_mult,StandardPermutation,64,,,35833683.0,ns,4847
permutation__cmp__multiple_mult,StandardPermutation,64,,,37893125.0,ns,4978
permutation__cmp__multiple_mult,StandardPermutation,64,,,37895426.0,ns,5109
permutation__cmp__multiple_mult,StandardPermutation,64,,,40231887.0,ns,5240
permutation__cmp__multiple_mult,StandardPermutation,64,,,41707190.0,ns,5371
permutation__cmp__multiple_mult,StandardPermutation,64,,,41652486.0,ns,5502
permutation__cmp__multiple_mult,StandardPermutation,64,,,42533047.0,ns,5633
permutation__cmp__multiple_mult,StandardPermutation,64,,,43894741.0,ns,5764
permutation__cmp__multiple_mult,StandardPermutation,64,,,45330541.0,ns,5895
permutation__cmp__multiple_mult,StandardPermutation,64,,,46100394.0,ns,6026
permutation__cmp__multiple_mult,StandardPermutation,64,,,47301832.0,ns,6157
permutation__cmp__multiple_mult,StandardPermutation,64,,,48218321.0,ns,6288
permutation__cmp__multiple_mult,StandardPermutation,64,,,48760861.0,ns,6419
permutation__cmp__multiple_mult,StandardPermutation,64,,,49074483.0,ns,6550
permutation__cmp__multiple_mult,StandardPermutation,64,,,51031325.0,ns,6681
permutation__cmp__multiple_mult,StandardPermutation,64,,,51277442.0,ns,6812
permutation__cmp__multiple_mult,StandardPermutation,64,,,52807954.0,ns,6943
permutation__cmp__multiple_mult,StandardPermutation,64,,,54031943.0,ns,7074
permutation__cmp__multiple_mult,StandardPermutation,64,,,54763596.0,ns,7205
permutation__cmp__multiple_mult,StandardPermutation,64,,,57238477.0,ns,7336
permutation__cmp__multiple_mult,StandardPermutation,64,,,56699838.0,ns,7467
permutation__cmp__multiple_mult,StandardPermutation,64,,,58441765.0,ns,7598
permutation__cmp__multiple_mult,StandardPermutation,64,,,58622078.0,ns,7729
permutation__cmp__multiple_mult,StandardPermutation,64,,,60210395.0,ns,7860
permutation__cmp__multiple_mult,StandardPermutation,64,,,60529317.0,ns,7991
permutation__cmp__multiple_mult,StandardPermutation,64,,,60817038.0,ns,8122
permutation__cmp__multiple_mult,StandardPermutation,64,,,62228841.0,ns,8253
permutation__cmp__multiple_mult,StandardPermutation,64,,,64082577.0,ns,8384
permutation__cmp__multiple_mult,StandardPermutation,64,,,65632990.0,ns,8515
permutation__cmp__multiple_mult,StandardPermutation,64,,,64473406.0,ns,8646
permutation__cmp__multiple_mult,StandardPermutation,64,,,66558557.0,ns,8777
permutation__cmp__multiple_mult,StandardPermutation,64,,,68054166.0,ns,8908
permutation__cmp__multiple_mult,StandardPermutation,64,,,68986835.0,ns,9039
permutation__cmp__multiple_mult,StandardPermutation,64,,,70152920.0,ns,9170
permutation__cmp__multiple_mult,StandardPermutation,64,,,70464142.0,ns,9301
permutation__cmp__multiple_mult,StandardPermutation,64,,,70841470.0,ns,9432
permutation__cmp__multiple_mult,StandardPermutation,64,,,72591898.0,ns,9563
permutation__cmp__multiple_mult,StandardPermutation,64,,,73895793.0,ns,9694
permutation__cmp__multiple_mult,StandardPermutation,64,,,74527039.0,ns,9825
permutation__cmp__multiple_mult,StandardPermutation,64,,,75215190.0,ns,9956
permutation__cmp__multiple_mult,StandardPermutation,64,,,76137357.0,ns,10087
permutation__cmp__multiple_mult,StandardPermutation,64,,,75680924.0,ns,10218
permutation__cmp__multiple_mult,StandardPermutation,64,,,76396176.0,ns,10349
permutation__cmp__multiple_mult,StandardPermutation,64,,,77598364.0,ns,10480
permutation__cmp__multiple_mult,StandardPermutation,64,,,77797978.0,ns,10611
permutation__cmp__multiple_mult,StandardPermutation,64,,,80957208.0,ns,10742
permutation__cmp__multiple_mult,StandardPermutation,64,,,82044688.0,ns,10873
permutation__cmp__multiple_mult,StandardPermutation,64,,,82372712.0,ns,11004
permutation__cmp__multiple_mult,StandardPermutation,64,,,84645278.0,ns,11135
permutation__cmp__multiple_mult,StandardPermutation,64,,,83723411.0,ns,11266
permutation__cmp__multiple_mult,StandardPermutation,64,,,85796061.0,ns,11397
permutation__cmp__multiple_mult,StandardPermutation,64,,,87079055.0,ns,11528
permutation__cmp__multiple_mult,StandardPermutation,64,,,88434855.0,ns,11659
permutation__cmp__multiple_mult,StandardPermutation,64,,,87142660.0,ns,11790
permutation__cmp__multiple_mult,StandardPermutation,64,,,85445236.0,ns,11921
permutation__cmp__multiple_mult,StandardPermutation,64,,,88525761.0,ns,12052
permutation__cmp__multiple_mult,StandardPermutation,64,,,91956211.0,ns,12183
permutation__cmp__multiple_mult,StandardPermutation,64,,,93034490.0,ns,12314
permutation__cmp__multiple_mult,StandardPermutation,64,,,93544927.0,ns,12445
permutation__cmp__multiple_mult,StandardPermutation,64,,,96068011.0,ns,12576
permutation__cmp__multiple_mult,StandardPermutation,64,,,95027335.0,ns,12707
permutation__cmp__multiple_mult,StandardPermutation,64,,,96520344.0,ns,12838
permutation__cmp__multiple_mult,StandardPermutation,64,,,97886144.0,ns,12969
permutation__cmp__multiple_mult,StandardPermutation,64,,,100603442.0,ns,13100
