group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult,SyncPermutation,16,,,986374.0,ns,122
permutation__cmp__multiple_mult,SyncPermutation,16,,,1994749.0,ns,244
permutation__cmp__multiple_mult,SyncPermutation,16,,,3016725.0,ns,366
permutation__cmp__multiple_mult,SyncPermutation,16,,,3978497.0,ns,488
permutation__cmp__multiple_mult,SyncPermutation,16,,,4582842.0,ns,610
permutation__cmp__multiple_mult,SyncPermutation,16,,,5981046.0,ns,732
permutation__cmp__multiple_mult,SyncPermutation,16,,,6981120.0,ns,854
permutation__cmp__multiple_mult,SyncPermutation,16,,,8061301.0,ns,976
permutation__cmp__multiple_mult,SyncPermutation,16,,,10313169.0,ns,1098
permutation__cmp__multiple_mult,SyncPermutation,16,,,9976744.0,ns,1220
permutation__cmp__multiple_mult,SyncPermutation,16,,,10916514.0,ns,1342
permutation__cmp__multiple_mult,SyncPermutation,16,,,11931290.0,ns,1464
permutation__cmp__multiple_mult,SyncPermutation,16,,,14780303.0,ns,1586
permutation__cmp__multiple_mult,SyncPermutation,16,,,13942040.0,ns,1708
permutation__cmp__multiple_mult,SyncPermutation,16,,,13623016.0,ns,1830
permutation__cmp__multiple_mult,SyncPermutation,16,,,15973791.0,ns,1952
permutation__cmp__multiple_mult,SyncPermutation,16,,,16913162.0,ns,2074
permutation__cmp__multiple_mult,SyncPermutation,16,,,17868033.0,ns,2196
permutation__cmp__multiple_mult,SyncPermutation,16,,,19247936.0,ns,2318
permutation__cmp__multiple_mult,SyncPermutation,16,,,19760474.0,ns,2440
permutation__cmp__multiple_mult,SyncPermutation,16,,,21038870.0,ns,2562
permutation__cmp__multiple_mult,SyncPermutation,16,,,25259985.0,ns,2684
permutation__cmp__multiple_mult,SyncPermutation,16,,,22924910.0,ns,2806
permutation__cmp__multiple_mult,SyncPermutation,16,,,23581659.0,ns,2928
permutation__cmp__multiple_mult,SyncPermutation,16,,,25107373.0,ns,3050
permutation__cmp__multiple_mult,SyncPermutation,16,,,26124949.0,ns,3172
permutation__cmp__multiple_mult,SyncPermutation,16,,,26878905.0,ns,3294
permutation__cmp__multiple_mult,SyncPermutation,16,,,27660063.0,ns,3416
permutation__cmp__multiple_mult,SyncPermutation,16,,,28930158.0,ns,3538
permutation__cmp__multiple_mult,SyncPermutation,16,,,29608009.0,ns,3660
permutation__cmp__multiple_mult,SyncPermutation,16,,,30988612.0,ns,3782
permutation__cmp__multiple_mult,SyncPermutation,16,,,35808171.0,ns,3904
permutation__cmp__multiple_mult,SyncPermutation,16,,,32191902.0,ns,4026
permutation__cmp__multiple_mult,SyncPermutation,16,,,33831324.0,ns,4148
permutation__cmp__multiple_mult,SyncPermutation,16,,,35082717.0,ns,4270
permutation__cmp__multiple_mult,SyncPermutation,16,,,36292307.0,ns,4392
permutation__cmp__multiple_mult,SyncPermutation,16,,,36076892.0,ns,4514
permutation__cmp__multiple_mult,SyncPermutation,16,,,36774256.0,ns,4636
permutation__cmp__multiple_mult,SyncPermutation,16,,,39906529.0,ns,4758
permutation__cmp__multiple_mult,SyncPermutation,16,,,39212376.0,ns,4880
permutation__cmp__multiple_mult,SyncPermutation,16,,,40762994.0,ns,5002
permutation__cmp__multiple_mult,SyncPermutation,16,,,42266608.0,ns,5124
permutation__cmp__multiple_mult,SyncPermutation,16,,,39017762.0,ns,5246
permutation__cmp__multiple_mult,SyncPermutation,16,,,43660014.0,ns,5368
permutation__cmp__multiple_mult,SyncPermutation,16,,,46073297.0,ns,5490
permutation__cmp__multiple_mult,SyncPermutation,16,,,45329640.0,ns,5612
permutation__cmp__multiple_mult,SyncPermutation,16,,,45762473.0,ns,5734
permutation__cmp__multiple_mult,SyncPermutation,16,,,47054171.0,ns,5856
permutation__cmp__multiple_mult,SyncPermutation,16,,,48418375.0,ns,5978
permutation__cmp__multiple_mult,SyncPermutation,16,,,49855784.0,ns,6100
permutation__cmp__multiple_mult,SyncPermutation,16,,,57269247.0,ns,6222
permutation__cmp__multiple_mult,SyncPermutation,16,,,46657741.0,ns,6344
permutation__cmp__multiple_mult,SyncPermutation,16,,,50433427.0,ns,6466
permutation__cmp__multiple_mult,SyncPermutation,16,,,50654444.0,ns,6588
permutation__cmp__multiple_mult,SyncPermutation,16,,,53938194.0,ns,6710
permutation__cmp__multiple_mult,SyncPermutation,16,,,55658224.0,ns,6832
permutation__cmp__multiple_mult,SyncPermutation,16,,,54298421.0,ns,6954
permutation__cmp__multiple_mult,SyncPermutation,16,,,56828113.0,ns,7076
permutation__cmp__multiple_mult,SyncPermutation,16,,,57321751.0,ns,7198
permutation__cmp__multiple_mult,SyncPermutation,16,,,60898822.0,ns,7320
