group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult,SyncPermutation,512,,,1003973.0,ns,13
permutation__cmp__multiple_mult,SyncPermutation,512,,,1861235.0,ns,26
permutation__cmp__multiple_mult,SyncPermutation,512,,,3115126.0,ns,39
permutation__cmp__multiple_mult,SyncPermutation,512,,,4178203.0,ns,52
permutation__cmp__multiple_mult,SyncPermutation,512,,,5068467.0,ns,65
permutation__cmp__multiple_mult,SyncPermutation,512,,,6069640.0,ns,78
permutation__cmp__multiple_mult,SyncPermutation,512,,,7298228.0,ns,91
permutation__cmp__multiple_mult,SyncPermutation,512,,,7780864.0,ns,104
permutation__cmp__multiple_mult,SyncPermutation,512,,,8892745.0,ns,117
permutation__cmp__multiple_mult,SyncPermutation,512,,,9007852.0,ns,130
permutation__cmp__multiple_mult,SyncPermutation,512,,,10582267.0,ns,143
permutation__cmp__multiple_mult,SyncPermutation,512,,,11934565.0,ns,156
permutation__cmp__multiple_mult,SyncPermutation,512,,,12825929.0,ns,169
permutation__cmp__multiple_mult,SyncPermutation,512,,,14335939.0,ns,182
permutation__cmp__multiple_mult,SyncPermutation,512,,,15556027.0,ns,195
permutation__cmp__multiple_mult,SyncPermutation,512,,,16621005.0,ns,208
permutation__cmp__multiple_mult,SyncPermutation,512,,,17806191.0,ns,221
permutation__cmp__multiple_mult,SyncPermutation,512,,,18823764.0,ns,234
permutation__cmp__multiple_mult,SyncPermutation,512,,,19750131.0,ns,247
permutation__cmp__multiple_mult,SyncPermutation,512,,,20686699.0,ns,260
permutation__cmp__multiple_mult,SyncPermutation,512,,,21706873.0,ns,273
permutation__cmp__multiple_mult,SyncPermutation,512,,,22843055.0,ns,286
permutation__cmp__multiple_mult,SyncPermutation,512,,,23715218.0,ns,299
permutation__cmp__multiple_mult,SyncPermutation,512,,,25144422.0,ns,312
permutation__cmp__multiple_mult,SyncPermutation,512,,,25819571.0,ns,325
permutation__cmp__multiple_mult,SyncPermutation,512,,,26986255.0,ns,338
permutation__cmp__multiple_mult,SyncPermutation,512,,,27183170.0,ns,351
permutation__cmp__multiple_mult,SyncPermutation,512,,,28113037.0,ns,364
permutation__cmp__multiple_mult,SyncPermutation,512,,,29889466.0,ns,377
permutation__cmp__multiple_mult,SyncPermutation,512,,,30368200.0,ns,390
permutation__cmp__multiple_mult,SyncPermutation,512,,,30793431.0,ns,403
permutation__cmp__multiple_mult,SyncPermutation,512,,,33041495.0,ns,416
permutation__cmp__multiple_mult,SyncPermutation,512,,,32729771.0,ns,429
permutation__cmp__multiple_mult,SyncPermutation,512,,,34622108.0,ns,442
permutation__cmp__multiple_mult,SyncPermutation,512,,,36443541.0,ns,455
permutation__cmp__multiple_mult,SyncPermutation,512,,,37313104.0,ns,468
permutation__cmp__multiple_mult,SyncPermutation,512,,,38437985.0,ns,481
permutation__cmp__multiple_mult,SyncPermutation,512,,,39328250.0,ns,494
permutation__cmp__multiple_mult,SyncPermutation,512,,,40305220.0,ns,507
permutation__cmp__multiple_mult,SyncPermutation,512,,,40452131.0,ns,520
permutation__cmp__multiple_mult,SyncPermutation,512,,,41836231.0,ns,533
permutation__cmp__multiple_mult,SyncPermutation,512,,,43306438.0,ns,546
permutation__cmp__multiple_mult,SyncPermutation,512,,,44168900.0,ns,559
permutation__cmp__multiple_mult,SyncPermutation,512,,,45518798.0,ns,572
permutation__cmp__multiple_mult,SyncPermutation,512,,,49355576.0,ns,585
permutation__cmp__multiple_mult,SyncPermutation,512,,,47799964.0,ns,598
permutation__cmp__multiple_mult,SyncPermutation,512,,,48733631.0,ns,611
permutation__cmp__multiple_mult,SyncPermutation,512,,,49877514.0,ns,624
permutation__cmp__multiple_mult,SyncPermutation,512,,,50521060.0,ns,637
permutation__cmp__multiple_mult,SyncPermutation,512,,,51933363.0,ns,650
permutation__cmp__multiple_mult,SyncPermutation,512,,,52784824.0,ns,663
permutation__cmp__multiple_mult,SyncPermutation,512,,,53970011.0,ns,676
permutation__cmp__multiple_mult,SyncPermutation,512,,,54424544.0,ns,689
permutation__cmp__multiple_mult,SyncPermutation,512,,,56037460.0,ns,702
permutation__cmp__multiple_mult,SyncPermutation,512,,,56579500.0,ns,715
