group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult,WordPermutation,32,,,1011159.0,ns,38
permutation__cmp__multiple_mult,WordPermutation,32,,,2021018.0,ns,76
permutation__cmp__multiple_mult,WordPermutation,32,,,3043677.0,ns,114
permutation__cmp__multiple_mult,WordPermutation,32,,,3989633.0,ns,152
permutation__cmp__multiple_mult,WordPermutation,32,,,5085497.0,ns,190
permutation__cmp__multiple_mult,WordPermutation,32,,,6074754.0,ns,228
permutation__cmp__multiple_mult,WordPermutation,32,,,6982807.0,ns,266
permutation__cmp__multiple_mult,WordPermutation,32,,,8134675.0,ns,304
permutation__cmp__multiple_mult,WordPermutation,32,,,8951322.0,ns,342
permutation__cmp__multiple_mult,WordPermutation,32,,,10141191.0,ns,380
permutation__cmp__multiple_mult,WordPermutation,32,,,10940738.0,ns,418
permutation__cmp__multiple_mult,WordPermutation,32,,,12161509.0,ns,456
permutation__cmp__multiple_mult,WordPermutation,32,,,13158867.0,ns,494
permutation__cmp__multiple_mult,WordPermutation,32,,,13962314.0,ns,532
permutation__cmp__multiple_mult,WordPermutation,32,,,15185585.0,ns,570
permutation__cmp__multiple_mult,WordPermutation,32,,,16200544.0,ns,608
permutation__cmp__multiple_mult,WordPermutation,32,,,16914486.0,ns,646
permutation__cmp__multiple_mult,WordPermutation,32,,,18243163.0,ns,684
permutation__cmp__multiple_mult,WordPermutation,32,,,18960206.0,ns,722
permutation__cmp__multiple_mult,WordPermutation,32,,,19928962.0,ns,760
permutation__cmp__multiple_mult,WordPermutation,32,,,20900518.0,ns,798
permutation__cmp__multiple_mult,WordPermutation,32,,,21911478.0,ns,836
permutation__cmp__multiple_mult,WordPermutation,32,,,23396364.0,ns,874
permutation__cmp__multiple_mult,WordPermutation,32,,,24332419.0,ns,912
permutation__cmp__multiple_mult,WordPermutation,32,,,24880050.0,ns,950
permutation__cmp__multiple_mult,WordPermutation,32,,,26330935.0,ns,988
permutation__cmp__multiple_mult,WordPermutation,32,,,27310292.0,ns,1026
permutation__cmp__multiple_mult,WordPermutation,32,,,28371754.0,ns,1064
permutation__cmp__multiple_mult,WordPermutation,32,,,28841381.0,ns,1102
permutation__cmp__multiple_mult,WordPermutation,32,,,29886943.0,ns,1140
permutation__cmp__multiple_mult,WordPermutation,32,,,30862199.0,ns,1178
permutation__cmp__multiple_mult,WordPermutation,32,,,31883059.0,ns,1216
permutation__cmp__multiple_mult,WordPermutation,32,,,32827913.0,ns,1254
permutation__cmp__multiple_mult,WordPermutation,32,,,34521012.0,ns,1292
permutation__cmp__multiple_mult,WordPermutation,32,,,34830630.0,ns,1330
permutation__cmp__multiple_mult,WordPermutation,32,,,35841089.0,ns,1368
permutation__cmp__multiple_mult,WordPermutation,32,,,37449483.0,ns,1406
permutation__cmp__multiple_mult,WordPermutation,32,,,38484243.0,ns,1444
permutation__cmp__multiple_mult,WordPermutation,32,,,39599108.0,ns,1482
permutation__cmp__multiple_mult,WordPermutation,32,,,39850823.0,ns,1520
permutation__cmp__multiple_mult,WordPermutation,32,,,40790678.0,ns,1558
permutation__cmp__multiple_mult,WordPermutation,32,,,42502977.0,ns,1596
permutation__cmp__multiple_mult,WordPermutation,32,,,42795794.0,ns,1634
permutation__cmp__multiple_mult,WordPermutation,32,,,43814255.0,ns,1672
permutation__cmp__multiple_mult,WordPermutation,32,,,44766309.0,ns,1710
permutation__cmp__multiple_mult,WordPermutation,32,,,46555014.0,ns,1748
permutation__cmp__multiple_mult,WordPermutation,32,,,46810529.0,ns,1786
permutation__cmp__multiple_mult,WordPermutation,32,,,48613534.0,ns,1824
permutation__cmp__multiple_mult,WordPermutation,32,,,48757042.0,ns,1862
permutation__cmp__multiple_mult,WordPermutation,32,,,50919569.0,ns,1900
permutation__cmp__multiple_mult,WordPermutation,32,,,50760559.0,ns,1938
permutation__cmp__multiple_mult,WordPermutation,32,,,52665470.0,ns,1976
permutation__cmp__multiple_mult,WordPermutation,32,,,52791078.0,ns,2014
permutation__cmp__multiple_mult,WordPermutation,32,,,54736090.0,ns,2052
permutation__cmp__multiple_mult,WordPermutation,32,,,55715448.0,ns,2090
permutation__cmp__multiple_mult,WordPermutation,32,,,55762351.0,ns,2128
permutation__cmp__multiple_mult,WordPermutation,32,,,57680962.0,ns,2166
permutation__cmp__multiple_mult,WordPermutation,32,,,57845372.0,ns,2204
permutation__cmp__multiple_mult,WordPermutation,32,,,59889691.0,ns,2242
permutation__cmp__multiple_mult,WordPermutation,32,,,60765542.0,ns,2280
permutation__cmp__multiple_mult,WordPermutation,32,,,60781043.0,ns,2318
permutation__cmp__multiple_mult,WordPermutation,32,,,61693596.0,ns,2356
permutation__cmp__multiple_mult,WordPermutation,32,,,63907925.0,ns,2394
permutation__cmp__multiple_mult,WordPermutation,32,,,65102195.0,ns,2432
permutation__cmp__multiple_mult,WordPermutation,32,,,65943244.0,ns,2470
permutation__cmp__multiple_mult,WordPermutation,32,,,66776593.0,ns,2508
permutation__cmp__multiple_mult,WordPermutation,32,,,66629384.0,ns,2546
permutation__cmp__multiple_mult,WordPermutation,32,,,67700846.0,ns,2584
permutation__cmp__multiple_mult,WordPermutation,32,,,69848372.0,ns,2622
permutation__cmp__multiple_mult,WordPermutation,32,,,70927334.0,ns,2660
permutation__cmp__multiple_mult,WordPermutation,32,,,71839988.0,ns,2698
permutation__cmp__multiple_mult,WordPermutation,32,,,73024756.0,ns,2736
permutation__cmp__multiple_mult,WordPermutation,32,,,72669536.0,ns,2774
permutation__cmp__multiple_mult,WordPermutation,32,,,74898866.0,ns,2812
permutation__cmp__multiple_mult,WordPermutation,32,,,74571046.0,ns,2850
permutation__cmp__multiple_mult,WordPermutation,32,,,77284205.0,ns,2888
permutation__cmp__multiple_mult,WordPermutation,32,,,76656968.0,ns,2926
permutation__cmp__multiple_mult,WordPermutation,32,,,77643726.0,ns,2964
permutation__cmp__multiple_mult,WordPermutation,32,,,78584581.0,ns,3002
permutation__cmp__multiple_mult,WordPermutation,32,,,81246535.0,ns,3040
permutation__cmp__multiple_mult,WordPermutation,32,,,80579596.0,ns,3078
permutation__cmp__multiple_mult,WordPermutation,32,,,82976836.0,ns,3116
permutation__cmp__multiple_mult,WordPermutation,32,,,82800626.0,ns,3154
permutation__cmp__multiple_mult,WordPermutation,32,,,85104060.0,ns,3192
permutation__cmp__multiple_mult,WordPermutation,32,,,84615932.0,ns,3230
permutation__cmp__multiple_mult,WordPermutation,32,,,85611990.0,ns,3268
permutation__cmp__multiple_mult,WordPermutation,32,,,86565645.0,ns,3306
permutation__cmp__multiple_mult,WordPermutation,32,,,89430413.0,ns,3344
permutation__cmp__multiple_mult,WordPermutation,32,,,88482257.0,ns,3382
permutation__cmp__multiple_mult,WordPermutation,32,,,91094709.0,ns,3420
permutation__cmp__multiple_mult,WordPermutation,32,,,92035764.0,ns,3458
permutation__cmp__multiple_mult,WordPermutation,32,,,91666942.0,ns,3496
permutation__cmp__multiple_mult,WordPermutation,32,,,94596213.0,ns,3534
permutation__cmp__multiple_mult,WordPermutation,32,,,95188748.0,ns,3572
permutation__cmp__multiple_mult,WordPermutation,32,,,96419919.0,ns,3610
permutation__cmp__multiple_mult,WordPermutation,32,,,97147062.0,ns,3648
permutation__cmp__multiple_mult,WordPermutation,32,,,98696952.0,ns,3686
permutation__cmp__multiple_mult,WordPermutation,32,,,97606888.0,ns,3724
permutation__cmp__multiple_mult,WordPermutation,32,,,100388951.0,ns,3762
permutation__cmp__multiple_mult,WordPermutation,32,,,101725428.0,ns,3800
