group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult,WordPermutation,64,,,1016574.0,ns,39
permutation__cmp__multiple_mult,WordPermutation,64,,,2033849.0,ns,78
permutation__cmp__multiple_mult,WordPermutation,64,,,2868309.0,ns,117
permutation__cmp__multiple_mult,WordPermutation,64,,,4063597.0,ns,156
permutation__cmp__multiple_mult,WordPermutation,64,,,4909159.0,ns,195
permutation__cmp__multiple_mult,WordPermutation,64,,,6074744.0,ns,234
permutation__cmp__multiple_mult,WordPermutation,64,,,7051616.0,ns,273
permutation__cmp__multiple_mult,WordPermutation,64,,,8097792.0,ns,312
permutation__cmp__multiple_mult,WordPermutation,64,,,8849147.0,ns,351
permutation__cmp__multiple_mult,WordPermutation,64,,,9751413.0,ns,390
permutation__cmp__multiple_mult,WordPermutation,64,,,11158616.0,ns,429
permutation__cmp__multiple_mult,WordPermutation,64,,,12568419.0,ns,468
permutation__cmp__multiple_mult,WordPermutation,64,,,13234667.0,ns,507
permutation__cmp__multiple_mult,WordPermutation,64,,,13956621.0,ns,546
permutation__cmp__multiple_mult,WordPermutation,64,,,15294418.0,ns,585
permutation__cmp__multiple_mult,WordPermutation,64,,,16175282.0,ns,624
permutation__cmp__multiple_mult,WordPermutation,64,,,17381571.0,ns,663
permutation__cmp__multiple_mult,WordPermutation,64,,,18246734.0,ns,702
permutation__cmp__multiple_mult,WordPermutation,64,,,18259035.0,ns,741
permutation__cmp__multiple_mult,WordPermutation,64,,,20318285.0,ns,780
permutation__cmp__multiple_mult,WordPermutation,64,,,21354461.0,ns,819
permutation__cmp__multiple_mult,WordPermutation,64,,,22265028.0,ns,858
permutation__cmp__multiple_mult,WordPermutation,64,,,23269301.0,ns,897
permutation__cmp__multiple_mult,WordPermutation,64,,,24337279.0,ns,936
permutation__cmp__multiple_mult,WordPermutation,64,,,25583970.0,ns,975
permutation__cmp__multiple_mult,WordPermutation,64,,,26511638.0,ns,1014
permutation__cmp__multiple_mult,WordPermutation,64,,,27090680.0,ns,1053
permutation__cmp__multiple_mult,WordPermutation,64,,,26533040.0,ns,1092
permutation__cmp__multiple_mult,WordPermutation,64,,,29181833.0,ns,1131
permutation__cmp__multiple_mult,WordPermutation,64,,,29542860.0,ns,1170
permutation__cmp__multiple_mult,WordPermutation,64,,,30408923.0,ns,1209
permutation__cmp__multiple_mult,WordPermutation,64,,,31845528.0,ns,1248
permutation__cmp__multiple_mult,WordPermutation,64,,,32425370.0,ns,1287
permutation__cmp__multiple_mult,WordPermutation,64,,,34543425.0,ns,1326
permutation__cmp__multiple_mult,WordPermutation,64,,,35201673.0,ns,1365
permutation__cmp__multiple_mult,WordPermutation,64,,,35428489.0,ns,1404
permutation__cmp__multiple_mult,WordPermutation,64,,,36879795.0,ns,1443
