group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,998457.0,ns,84
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,2038816.0,ns,168
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,2973570.0,ns,252
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,3912524.0,ns,336
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,5001186.0,ns,420
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,5613321.0,ns,504
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,6787288.0,ns,588
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,8006558.0,ns,672
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,8591191.0,ns,756
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,10011773.0,ns,840
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,10756615.0,ns,924
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,11492657.0,ns,1008
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,12640923.0,ns,1092
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,14798246.0,ns,1176
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,16204127.0,ns,1260
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,15656396.0,ns,1344
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,16556847.0,ns,1428
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,18108636.0,ns,1512
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,19224800.0,ns,1596
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,20377565.0,ns,1680
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,20712284.0,ns,1764
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,22955212.0,ns,1848
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,23134322.0,ns,1932
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,24501401.0,ns,2016
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,25040732.0,ns,2100
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,26976342.0,ns,2184
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,28195712.0,ns,2268
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,27934198.0,ns,2352
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,28192112.0,ns,2436
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,29481085.0,ns,2520
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,30590549.0,ns,2604
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,32205742.0,ns,2688
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,33134795.0,ns,2772
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,35069306.0,ns,2856
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,38194584.0,ns,2940
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,34371666.0,ns,3024
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,40349107.0,ns,3108
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,35731743.0,ns,3192
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,38886224.0,ns,3276
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,39776775.0,ns,3360
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,41928397.0,ns,3444
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,40588120.0,ns,3528
permutation__cmp__multiple_mult_and_appl,BasedPermutation,16,,,43649196.0,ns,3612
