group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,1092584.0,ns,55
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,2128863.0,ns,110
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,3144741.0,ns,165
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,4241027.0,ns,220
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,4973983.0,ns,275
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,6100269.0,ns,330
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,7099346.0,ns,385
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,8380645.0,ns,440
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,8896184.0,ns,495
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,9683845.0,ns,550
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,10186183.0,ns,605
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,12095031.0,ns,660
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,12551966.0,ns,715
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,13878568.0,ns,770
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,14374205.0,ns,825
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,15850619.0,ns,880
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,17300430.0,ns,935
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,18194300.0,ns,990
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,18618032.0,ns,1045
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,19991738.0,ns,1100
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,20646687.0,ns,1155
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,22727648.0,ns,1210
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,22109400.0,ns,1265
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,22667344.0,ns,1320
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,25269543.0,ns,1375
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,26350227.0,ns,1430
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,27592622.0,ns,1485
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,28692607.0,ns,1540
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,29671782.0,ns,1595
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,29674682.0,ns,1650
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,29318155.0,ns,1705
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,29660381.0,ns,1760
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,30966882.0,ns,1815
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,35613839.0,ns,1870
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,34238333.0,ns,1925
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,35530532.0,ns,1980
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,37004546.0,ns,2035
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,37840610.0,ns,2090
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,39926171.0,ns,2145
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,38904092.0,ns,2200
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,41373482.0,ns,2255
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,40183490.0,ns,2310
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,43262527.0,ns,2365
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,46076044.0,ns,2420
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,46333463.0,ns,2475
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,46391668.0,ns,2530
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,48423824.0,ns,2585
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,48748349.0,ns,2640
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,49574813.0,ns,2695
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,53077982.0,ns,2750
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,50369674.0,ns,2805
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,52309523.0,ns,2860
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,51265843.0,ns,2915
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,54833217.0,ns,2970
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,55692783.0,ns,3025
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,55665881.0,ns,3080
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,58843426.0,ns,3135
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,60376643.0,ns,3190
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,59088945.0,ns,3245
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,63478582.0,ns,3300
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,63178559.0,ns,3355
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,63923417.0,ns,3410
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,65351127.0,ns,3465
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,63221863.0,ns,3520
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,66321200.0,ns,3575
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,67848018.0,ns,3630
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,68211646.0,ns,3685
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,68773690.0,ns,3740
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,69738663.0,ns,3795
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,70603930.0,ns,3850
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,71757319.0,ns,3905
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,72858703.0,ns,3960
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,72019039.0,ns,4015
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,72871704.0,ns,4070
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,74046994.0,ns,4125
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,77985598.0,ns,4180
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,79401407.0,ns,4235
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,82735963.0,ns,4290
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,81363757.0,ns,4345
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,80148764.0,ns,4400
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,82887575.0,ns,4455
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,83736040.0,ns,4510
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,85282127.0,ns,4565
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,86397920.0,ns,4620
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,85571359.0,ns,4675
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,86742546.0,ns,4730
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,91175882.0,ns,4785
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,91260888.0,ns,4840
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,92045347.0,ns,4895
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,95182984.0,ns,4950
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,94810356.0,ns,5005
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,94287316.0,ns,5060
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,94532335.0,ns,5115
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,94949867.0,ns,5170
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,96930616.0,ns,5225
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,101663073.0,ns,5280
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,100408278.0,ns,5335
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,100293370.0,ns,5390
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,101690075.0,ns,5445
permutation__cmp__multiple_mult_and_appl,BasedPermutation,32,,,101069028.0,ns,5500
