group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,1384790.0,ns,2
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,2639472.0,ns,4
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,4007361.0,ns,6
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,4633602.0,ns,8
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,6471722.0,ns,10
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,8070626.0,ns,12
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,9343709.0,ns,14
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,10488384.0,ns,16
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,12185895.0,ns,18
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,13554184.0,ns,20
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,14521647.0,ns,22
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,16095550.0,ns,24
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,17309629.0,ns,26
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,18791926.0,ns,28
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,20231919.0,ns,30
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,21470200.0,ns,32
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,22825289.0,ns,34
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,24026567.0,ns,36
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,25483162.0,ns,38
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,26745144.0,ns,40
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,28273944.0,ns,42
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,29481923.0,ns,44
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,30944219.0,ns,46
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,31860879.0,ns,48
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,33866809.0,ns,50
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,34558054.0,ns,52
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,35575821.0,ns,54
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,37411141.0,ns,56
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,37711460.0,ns,58
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,40037411.0,ns,60
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,40898567.0,ns,62
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,41754023.0,ns,64
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,43287524.0,ns,66
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,45356959.0,ns,68
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,46631641.0,ns,70
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,47734314.0,ns,72
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,50323382.0,ns,74
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,50296980.0,ns,76
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,50906420.0,ns,78
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,53284175.0,ns,80
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,54114829.0,ns,82
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,53952919.0,ns,84
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,58286602.0,ns,86
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,58509716.0,ns,88
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,60167925.0,ns,90
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,60923673.0,ns,92
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,62601483.0,ns,94
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,60635055.0,ns,96
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,64453604.0,ns,98
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,66777456.0,ns,100
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,68063940.0,ns,102
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,67901429.0,ns,104
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,69753850.0,ns,106
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,70684610.0,ns,108
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,74921337.0,ns,110
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,74268694.0,ns,112
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,74694025.0,ns,114
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,76985095.0,ns,116
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,78575412.0,ns,118
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,79025146.0,ns,120
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,82345892.0,ns,122
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,82076971.0,ns,124
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,83608385.0,ns,126
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,84015715.0,ns,128
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,85473823.0,ns,130
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,86681512.0,ns,132
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,88492346.0,ns,134
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,90003058.0,ns,136
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,89622530.0,ns,138
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,94374981.0,ns,140
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,94391382.0,ns,142
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,96817163.0,ns,144
permutation__cmp__multiple_mult_and_appl,MapPermutation,128,,,96138212.0,ns,146
