group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,1798093.0,ns,1
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,3582785.0,ns,2
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,5314970.0,ns,3
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,7060158.0,ns,4
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,8890553.0,ns,5
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,10649542.0,ns,6
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,12376327.0,ns,7
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,14158619.0,ns,8
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,16005117.0,ns,9
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,17736402.0,ns,10
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,19546996.0,ns,11
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,21335889.0,ns,12
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,22953761.0,ns,13
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,24808161.0,ns,14
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,26658559.0,ns,15
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,28441248.0,ns,16
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,30094225.0,ns,17
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,32027732.0,ns,18
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,33578198.0,ns,19
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,35424096.0,ns,20
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,37276494.0,ns,21
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,38915370.0,ns,22
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,40734265.0,ns,23
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,42506355.0,ns,24
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,44252142.0,ns,25
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,46048535.0,ns,26
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,47490089.0,ns,27
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,49691825.0,ns,28
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,51474116.0,ns,29
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,53188100.0,ns,30
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,55097405.0,ns,31
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,56411145.0,ns,32
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,58539172.0,ns,33
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,60229954.0,ns,34
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,62255071.0,ns,35
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,63854943.0,ns,36
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,65815248.0,ns,37
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,67443621.0,ns,38
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,68956484.0,ns,39
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,70585758.0,ns,40
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,72379751.0,ns,41
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,74329158.0,ns,42
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,76315772.0,ns,43
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,77810831.0,ns,44
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,79430405.0,ns,45
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,81020075.0,ns,46
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,83464137.0,ns,47
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,85148117.0,ns,48
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,87073124.0,ns,49
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,88517871.0,ns,50
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,90747309.0,ns,51
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,91851827.0,ns,52
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,94092967.0,ns,53
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,95882358.0,ns,54
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,97131793.0,ns,55
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,99905789.0,ns,56
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,101062413.0,ns,57
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,102870206.0,ns,58
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,104761408.0,ns,59
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,106461884.0,ns,60
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,107927438.0,ns,61
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,110193181.0,ns,62
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,111183087.0,ns,63
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,114036992.0,ns,64
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,114985293.0,ns,65
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,117335545.0,ns,66
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,118872109.0,ns,67
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,119708597.0,ns,68
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,122430379.0,ns,69
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,123516895.0,ns,70
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,125899250.0,ns,71
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,127385608.0,ns,72
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,128275403.0,ns,73
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,131372835.0,ns,74
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,133127322.0,ns,75
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,135134433.0,ns,76
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,136196438.0,ns,77
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,138697806.0,ns,78
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,140829733.0,ns,79
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,141786335.0,ns,80
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,143973169.0,ns,81
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,144607536.0,ns,82
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,147369127.0,ns,83
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,147958482.0,ns,84
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,150315434.0,ns,85
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,153184139.0,ns,86
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,154679599.0,ns,87
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,154763608.0,ns,88
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,158183272.0,ns,89
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,158674714.0,ns,90
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,160825342.0,ns,91
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,163079882.0,ns,92
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,166027096.0,ns,93
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,166002494.0,ns,94
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,169091723.0,ns,95
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,170213231.0,ns,96
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,171952513.0,ns,97
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,174279661.0,ns,98
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,175280268.0,ns,99
permutation__cmp__multiple_mult_and_appl,MapPermutation,256,,,177320385.0,ns,100
