group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,945569.0,ns,64
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,1995445.0,ns,128
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,3095725.0,ns,192
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,3748472.0,ns,256
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,4991462.0,ns,320
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,5932530.0,ns,384
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,6933403.0,ns,448
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,8084287.0,ns,512
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,9085259.0,ns,576
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,10122234.0,ns,640
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,11121306.0,ns,704
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,12136180.0,ns,768
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,13173656.0,ns,832
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,14093923.0,ns,896
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,15250607.0,ns,960
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,16213076.0,ns,1024
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,17509070.0,ns,1088
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,18245224.0,ns,1152
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,18620850.0,ns,1216
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,20249369.0,ns,1280
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,20796009.0,ns,1344
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,22404526.0,ns,1408
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,23691619.0,ns,1472
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,24126850.0,ns,1536
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,25563355.0,ns,1600
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,26108994.0,ns,1664
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,26425517.0,ns,1728
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,27305981.0,ns,1792
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,29248322.0,ns,1856
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,30329200.0,ns,1920
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,31601493.0,ns,1984
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,31867012.0,ns,2048
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,32030823.0,ns,2112
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,34425697.0,ns,2176
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,33832454.0,ns,2240
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,35071645.0,ns,2304
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,36884076.0,ns,2368
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,37068890.0,ns,2432
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,37945053.0,ns,2496
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,39777086.0,ns,2560
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,41089280.0,ns,2624
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,41207089.0,ns,2688
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,42403777.0,ns,2752
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,43908885.0,ns,2816
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,44641438.0,ns,2880
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,46163749.0,ns,2944
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,47520347.0,ns,3008
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,48280403.0,ns,3072
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,48615426.0,ns,3136
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,50268846.0,ns,3200
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,49963725.0,ns,3264
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,51808358.0,ns,3328
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,51928767.0,ns,3392
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,53996217.0,ns,3456
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,54331342.0,ns,3520
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,53474679.0,ns,3584
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,55887855.0,ns,3648
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,57962105.0,ns,3712
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,58851069.0,ns,3776
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,60674401.0,ns,3840
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,60886517.0,ns,3904
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,62758553.0,ns,3968
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,63520908.0,ns,4032
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,64081949.0,ns,4096
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,64959912.0,ns,4160
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,65540555.0,ns,4224
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,66889052.0,ns,4288
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,68195248.0,ns,4352
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,66828848.0,ns,4416
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,70325001.0,ns,4480
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,70961148.0,ns,4544
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,70675927.0,ns,4608
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,72007924.0,ns,4672
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,69340431.0,ns,4736
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,74689318.0,ns,4800
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,74753123.0,ns,4864
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,76413544.0,ns,4928
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,78589501.0,ns,4992
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,79514168.0,ns,5056
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,80023305.0,ns,5120
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,80963573.0,ns,5184
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,79724884.0,ns,5248
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,81333600.0,ns,5312
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,83952590.0,ns,5376
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,85372993.0,ns,5440
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,85271086.0,ns,5504
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,86652986.0,ns,5568
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,87802569.0,ns,5632
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,86133749.0,ns,5696
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,90064134.0,ns,5760
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,90069334.0,ns,5824
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,90310951.0,ns,5888
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,93880110.0,ns,5952
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,94743673.0,ns,6016
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,95800350.0,ns,6080
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,96695815.0,ns,6144
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,95558754.0,ns,6208
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,96263912.0,ns,6272
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,98210054.0,ns,6336
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,99513048.0,ns,6400
