group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,1021021.0,ns,73
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,1995936.0,ns,146
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,3067862.0,ns,219
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,3918563.0,ns,292
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,4934984.0,ns,365
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,6158628.0,ns,438
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,7001328.0,ns,511
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,8475702.0,ns,584
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,8887450.0,ns,657
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,9972679.0,ns,730
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,11248529.0,ns,803
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,12305754.0,ns,876
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,12891522.0,ns,949
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,13902343.0,ns,1022
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,14886458.0,ns,1095
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,15868574.0,ns,1168
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,16718974.0,ns,1241
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,17991725.0,ns,1314
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,18831824.0,ns,1387
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,19836643.0,ns,1460
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,21466935.0,ns,1533
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,21845780.0,ns,1606
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,22828696.0,ns,1679
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,23826114.0,ns,1752
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,24798729.0,ns,1825
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,26504030.0,ns,1898
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,26867174.0,ns,1971
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,27867792.0,ns,2044
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,28838006.0,ns,2117
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,29826623.0,ns,2190
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,30839642.0,ns,2263
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,31841860.0,ns,2336
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,32830878.0,ns,2409
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,33813794.0,ns,2482
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,34819912.0,ns,2555
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,36782144.0,ns,2628
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,37997488.0,ns,2701
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,37720256.0,ns,2774
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,38710972.0,ns,2847
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,39681587.0,ns,2920
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,41888347.0,ns,2993
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,41820740.0,ns,3066
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,42782453.0,ns,3139
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,43769970.0,ns,3212
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,44771388.0,ns,3285
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,45751101.0,ns,3358
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,48003064.0,ns,3431
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,48031468.0,ns,3504
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,48583833.0,ns,3577
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,49586351.0,ns,3650
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,50587370.0,ns,3723
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,51588188.0,ns,3796
permutation__cmp__multiple_mult_and_appl,StandardPermutation,128,,,52540900.0,ns,3869
