group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,1096113.0,ns,13
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,2191227.0,ns,26
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,3256636.0,ns,39
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,4412456.0,ns,52
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,5486766.0,ns,65
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,6595481.0,ns,78
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,7642590.0,ns,91
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,8767106.0,ns,104
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,9775710.0,ns,117
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,10290463.0,ns,130
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,12067347.0,ns,143
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,13013345.0,ns,156
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,14275275.0,ns,169
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,15278278.0,ns,182
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,16285682.0,ns,195
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,17439001.0,ns,208
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,18864549.0,ns,221
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,19601024.0,ns,234
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,20819751.0,ns,247
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,21708543.0,ns,260
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,23114988.0,ns,273
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,24411822.0,ns,286
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,25158999.0,ns,299
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,26486336.0,ns,312
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,27141204.0,ns,325
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,28113905.0,ns,338
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,29550353.0,ns,351
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,30512352.0,ns,364
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,31915297.0,ns,377
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,32651673.0,ns,390
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,34051517.0,ns,403
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,35087525.0,ns,416
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,36191539.0,ns,429
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,37363660.0,ns,442
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,38049931.0,ns,455
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,39507881.0,ns,468
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,40431476.0,ns,481
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,41249961.0,ns,494
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,42639505.0,ns,507
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,43557399.0,ns,520
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,44917138.0,ns,533
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,45535900.0,ns,546
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,46889840.0,ns,559
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,48016657.0,ns,572
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,48815739.0,ns,585
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,50001262.0,ns,598
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,51684235.0,ns,611
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,52684739.0,ns,624
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,53827356.0,ns,637
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,54008776.0,ns,650
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,55835164.0,ns,663
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,56664149.0,ns,676
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,58342922.0,ns,689
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,58449834.0,ns,702
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,59944088.0,ns,715
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,60833779.0,ns,728
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,62388840.0,ns,741
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,63356940.0,ns,754
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,64180222.0,ns,767
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,65031708.0,ns,780
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,66462855.0,ns,793
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,67559968.0,ns,806
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,68489265.0,ns,819
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,69737093.0,ns,832
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,71593385.0,ns,845
permutation__cmp__multiple_mult_and_appl,SyncPermutation,512,,,71214546.0,ns,858
