group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,987756.0,ns,127
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,1998814.0,ns,254
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,2937969.0,ns,381
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,3979328.0,ns,508
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,4864979.0,ns,635
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,5899839.0,ns,762
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,6804090.0,ns,889
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,7980558.0,ns,1016
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,8967714.0,ns,1143
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,9824764.0,ns,1270
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,10991930.0,ns,1397
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,11720072.0,ns,1524
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,12734130.0,ns,1651
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,13664584.0,ns,1778
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,14881553.0,ns,1905
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,15617196.0,ns,2032
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,16761161.0,ns,2159
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,17472202.0,ns,2286
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,18460159.0,ns,2413
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,19621425.0,ns,2540
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,20822294.0,ns,2667
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,21511434.0,ns,2794
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,22348682.0,ns,2921
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,23616954.0,ns,3048
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,24918529.0,ns,3175
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,25618269.0,ns,3302
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,26561324.0,ns,3429
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,27675987.0,ns,3556
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,29048866.0,ns,3683
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,29424487.0,ns,3810
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,30948075.0,ns,3937
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,31485206.0,ns,4064
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,32731977.0,ns,4191
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,33708333.0,ns,4318
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,34484477.0,ns,4445
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,35557139.0,ns,4572
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,36667203.0,ns,4699
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,37565354.0,ns,4826
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,38758323.0,ns,4953
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,38845927.0,ns,5080
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,40088998.0,ns,5207
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,41495879.0,ns,5334
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,42844857.0,ns,5461
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,43783511.0,ns,5588
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,45039683.0,ns,5715
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,45437705.0,ns,5842
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,45956736.0,ns,5969
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,47461221.0,ns,6096
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,48634189.0,ns,6223
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,49758854.0,ns,6350
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,50088072.0,ns,6477
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,51581358.0,ns,6604
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,51765668.0,ns,6731
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,53456966.0,ns,6858
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,54359017.0,ns,6985
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,54659734.0,ns,7112
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,55848803.0,ns,7239
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,56806257.0,ns,7366
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,58305143.0,ns,7493
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,58880276.0,ns,7620
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,60549772.0,ns,7747
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,61502927.0,ns,7874
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,62462182.0,ns,8001
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,63777857.0,ns,8128
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,63795658.0,ns,8255
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,64078274.0,ns,8382
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,65036230.0,ns,8509
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,65756570.0,ns,8636
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,68772844.0,ns,8763
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,68539530.0,ns,8890
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,69954411.0,ns,9017
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,71016972.0,ns,9144
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,71844719.0,ns,9271
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,73294103.0,ns,9398
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,73934739.0,ns,9525
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,74863593.0,ns,9652
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,75148009.0,ns,9779
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,76814504.0,ns,9906
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,77234729.0,ns,10033
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,80532717.0,ns,10160
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,79781374.0,ns,10287
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,81420569.0,ns,10414
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,81714085.0,ns,10541
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,82358122.0,ns,10668
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,83030660.0,ns,10795
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,85963529.0,ns,10922
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,86025733.0,ns,11049
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,86506060.0,ns,11176
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,86686870.0,ns,11303
permutation__cmp__multiple_mult_and_appl,SyncPermutation,8,,,90876811.0,ns,11430
