group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,1007813.0,ns,26
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,2028228.0,ns,52
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,3015239.0,ns,78
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,4027052.0,ns,104
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,5039266.0,ns,130
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,6056580.0,ns,156
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,7071194.0,ns,182
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,8059005.0,ns,208
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,9070019.0,ns,234
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,10036327.0,ns,260
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,11131051.0,ns,286
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,12094658.0,ns,312
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,13106672.0,ns,338
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,14127887.0,ns,364
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,15010286.0,ns,390
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,16069105.0,ns,416
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,17152127.0,ns,442
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,18191243.0,ns,468
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,19159752.0,ns,494
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,20160964.0,ns,520
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,21153076.0,ns,546
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,22143587.0,ns,572
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,23051590.0,ns,598
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,24154913.0,ns,624
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,25269339.0,ns,650
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,26224345.0,ns,676
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,27248660.0,ns,702
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,28211069.0,ns,728
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,29082566.0,ns,754
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,30322406.0,ns,780
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,31176202.0,ns,806
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,32083103.0,ns,832
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,33179727.0,ns,858
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,34399664.0,ns,884
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,35340570.0,ns,910
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,36307178.0,ns,936
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,37290888.0,ns,962
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,38313703.0,ns,988
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,39226306.0,ns,1014
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,40276723.0,ns,1040
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,41405250.0,ns,1066
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,42343656.0,ns,1092
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,43369271.0,ns,1118
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,44450789.0,ns,1144
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,45354690.0,ns,1170
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,46131777.0,ns,1196
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,47183495.0,ns,1222
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,48402933.0,ns,1248
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,49459051.0,ns,1274
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,50446961.0,ns,1300
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,51441573.0,ns,1326
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,52550998.0,ns,1352
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,53447598.0,ns,1378
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,54439809.0,ns,1404
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,55439122.0,ns,1430
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,56459536.0,ns,1456
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,57410643.0,ns,1482
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,58613578.0,ns,1508
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,59619391.0,ns,1534
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,60104945.0,ns,1560
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,61511103.0,ns,1586
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,62639728.0,ns,1612
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,63624534.0,ns,1638
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,64592243.0,ns,1664
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,65640660.0,ns,1690
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,66497656.0,ns,1716
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,67360754.0,ns,1742
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,68467677.0,ns,1768
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,69516196.0,ns,1794
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,70527208.0,ns,1820
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,71619231.0,ns,1846
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,72471126.0,ns,1872
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,73622555.0,ns,1898
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,74653271.0,ns,1924
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,75390154.0,ns,1950
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,76888121.0,ns,1976
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,77630298.0,ns,2002
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,78688217.0,ns,2028
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,79790640.0,ns,2054
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,80495019.0,ns,2080
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,81527335.0,ns,2106
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,82630858.0,ns,2132
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,83386042.0,ns,2158
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,84640883.0,ns,2184
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,85421071.0,ns,2210
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,86675111.0,ns,2236
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,87759233.0,ns,2262
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,88502115.0,ns,2288
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,89808654.0,ns,2314
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,90822168.0,ns,2340
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,91729469.0,ns,2366
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,92307534.0,ns,2392
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,93883510.0,ns,2418
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,94955531.0,ns,2444
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,96033451.0,ns,2470
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,96528406.0,ns,2496
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,97751143.0,ns,2522
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,98921275.0,ns,2548
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,99843873.0,ns,2574
permutation__cmp__multiple_mult_and_appl,WordPermutation,128,,,100992597.0,ns,2600
