group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,1038378.0,ns,37
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,2058155.0,ns,74
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,3072831.0,ns,111
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,4055205.0,ns,148
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,5104383.0,ns,185
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,5801836.0,ns,222
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,6874816.0,ns,259
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,7451660.0,ns,296
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,8097508.0,ns,333
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,8824162.0,ns,370
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,11099234.0,ns,407
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,12151812.0,ns,444
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,12833363.0,ns,481
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,14024754.0,ns,518
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,14983325.0,ns,555
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,15829689.0,ns,592
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,16527741.0,ns,629
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,17788136.0,ns,666
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,18955623.0,ns,703
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,20354529.0,ns,740
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,21316801.0,ns,777
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,22339577.0,ns,814
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,23507666.0,ns,851
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,24187416.0,ns,888
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,25388107.0,ns,925
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,25078783.0,ns,962
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,27525067.0,ns,999
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,28071208.0,ns,1036
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,29391908.0,ns,1073
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,30475788.0,ns,1110
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,31477864.0,ns,1147
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,32132113.0,ns,1184
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,32164316.0,ns,1221
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,33729732.0,ns,1258
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,34314676.0,ns,1295
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,35527367.0,ns,1332
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,37444411.0,ns,1369
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,38569596.0,ns,1406
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,38519293.0,ns,1443
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,38506291.0,ns,1480
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,40246322.0,ns,1517
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,42188868.0,ns,1554
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,41819240.0,ns,1591
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,43927799.0,ns,1628
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,43964102.0,ns,1665
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,45720533.0,ns,1702
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,47382259.0,ns,1739
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,48402234.0,ns,1776
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,49610425.0,ns,1813
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,50317879.0,ns,1850
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,51602875.0,ns,1887
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,51638478.0,ns,1924
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,53824042.0,ns,1961
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,54651504.0,ns,1998
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,55215446.0,ns,2035
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,55103138.0,ns,2072
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,55650079.0,ns,2109
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,58154867.0,ns,2146
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,59048634.0,ns,2183
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,60851770.0,ns,2220
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,61591925.0,ns,2257
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,61688032.0,ns,2294
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,63289053.0,ns,2331
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,64566548.0,ns,2368
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,65573924.0,ns,2405
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,66385085.0,ns,2442
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,66619402.0,ns,2479
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,67434263.0,ns,2516
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,67701284.0,ns,2553
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,69655031.0,ns,2590
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,67796591.0,ns,2627
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,70821518.0,ns,2664
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,72253225.0,ns,2701
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,73824943.0,ns,2738
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,75297254.0,ns,2775
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,74889324.0,ns,2812
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,76103915.0,ns,2849
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,78081563.0,ns,2886
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,79104741.0,ns,2923
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,80729762.0,ns,2960
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,81336508.0,ns,2997
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,82698410.0,ns,3034
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,83536073.0,ns,3071
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,83690084.0,ns,3108
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,83440066.0,ns,3145
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,86102466.0,ns,3182
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,86336784.0,ns,3219
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,85659532.0,ns,3256
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,86721212.0,ns,3293
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,87990808.0,ns,3330
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,88634956.0,ns,3367
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,88355335.0,ns,3404
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,92197623.0,ns,3441
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,93181497.0,ns,3478
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,94921628.0,ns,3515
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,96178122.0,ns,3552
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,97470920.0,ns,3589
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,100060414.0,ns,3626
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,99379363.0,ns,3663
permutation__cmp__multiple_mult_and_appl,WordPermutation,8,,,100276730.0,ns,3700
