group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__order,BasedPermutation,128,,,1024074.0,ns,53
permutation__cmp__order,BasedPermutation,128,,,2069349.0,ns,106
permutation__cmp__order,BasedPermutation,128,,,2929810.0,ns,159
permutation__cmp__order,BasedPermutation,128,,,4041489.0,ns,212
permutation__cmp__order,BasedPermutation,128,,,5424189.0,ns,265
permutation__cmp__order,BasedPermutation,128,,,6656177.0,ns,318
permutation__cmp__order,BasedPermutation,128,,,6773485.0,ns,371
permutation__cmp__order,BasedPermutation,128,,,8057077.0,ns,424
permutation__cmp__order,BasedPermutation,128,,,9226761.0,ns,477
permutation__cmp__order,BasedPermutation,128,,,9595188.0,ns,530
permutation__cmp__order,BasedPermutation,128,,,11928555.0,ns,583
permutation__cmp__order,BasedPermutation,128,,,13116240.0,ns,636
permutation__cmp__order,BasedPermutation,128,,,13448464.0,ns,689
permutation__cmp__order,BasedPermutation,128,,,13743586.0,ns,742
permutation__cmp__order,BasedPermutation,128,,,15162987.0,ns,795
permutation__cmp__order,BasedPermutation,128,,,17165130.0,ns,848
permutation__cmp__order,BasedPermutation,128,,,16696597.0,ns,901
permutation__cmp__order,BasedPermutation,128,,,16508883.0,ns,954
permutation__cmp__order,BasedPermutation,128,,,18765745.0,ns,1007
permutation__cmp__order,BasedPermutation,128,,,20023336.0,ns,1060
permutation__cmp__order,BasedPermutation,128,,,21116014.0,ns,1113
permutation__cmp__order,BasedPermutation,128,,,22349602.0,ns,1166
permutation__cmp__order,BasedPermutation,128,,,24995692.0,ns,1219
permutation__cmp__order,BasedPermutation,128,,,25668341.0,ns,1272
permutation__cmp__order,BasedPermutation,128,,,26868726.0,ns,1325
permutation__cmp__order,BasedPermutation,128,,,25614236.0,ns,1378
permutation__cmp__order,BasedPermutation,128,,,28833367.0,ns,1431
permutation__cmp__order,BasedPermutation,128,,,26845824.0,ns,1484
permutation__cmp__order,BasedPermutation,128,,,27452367.0,ns,1537
permutation__cmp__order,BasedPermutation,128,,,31280042.0,ns,1590
permutation__cmp__order,BasedPermutation,128,,,33170578.0,ns,1643
permutation__cmp__order,BasedPermutation,128,,,33658213.0,ns,1696
permutation__cmp__order,BasedPermutation,128,,,32106302.0,ns,1749
permutation__cmp__order,BasedPermutation,128,,,32137004.0,ns,1802
permutation__cmp__order,BasedPermutation,128,,,34793894.0,ns,1855
permutation__cmp__order,BasedPermutation,128,,,37482487.0,ns,1908
