group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__order,BasedPermutation,16,,,1041872.0,ns,394
permutation__cmp__order,BasedPermutation,16,,,2045841.0,ns,788
permutation__cmp__order,BasedPermutation,16,,,3074212.0,ns,1182
permutation__cmp__order,BasedPermutation,16,,,3908769.0,ns,1576
permutation__cmp__order,BasedPermutation,16,,,5351169.0,ns,1970
permutation__cmp__order,BasedPermutation,16,,,6240330.0,ns,2364
permutation__cmp__order,BasedPermutation,16,,,7124390.0,ns,2758
permutation__cmp__order,BasedPermutation,16,,,8255769.0,ns,3152
permutation__cmp__order,BasedPermutation,16,,,9192033.0,ns,3546
permutation__cmp__order,BasedPermutation,16,,,10330612.0,ns,3940
permutation__cmp__order,BasedPermutation,16,,,11580297.0,ns,4334
permutation__cmp__order,BasedPermutation,16,,,12250743.0,ns,4728
permutation__cmp__order,BasedPermutation,16,,,12346651.0,ns,5122
permutation__cmp__order,BasedPermutation,16,,,15334156.0,ns,5516
permutation__cmp__order,BasedPermutation,16,,,15640677.0,ns,5910
permutation__cmp__order,BasedPermutation,16,,,16512938.0,ns,6304
permutation__cmp__order,BasedPermutation,16,,,18050843.0,ns,6698
permutation__cmp__order,BasedPermutation,16,,,18216755.0,ns,7092
permutation__cmp__order,BasedPermutation,16,,,19400936.0,ns,7486
permutation__cmp__order,BasedPermutation,16,,,21027748.0,ns,7880
permutation__cmp__order,BasedPermutation,16,,,21871006.0,ns,8274
permutation__cmp__order,BasedPermutation,16,,,21472979.0,ns,8668
permutation__cmp__order,BasedPermutation,16,,,22997284.0,ns,9062
permutation__cmp__order,BasedPermutation,16,,,24285673.0,ns,9456
permutation__cmp__order,BasedPermutation,16,,,24516788.0,ns,9850
permutation__cmp__order,BasedPermutation,16,,,24589394.0,ns,10244
permutation__cmp__order,BasedPermutation,16,,,27121567.0,ns,10638
permutation__cmp__order,BasedPermutation,16,,,30400294.0,ns,11032
permutation__cmp__order,BasedPermutation,16,,,29710546.0,ns,11426
permutation__cmp__order,BasedPermutation,16,,,31789089.0,ns,11820
permutation__cmp__order,BasedPermutation,16,,,30624309.0,ns,12214
permutation__cmp__order,BasedPermutation,16,,,31151945.0,ns,12608
permutation__cmp__order,BasedPermutation,16,,,38484650.0,ns,13002
permutation__cmp__order,BasedPermutation,16,,,34199156.0,ns,13396
permutation__cmp__order,BasedPermutation,16,,,36177491.0,ns,13790
permutation__cmp__order,BasedPermutation,16,,,36708728.0,ns,14184
permutation__cmp__order,BasedPermutation,16,,,37273967.0,ns,14578
permutation__cmp__order,BasedPermutation,16,,,39216001.0,ns,14972
permutation__cmp__order,BasedPermutation,16,,,39957352.0,ns,15366
permutation__cmp__order,BasedPermutation,16,,,41658069.0,ns,15760
permutation__cmp__order,BasedPermutation,16,,,40145265.0,ns,16154
permutation__cmp__order,BasedPermutation,16,,,42449523.0,ns,16548
permutation__cmp__order,BasedPermutation,16,,,42206207.0,ns,16942
permutation__cmp__order,BasedPermutation,16,,,45392226.0,ns,17336
permutation__cmp__order,BasedPermutation,16,,,45321521.0,ns,17730
permutation__cmp__order,BasedPermutation,16,,,47887698.0,ns,18124
permutation__cmp__order,BasedPermutation,16,,,48814762.0,ns,18518
permutation__cmp__order,BasedPermutation,16,,,52684728.0,ns,18912
permutation__cmp__order,BasedPermutation,16,,,53003750.0,ns,19306
permutation__cmp__order,BasedPermutation,16,,,50429172.0,ns,19700
permutation__cmp__order,BasedPermutation,16,,,50199756.0,ns,20094
permutation__cmp__order,BasedPermutation,16,,,52664927.0,ns,20488
permutation__cmp__order,BasedPermutation,16,,,52139190.0,ns,20882
permutation__cmp__order,BasedPermutation,16,,,54725169.0,ns,21276
permutation__cmp__order,BasedPermutation,16,,,56306577.0,ns,21670
