group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__order,MapPermutation,256,,,1036674.0,ns,21
permutation__cmp__order,MapPermutation,256,,,2169754.0,ns,42
permutation__cmp__order,MapPermutation,256,,,3379440.0,ns,63
permutation__cmp__order,MapPermutation,256,,,4166396.0,ns,84
permutation__cmp__order,MapPermutation,256,,,5291376.0,ns,105
permutation__cmp__order,MapPermutation,256,,,5728607.0,ns,126
permutation__cmp__order,MapPermutation,256,,,6597768.0,ns,147
permutation__cmp__order,MapPermutation,256,,,7346521.0,ns,168
permutation__cmp__order,MapPermutation,256,,,8271287.0,ns,189
permutation__cmp__order,MapPermutation,256,,,9393467.0,ns,210
permutation__cmp__order,MapPermutation,256,,,13146933.0,ns,231
permutation__cmp__order,MapPermutation,256,,,11524318.0,ns,252
permutation__cmp__order,MapPermutation,256,,,14719645.0,ns,273
permutation__cmp__order,MapPermutation,256,,,13937490.0,ns,294
permutation__cmp__order,MapPermutation,256,,,14601637.0,ns,315
permutation__cmp__order,MapPermutation,256,,,15094271.0,ns,336
permutation__cmp__order,MapPermutation,256,,,16169948.0,ns,357
permutation__cmp__order,MapPermutation,256,,,19052352.0,ns,378
permutation__cmp__order,MapPermutation,256,,,19776604.0,ns,399
permutation__cmp__order,MapPermutation,256,,,20328043.0,ns,420
permutation__cmp__order,MapPermutation,256,,,21265710.0,ns,441
permutation__cmp__order,MapPermutation,256,,,22971930.0,ns,462
permutation__cmp__order,MapPermutation,256,,,27611360.0,ns,483
permutation__cmp__order,MapPermutation,256,,,24647250.0,ns,504
permutation__cmp__order,MapPermutation,256,,,24061508.0,ns,525
permutation__cmp__order,MapPermutation,256,,,28284808.0,ns,546
permutation__cmp__order,MapPermutation,256,,,25749228.0,ns,567
permutation__cmp__order,MapPermutation,256,,,27835976.0,ns,588
permutation__cmp__order,MapPermutation,256,,,31878264.0,ns,609
permutation__cmp__order,MapPermutation,256,,,35903549.0,ns,630
permutation__cmp__order,MapPermutation,256,,,30129739.0,ns,651
permutation__cmp__order,MapPermutation,256,,,36667203.0,ns,672
permutation__cmp__order,MapPermutation,256,,,38431928.0,ns,693
permutation__cmp__order,MapPermutation,256,,,32776927.0,ns,714
permutation__cmp__order,MapPermutation,256,,,35185998.0,ns,735
permutation__cmp__order,MapPermutation,256,,,34394441.0,ns,756
permutation__cmp__order,MapPermutation,256,,,37032429.0,ns,777
permutation__cmp__order,MapPermutation,256,,,36916021.0,ns,798
permutation__cmp__order,MapPermutation,256,,,37313250.0,ns,819
permutation__cmp__order,MapPermutation,256,,,43870015.0,ns,840
permutation__cmp__order,MapPermutation,256,,,48587449.0,ns,861
permutation__cmp__order,MapPermutation,256,,,39214084.0,ns,882
permutation__cmp__order,MapPermutation,256,,,50949318.0,ns,903
permutation__cmp__order,MapPermutation,256,,,47279157.0,ns,924
permutation__cmp__order,MapPermutation,256,,,50800306.0,ns,945
permutation__cmp__order,MapPermutation,256,,,45556634.0,ns,966
permutation__cmp__order,MapPermutation,256,,,49486013.0,ns,987
permutation__cmp__order,MapPermutation,256,,,47915802.0,ns,1008
permutation__cmp__order,MapPermutation,256,,,55916569.0,ns,1029
permutation__cmp__order,MapPermutation,256,,,47762691.0,ns,1050
permutation__cmp__order,MapPermutation,256,,,47374663.0,ns,1071
permutation__cmp__order,MapPermutation,256,,,53784618.0,ns,1092
permutation__cmp__order,MapPermutation,256,,,55071010.0,ns,1113
permutation__cmp__order,MapPermutation,256,,,60812217.0,ns,1134
permutation__cmp__order,MapPermutation,256,,,52754345.0,ns,1155
permutation__cmp__order,MapPermutation,256,,,53042366.0,ns,1176
permutation__cmp__order,MapPermutation,256,,,64421574.0,ns,1197
permutation__cmp__order,MapPermutation,256,,,68017228.0,ns,1218
permutation__cmp__order,MapPermutation,256,,,70996941.0,ns,1239
permutation__cmp__order,MapPermutation,256,,,67395585.0,ns,1260
permutation__cmp__order,MapPermutation,256,,,68681776.0,ns,1281
permutation__cmp__order,MapPermutation,256,,,61438061.0,ns,1302
permutation__cmp__order,MapPermutation,256,,,61450663.0,ns,1323
permutation__cmp__order,MapPermutation,256,,,62803758.0,ns,1344
permutation__cmp__order,MapPermutation,256,,,64490579.0,ns,1365
permutation__cmp__order,MapPermutation,256,,,66843546.0,ns,1386
permutation__cmp__order,MapPermutation,256,,,79101116.0,ns,1407
permutation__cmp__order,MapPermutation,256,,,67265475.0,ns,1428
permutation__cmp__order,MapPermutation,256,,,79118417.0,ns,1449
permutation__cmp__order,MapPermutation,256,,,72800868.0,ns,1470
permutation__cmp__order,MapPermutation,256,,,77917532.0,ns,1491
permutation__cmp__order,MapPermutation,256,,,72751065.0,ns,1512
permutation__cmp__order,MapPermutation,256,,,73130092.0,ns,1533
permutation__cmp__order,MapPermutation,256,,,75826083.0,ns,1554
permutation__cmp__order,MapPermutation,256,,,76851556.0,ns,1575
permutation__cmp__order,MapPermutation,256,,,77321889.0,ns,1596
permutation__cmp__order,MapPermutation,256,,,85866496.0,ns,1617
permutation__cmp__order,MapPermutation,256,,,76376122.0,ns,1638
permutation__cmp__order,MapPermutation,256,,,76026198.0,ns,1659
permutation__cmp__order,MapPermutation,256,,,81074156.0,ns,1680
permutation__cmp__order,MapPermutation,256,,,89433549.0,ns,1701
permutation__cmp__order,MapPermutation,256,,,84627608.0,ns,1722
permutation__cmp__order,MapPermutation,256,,,89381146.0,ns,1743
permutation__cmp__order,MapPermutation,256,,,93631748.0,ns,1764
permutation__cmp__order,MapPermutation,256,,,87134286.0,ns,1785
permutation__cmp__order,MapPermutation,256,,,85905099.0,ns,1806
permutation__cmp__order,MapPermutation,256,,,82376248.0,ns,1827
permutation__cmp__order,MapPermutation,256,,,91792117.0,ns,1848
permutation__cmp__order,MapPermutation,256,,,97646833.0,ns,1869
permutation__cmp__order,MapPermutation,256,,,87477211.0,ns,1890
permutation__cmp__order,MapPermutation,256,,,92443763.0,ns,1911
permutation__cmp__order,MapPermutation,256,,,93758656.0,ns,1932
permutation__cmp__order,MapPermutation,256,,,91703010.0,ns,1953
permutation__cmp__order,MapPermutation,256,,,98021259.0,ns,1974
permutation__cmp__order,MapPermutation,256,,,91978830.0,ns,1995
permutation__cmp__order,MapPermutation,256,,,95967813.0,ns,2016
permutation__cmp__order,MapPermutation,256,,,91391288.0,ns,2037
permutation__cmp__order,MapPermutation,256,,,99922294.0,ns,2058
permutation__cmp__order,MapPermutation,256,,,96173827.0,ns,2079
permutation__cmp__order,MapPermutation,256,,,118269197.0,ns,2100
