group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__order,MapPermutation,512,,,1194890.0,ns,8
permutation__cmp__order,MapPermutation,512,,,1864041.0,ns,16
permutation__cmp__order,MapPermutation,512,,,3883394.0,ns,24
permutation__cmp__order,MapPermutation,512,,,4521442.0,ns,32
permutation__cmp__order,MapPermutation,512,,,4957175.0,ns,40
permutation__cmp__order,MapPermutation,512,,,5607524.0,ns,48
permutation__cmp__order,MapPermutation,512,,,8886672.0,ns,56
permutation__cmp__order,MapPermutation,512,,,7086935.0,ns,64
permutation__cmp__order,MapPermutation,512,,,8670155.0,ns,72
permutation__cmp__order,MapPermutation,512,,,8577049.0,ns,80
permutation__cmp__order,MapPermutation,512,,,13947854.0,ns,88
permutation__cmp__order,MapPermutation,512,,,13116392.0,ns,96
permutation__cmp__order,MapPermutation,512,,,11952104.0,ns,104
permutation__cmp__order,MapPermutation,512,,,13453817.0,ns,112
permutation__cmp__order,MapPermutation,512,,,13302305.0,ns,120
permutation__cmp__order,MapPermutation,512,,,19780696.0,ns,128
permutation__cmp__order,MapPermutation,512,,,14189572.0,ns,136
permutation__cmp__order,MapPermutation,512,,,19547778.0,ns,144
permutation__cmp__order,MapPermutation,512,,,20604657.0,ns,152
permutation__cmp__order,MapPermutation,512,,,18735416.0,ns,160
permutation__cmp__order,MapPermutation,512,,,18924131.0,ns,168
permutation__cmp__order,MapPermutation,512,,,25916760.0,ns,176
permutation__cmp__order,MapPermutation,512,,,22442897.0,ns,184
permutation__cmp__order,MapPermutation,512,,,23084746.0,ns,192
permutation__cmp__order,MapPermutation,512,,,26081272.0,ns,200
permutation__cmp__order,MapPermutation,512,,,30167681.0,ns,208
permutation__cmp__order,MapPermutation,512,,,24501352.0,ns,216
permutation__cmp__order,MapPermutation,512,,,25232707.0,ns,224
permutation__cmp__order,MapPermutation,512,,,27829204.0,ns,232
permutation__cmp__order,MapPermutation,512,,,28772376.0,ns,240
permutation__cmp__order,MapPermutation,512,,,27961714.0,ns,248
permutation__cmp__order,MapPermutation,512,,,43298374.0,ns,256
permutation__cmp__order,MapPermutation,512,,,38304196.0,ns,264
permutation__cmp__order,MapPermutation,512,,,31324969.0,ns,272
permutation__cmp__order,MapPermutation,512,,,39778408.0,ns,280
permutation__cmp__order,MapPermutation,512,,,47815915.0,ns,288
permutation__cmp__order,MapPermutation,512,,,36784381.0,ns,296
permutation__cmp__order,MapPermutation,512,,,46688130.0,ns,304
permutation__cmp__order,MapPermutation,512,,,34966244.0,ns,312
permutation__cmp__order,MapPermutation,512,,,37136908.0,ns,320
permutation__cmp__order,MapPermutation,512,,,44091134.0,ns,328
permutation__cmp__order,MapPermutation,512,,,41250019.0,ns,336
permutation__cmp__order,MapPermutation,512,,,48850493.0,ns,344
permutation__cmp__order,MapPermutation,512,,,42481612.0,ns,352
