group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__order,StandardPermutation,512,,,1125975.0,ns,11
permutation__cmp__order,StandardPermutation,512,,,3051304.0,ns,22
permutation__cmp__order,StandardPermutation,512,,,3308821.0,ns,33
permutation__cmp__order,StandardPermutation,512,,,4284187.0,ns,44
permutation__cmp__order,StandardPermutation,512,,,6174313.0,ns,55
permutation__cmp__order,StandardPermutation,512,,,8443865.0,ns,66
permutation__cmp__order,StandardPermutation,512,,,7876927.0,ns,77
permutation__cmp__order,StandardPermutation,512,,,11082941.0,ns,88
permutation__cmp__order,StandardPermutation,512,,,10595409.0,ns,99
permutation__cmp__order,StandardPermutation,512,,,14078942.0,ns,110
permutation__cmp__order,StandardPermutation,512,,,13396496.0,ns,121
permutation__cmp__order,StandardPermutation,512,,,14706584.0,ns,132
permutation__cmp__order,StandardPermutation,512,,,15771756.0,ns,143
permutation__cmp__order,StandardPermutation,512,,,13833926.0,ns,154
permutation__cmp__order,StandardPermutation,512,,,15451734.0,ns,165
permutation__cmp__order,StandardPermutation,512,,,17430466.0,ns,176
permutation__cmp__order,StandardPermutation,512,,,17536573.0,ns,187
permutation__cmp__order,StandardPermutation,512,,,21553542.0,ns,198
permutation__cmp__order,StandardPermutation,512,,,27556244.0,ns,209
permutation__cmp__order,StandardPermutation,512,,,23792292.0,ns,220
permutation__cmp__order,StandardPermutation,512,,,23294359.0,ns,231
permutation__cmp__order,StandardPermutation,512,,,31024376.0,ns,242
permutation__cmp__order,StandardPermutation,512,,,27342230.0,ns,253
permutation__cmp__order,StandardPermutation,512,,,25065377.0,ns,264
permutation__cmp__order,StandardPermutation,512,,,30668552.0,ns,275
permutation__cmp__order,StandardPermutation,512,,,28081579.0,ns,286
permutation__cmp__order,StandardPermutation,512,,,35586581.0,ns,297
permutation__cmp__order,StandardPermutation,512,,,41450974.0,ns,308
permutation__cmp__order,StandardPermutation,512,,,28659918.0,ns,319
permutation__cmp__order,StandardPermutation,512,,,43667822.0,ns,330
permutation__cmp__order,StandardPermutation,512,,,38162854.0,ns,341
permutation__cmp__order,StandardPermutation,512,,,36806663.0,ns,352
permutation__cmp__order,StandardPermutation,512,,,49395705.0,ns,363
permutation__cmp__order,StandardPermutation,512,,,36128118.0,ns,374
permutation__cmp__order,StandardPermutation,512,,,40560414.0,ns,385
permutation__cmp__order,StandardPermutation,512,,,38741893.0,ns,396
permutation__cmp__order,StandardPermutation,512,,,46532213.0,ns,407
permutation__cmp__order,StandardPermutation,512,,,38996210.0,ns,418
permutation__cmp__order,StandardPermutation,512,,,43753027.0,ns,429
permutation__cmp__order,StandardPermutation,512,,,48501145.0,ns,440
permutation__cmp__order,StandardPermutation,512,,,49099986.0,ns,451
permutation__cmp__order,StandardPermutation,512,,,46110286.0,ns,462
permutation__cmp__order,StandardPermutation,512,,,46997444.0,ns,473
permutation__cmp__order,StandardPermutation,512,,,68865508.0,ns,484
permutation__cmp__order,StandardPermutation,512,,,63553152.0,ns,495
permutation__cmp__order,StandardPermutation,512,,,52832135.0,ns,506
permutation__cmp__order,StandardPermutation,512,,,51440942.0,ns,517
permutation__cmp__order,StandardPermutation,512,,,51535949.0,ns,528
permutation__cmp__order,StandardPermutation,512,,,51770264.0,ns,539
permutation__cmp__order,StandardPermutation,512,,,56461778.0,ns,550
permutation__cmp__order,StandardPermutation,512,,,67424211.0,ns,561
permutation__cmp__order,StandardPermutation,512,,,65601490.0,ns,572
permutation__cmp__order,StandardPermutation,512,,,55868638.0,ns,583
permutation__cmp__order,StandardPermutation,512,,,56592686.0,ns,594
permutation__cmp__order,StandardPermutation,512,,,67790036.0,ns,605
permutation__cmp__order,StandardPermutation,512,,,75419546.0,ns,616
permutation__cmp__order,StandardPermutation,512,,,64133391.0,ns,627
