group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__order,StandardPermutation,8,,,1680027.0,ns,2311
permutation__cmp__order,StandardPermutation,8,,,1030177.0,ns,4622
permutation__cmp__order,StandardPermutation,8,,,3185540.0,ns,6933
permutation__cmp__order,StandardPermutation,8,,,4283722.0,ns,9244
permutation__cmp__order,StandardPermutation,8,,,12383234.0,ns,11555
permutation__cmp__order,StandardPermutation,8,,,6129862.0,ns,13866
permutation__cmp__order,StandardPermutation,8,,,11226046.0,ns,16177
permutation__cmp__order,StandardPermutation,8,,,8582047.0,ns,18488
permutation__cmp__order,StandardPermutation,8,,,8234721.0,ns,20799
permutation__cmp__order,StandardPermutation,8,,,9087585.0,ns,23110
permutation__cmp__order,StandardPermutation,8,,,11493066.0,ns,25421
permutation__cmp__order,StandardPermutation,8,,,29516125.0,ns,27732
permutation__cmp__order,StandardPermutation,8,,,24571152.0,ns,30043
permutation__cmp__order,StandardPermutation,8,,,21778341.0,ns,32354
permutation__cmp__order,StandardPermutation,8,,,7723982.0,ns,34665
permutation__cmp__order,StandardPermutation,8,,,12755662.0,ns,36976
permutation__cmp__order,StandardPermutation,8,,,8753560.0,ns,39287
permutation__cmp__order,StandardPermutation,8,,,21542023.0,ns,41598
permutation__cmp__order,StandardPermutation,8,,,36700366.0,ns,43909
permutation__cmp__order,StandardPermutation,8,,,30679913.0,ns,46220
permutation__cmp__order,StandardPermutation,8,,,22119967.0,ns,48531
permutation__cmp__order,StandardPermutation,8,,,22805119.0,ns,50842
permutation__cmp__order,StandardPermutation,8,,,23715588.0,ns,53153
permutation__cmp__order,StandardPermutation,8,,,56410451.0,ns,55464
permutation__cmp__order,StandardPermutation,8,,,12442738.0,ns,57775
permutation__cmp__order,StandardPermutation,8,,,21627230.0,ns,60086
permutation__cmp__order,StandardPermutation,8,,,31800497.0,ns,62397
permutation__cmp__order,StandardPermutation,8,,,14298278.0,ns,64708
permutation__cmp__order,StandardPermutation,8,,,14967228.0,ns,67019
permutation__cmp__order,StandardPermutation,8,,,31192051.0,ns,69330
permutation__cmp__order,StandardPermutation,8,,,30982435.0,ns,71641
permutation__cmp__order,StandardPermutation,8,,,16156918.0,ns,73952
permutation__cmp__order,StandardPermutation,8,,,29095993.0,ns,76263
permutation__cmp__order,StandardPermutation,8,,,11489466.0,ns,78574
permutation__cmp__order,StandardPermutation,8,,,31298059.0,ns,80885
permutation__cmp__order,StandardPermutation,8,,,37206804.0,ns,83196
permutation__cmp__order,StandardPermutation,8,,,18813718.0,ns,85507
permutation__cmp__order,StandardPermutation,8,,,56835083.0,ns,87818
permutation__cmp__order,StandardPermutation,8,,,62275994.0,ns,90129
permutation__cmp__order,StandardPermutation,8,,,34182176.0,ns,92440
permutation__cmp__order,StandardPermutation,8,,,49677145.0,ns,94751
permutation__cmp__order,StandardPermutation,8,,,67358177.0,ns,97062
permutation__cmp__order,StandardPermutation,8,,,80318153.0,ns,99373
permutation__cmp__order,StandardPermutation,8,,,69918570.0,ns,101684
permutation__cmp__order,StandardPermutation,8,,,40711269.0,ns,103995
permutation__cmp__order,StandardPermutation,8,,,105467949.0,ns,106306
permutation__cmp__order,StandardPermutation,8,,,42030568.0,ns,108617
permutation__cmp__order,StandardPermutation,8,,,57684448.0,ns,110928
permutation__cmp__order,StandardPermutation,8,,,8988577.0,ns,113239
permutation__cmp__order,StandardPermutation,8,,,17456716.0,ns,115550
permutation__cmp__order,StandardPermutation,8,,,36601359.0,ns,117861
permutation__cmp__order,StandardPermutation,8,,,26110468.0,ns,120172
permutation__cmp__order,StandardPermutation,8,,,46966940.0,ns,122483
permutation__cmp__order,StandardPermutation,8,,,57200011.0,ns,124794
permutation__cmp__order,StandardPermutation,8,,,19261552.0,ns,127105
permutation__cmp__order,StandardPermutation,8,,,50662618.0,ns,129416
permutation__cmp__order,StandardPermutation,8,,,29106742.0,ns,131727
permutation__cmp__order,StandardPermutation,8,,,60503867.0,ns,134038
permutation__cmp__order,StandardPermutation,8,,,29441128.0,ns,136349
permutation__cmp__order,StandardPermutation,8,,,30831724.0,ns,138660
permutation__cmp__order,StandardPermutation,8,,,31283754.0,ns,140971
permutation__cmp__order,StandardPermutation,8,,,30373492.0,ns,143282
permutation__cmp__order,StandardPermutation,8,,,65121986.0,ns,145593
permutation__cmp__order,StandardPermutation,8,,,53835908.0,ns,147904
permutation__cmp__order,StandardPermutation,8,,,39585327.0,ns,150215
permutation__cmp__order,StandardPermutation,8,,,68851842.0,ns,152526
permutation__cmp__order,StandardPermutation,8,,,167472235.0,ns,154837
permutation__cmp__order,StandardPermutation,8,,,169320663.0,ns,157148
permutation__cmp__order,StandardPermutation,8,,,35670457.0,ns,159459
permutation__cmp__order,StandardPermutation,8,,,63085845.0,ns,161770
permutation__cmp__order,StandardPermutation,8,,,86490757.0,ns,164081
permutation__cmp__order,StandardPermutation,8,,,58531632.0,ns,166392
permutation__cmp__order,StandardPermutation,8,,,142112288.0,ns,168703
permutation__cmp__order,StandardPermutation,8,,,36565319.0,ns,171014
permutation__cmp__order,StandardPermutation,8,,,65704826.0,ns,173325
permutation__cmp__order,StandardPermutation,8,,,48462838.0,ns,175636
permutation__cmp__order,StandardPermutation,8,,,63131248.0,ns,177947
permutation__cmp__order,StandardPermutation,8,,,124143551.0,ns,180258
permutation__cmp__order,StandardPermutation,8,,,62680617.0,ns,182569
permutation__cmp__order,StandardPermutation,8,,,51705662.0,ns,184880
permutation__cmp__order,StandardPermutation,8,,,199041709.0,ns,187191
permutation__cmp__order,StandardPermutation,8,,,73317350.0,ns,189502
permutation__cmp__order,StandardPermutation,8,,,86712373.0,ns,191813
permutation__cmp__order,StandardPermutation,8,,,70221437.0,ns,194124
permutation__cmp__order,StandardPermutation,8,,,43071566.0,ns,196435
permutation__cmp__order,StandardPermutation,8,,,135712248.0,ns,198746
permutation__cmp__order,StandardPermutation,8,,,29644742.0,ns,201057
permutation__cmp__order,StandardPermutation,8,,,77855863.0,ns,203368
permutation__cmp__order,StandardPermutation,8,,,91768520.0,ns,205679
permutation__cmp__order,StandardPermutation,8,,,177950057.0,ns,207990
permutation__cmp__order,StandardPermutation,8,,,46200683.0,ns,210301
permutation__cmp__order,StandardPermutation,8,,,81542916.0,ns,212612
permutation__cmp__order,StandardPermutation,8,,,97024283.0,ns,214923
permutation__cmp__order,StandardPermutation,8,,,82408376.0,ns,217234
permutation__cmp__order,StandardPermutation,8,,,115018623.0,ns,219545
permutation__cmp__order,StandardPermutation,8,,,97042184.0,ns,221856
permutation__cmp__order,StandardPermutation,8,,,48336229.0,ns,224167
permutation__cmp__order,StandardPermutation,8,,,150688679.0,ns,226478
permutation__cmp__order,StandardPermutation,8,,,85648400.0,ns,228789
permutation__cmp__order,StandardPermutation,8,,,48611048.0,ns,231100
