group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__order,SyncPermutation,32,,,902338.0,ns,217
permutation__cmp__order,SyncPermutation,32,,,2085388.0,ns,434
permutation__cmp__order,SyncPermutation,32,,,3022527.0,ns,651
permutation__cmp__order,SyncPermutation,32,,,3885163.0,ns,868
permutation__cmp__order,SyncPermutation,32,,,4878305.0,ns,1085
permutation__cmp__order,SyncPermutation,32,,,5892747.0,ns,1302
permutation__cmp__order,SyncPermutation,32,,,6815986.0,ns,1519
permutation__cmp__order,SyncPermutation,32,,,7836029.0,ns,1736
permutation__cmp__order,SyncPermutation,32,,,8447255.0,ns,1953
permutation__cmp__order,SyncPermutation,32,,,9905516.0,ns,2170
permutation__cmp__order,SyncPermutation,32,,,10854256.0,ns,2387
permutation__cmp__order,SyncPermutation,32,,,11790895.0,ns,2604
permutation__cmp__order,SyncPermutation,32,,,12215214.0,ns,2821
permutation__cmp__order,SyncPermutation,32,,,13520368.0,ns,3038
permutation__cmp__order,SyncPermutation,32,,,14867324.0,ns,3255
permutation__cmp__order,SyncPermutation,32,,,16516294.0,ns,3472
permutation__cmp__order,SyncPermutation,32,,,16649399.0,ns,3689
permutation__cmp__order,SyncPermutation,32,,,18496777.0,ns,3906
permutation__cmp__order,SyncPermutation,32,,,18235966.0,ns,4123
permutation__cmp__order,SyncPermutation,32,,,18611882.0,ns,4340
permutation__cmp__order,SyncPermutation,32,,,19944738.0,ns,4557
permutation__cmp__order,SyncPermutation,32,,,21138388.0,ns,4774
permutation__cmp__order,SyncPermutation,32,,,22980065.0,ns,4991
permutation__cmp__order,SyncPermutation,32,,,23987192.0,ns,5208
permutation__cmp__order,SyncPermutation,32,,,23915922.0,ns,5425
permutation__cmp__order,SyncPermutation,32,,,25714851.0,ns,5642
permutation__cmp__order,SyncPermutation,32,,,26675620.0,ns,5859
permutation__cmp__order,SyncPermutation,32,,,29307410.0,ns,6076
permutation__cmp__order,SyncPermutation,32,,,28796473.0,ns,6293
permutation__cmp__order,SyncPermutation,32,,,28031217.0,ns,6510
permutation__cmp__order,SyncPermutation,32,,,31453263.0,ns,6727
permutation__cmp__order,SyncPermutation,32,,,30709310.0,ns,6944
permutation__cmp__order,SyncPermutation,32,,,30980130.0,ns,7161
permutation__cmp__order,SyncPermutation,32,,,31404661.0,ns,7378
permutation__cmp__order,SyncPermutation,32,,,34096354.0,ns,7595
permutation__cmp__order,SyncPermutation,32,,,34645894.0,ns,7812
permutation__cmp__order,SyncPermutation,32,,,36356417.0,ns,8029
permutation__cmp__order,SyncPermutation,32,,,36746545.0,ns,8246
permutation__cmp__order,SyncPermutation,32,,,38835896.0,ns,8463
permutation__cmp__order,SyncPermutation,32,,,40027381.0,ns,8680
permutation__cmp__order,SyncPermutation,32,,,39213522.0,ns,8897
permutation__cmp__order,SyncPermutation,32,,,41434082.0,ns,9114
permutation__cmp__order,SyncPermutation,32,,,44471401.0,ns,9331
permutation__cmp__order,SyncPermutation,32,,,42271243.0,ns,9548
permutation__cmp__order,SyncPermutation,32,,,42828983.0,ns,9765
permutation__cmp__order,SyncPermutation,32,,,43506931.0,ns,9982
permutation__cmp__order,SyncPermutation,32,,,44863229.0,ns,10199
permutation__cmp__order,SyncPermutation,32,,,44905232.0,ns,10416
permutation__cmp__order,SyncPermutation,32,,,49795184.0,ns,10633
permutation__cmp__order,SyncPermutation,32,,,49508163.0,ns,10850
permutation__cmp__order,SyncPermutation,32,,,52008844.0,ns,11067
permutation__cmp__order,SyncPermutation,32,,,55984730.0,ns,11284
permutation__cmp__order,SyncPermutation,32,,,52703693.0,ns,11501
permutation__cmp__order,SyncPermutation,32,,,49783384.0,ns,11718
permutation__cmp__order,SyncPermutation,32,,,55400288.0,ns,11935
permutation__cmp__order,SyncPermutation,32,,,53907180.0,ns,12152
permutation__cmp__order,SyncPermutation,32,,,55353484.0,ns,12369
permutation__cmp__order,SyncPermutation,32,,,60188033.0,ns,12586
permutation__cmp__order,SyncPermutation,32,,,55951227.0,ns,12803
permutation__cmp__order,SyncPermutation,32,,,58225891.0,ns,13020
permutation__cmp__order,SyncPermutation,32,,,60605363.0,ns,13237
permutation__cmp__order,SyncPermutation,32,,,64199921.0,ns,13454
permutation__cmp__order,SyncPermutation,32,,,61444623.0,ns,13671
permutation__cmp__order,SyncPermutation,32,,,62379890.0,ns,13888
permutation__cmp__order,SyncPermutation,32,,,62450595.0,ns,14105
permutation__cmp__order,SyncPermutation,32,,,64945575.0,ns,14322
permutation__cmp__order,SyncPermutation,32,,,64623951.0,ns,14539
permutation__cmp__order,SyncPermutation,32,,,69951335.0,ns,14756
permutation__cmp__order,SyncPermutation,32,,,67468656.0,ns,14973
permutation__cmp__order,SyncPermutation,32,,,71217626.0,ns,15190
permutation__cmp__order,SyncPermutation,32,,,72499219.0,ns,15407
permutation__cmp__order,SyncPermutation,32,,,71302232.0,ns,15624
permutation__cmp__order,SyncPermutation,32,,,73332479.0,ns,15841
permutation__cmp__order,SyncPermutation,32,,,71138620.0,ns,16058
permutation__cmp__order,SyncPermutation,32,,,74527265.0,ns,16275
permutation__cmp__order,SyncPermutation,32,,,72046586.0,ns,16492
permutation__cmp__order,SyncPermutation,32,,,73343479.0,ns,16709
permutation__cmp__order,SyncPermutation,32,,,82333526.0,ns,16926
permutation__cmp__order,SyncPermutation,32,,,75427729.0,ns,17143
permutation__cmp__order,SyncPermutation,32,,,76294591.0,ns,17360
permutation__cmp__order,SyncPermutation,32,,,81969500.0,ns,17577
permutation__cmp__order,SyncPermutation,32,,,80616903.0,ns,17794
permutation__cmp__order,SyncPermutation,32,,,78474748.0,ns,18011
permutation__cmp__order,SyncPermutation,32,,,80411088.0,ns,18228
permutation__cmp__order,SyncPermutation,32,,,81416461.0,ns,18445
permutation__cmp__order,SyncPermutation,32,,,83612418.0,ns,18662
permutation__cmp__order,SyncPermutation,32,,,84935414.0,ns,18879
permutation__cmp__order,SyncPermutation,32,,,82970072.0,ns,19096
permutation__cmp__order,SyncPermutation,32,,,86302612.0,ns,19313
permutation__cmp__order,SyncPermutation,32,,,84863408.0,ns,19530
permutation__cmp__order,SyncPermutation,32,,,86155202.0,ns,19747
permutation__cmp__order,SyncPermutation,32,,,92037625.0,ns,19964
permutation__cmp__order,SyncPermutation,32,,,88570075.0,ns,20181
permutation__cmp__order,SyncPermutation,32,,,91580992.0,ns,20398
permutation__cmp__order,SyncPermutation,32,,,89771262.0,ns,20615
permutation__cmp__order,SyncPermutation,32,,,95053042.0,ns,20832
permutation__cmp__order,SyncPermutation,32,,,93145404.0,ns,21049
permutation__cmp__order,SyncPermutation,32,,,93137904.0,ns,21266
permutation__cmp__order,SyncPermutation,32,,,94585908.0,ns,21483
permutation__cmp__order,SyncPermutation,32,,,91266169.0,ns,21700
