group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__order,SyncPermutation,64,,,984867.0,ns,101
permutation__cmp__order,SyncPermutation,64,,,2067240.0,ns,202
permutation__cmp__order,SyncPermutation,64,,,3048707.0,ns,303
permutation__cmp__order,SyncPermutation,64,,,3965669.0,ns,404
permutation__cmp__order,SyncPermutation,64,,,5147649.0,ns,505
permutation__cmp__order,SyncPermutation,64,,,6189320.0,ns,606
permutation__cmp__order,SyncPermutation,64,,,7108783.0,ns,707
permutation__cmp__order,SyncPermutation,64,,,8233459.0,ns,808
permutation__cmp__order,SyncPermutation,64,,,9039714.0,ns,909
permutation__cmp__order,SyncPermutation,64,,,10132188.0,ns,1010
permutation__cmp__order,SyncPermutation,64,,,11361672.0,ns,1111
permutation__cmp__order,SyncPermutation,64,,,12070521.0,ns,1212
permutation__cmp__order,SyncPermutation,64,,,13079788.0,ns,1313
permutation__cmp__order,SyncPermutation,64,,,13748834.0,ns,1414
permutation__cmp__order,SyncPermutation,64,,,15105226.0,ns,1515
permutation__cmp__order,SyncPermutation,64,,,16356711.0,ns,1616
permutation__cmp__order,SyncPermutation,64,,,17060959.0,ns,1717
permutation__cmp__order,SyncPermutation,64,,,17772008.0,ns,1818
permutation__cmp__order,SyncPermutation,64,,,19523126.0,ns,1919
permutation__cmp__order,SyncPermutation,64,,,20374384.0,ns,2020
permutation__cmp__order,SyncPermutation,64,,,21468459.0,ns,2121
permutation__cmp__order,SyncPermutation,64,,,21642670.0,ns,2222
permutation__cmp__order,SyncPermutation,64,,,23301483.0,ns,2323
permutation__cmp__order,SyncPermutation,64,,,24474863.0,ns,2424
permutation__cmp__order,SyncPermutation,64,,,25928862.0,ns,2525
permutation__cmp__order,SyncPermutation,64,,,26250683.0,ns,2626
permutation__cmp__order,SyncPermutation,64,,,26548803.0,ns,2727
permutation__cmp__order,SyncPermutation,64,,,27880095.0,ns,2828
permutation__cmp__order,SyncPermutation,64,,,29481003.0,ns,2929
permutation__cmp__order,SyncPermutation,64,,,29498104.0,ns,3030
permutation__cmp__order,SyncPermutation,64,,,30371164.0,ns,3131
permutation__cmp__order,SyncPermutation,64,,,31456937.0,ns,3232
permutation__cmp__order,SyncPermutation,64,,,33437772.0,ns,3333
permutation__cmp__order,SyncPermutation,64,,,34297530.0,ns,3434
permutation__cmp__order,SyncPermutation,64,,,35320599.0,ns,3535
permutation__cmp__order,SyncPermutation,64,,,36620188.0,ns,3636
permutation__cmp__order,SyncPermutation,64,,,37110621.0,ns,3737
permutation__cmp__order,SyncPermutation,64,,,38889442.0,ns,3838
permutation__cmp__order,SyncPermutation,64,,,40043920.0,ns,3939
permutation__cmp__order,SyncPermutation,64,,,41283105.0,ns,4040
permutation__cmp__order,SyncPermutation,64,,,40463049.0,ns,4141
permutation__cmp__order,SyncPermutation,64,,,41461217.0,ns,4242
permutation__cmp__order,SyncPermutation,64,,,43766473.0,ns,4343
permutation__cmp__order,SyncPermutation,64,,,43906983.0,ns,4444
permutation__cmp__order,SyncPermutation,64,,,44909651.0,ns,4545
