group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__order,WordPermutation,8,,,138710.0,ns,171
permutation__cmp__order,WordPermutation,8,,,1385396.0,ns,342
permutation__cmp__order,WordPermutation,8,,,415629.0,ns,513
permutation__cmp__order,WordPermutation,8,,,1815725.0,ns,684
permutation__cmp__order,WordPermutation,8,,,1841028.0,ns,855
permutation__cmp__order,WordPermutation,8,,,5720096.0,ns,1026
permutation__cmp__order,WordPermutation,8,,,3181320.0,ns,1197
permutation__cmp__order,WordPermutation,8,,,7492219.0,ns,1368
permutation__cmp__order,WordPermutation,8,,,2502073.0,ns,1539
permutation__cmp__order,WordPermutation,8,,,1385096.0,ns,1710
permutation__cmp__order,WordPermutation,8,,,3142718.0,ns,1881
permutation__cmp__order,WordPermutation,8,,,3397135.0,ns,2052
permutation__cmp__order,WordPermutation,8,,,3702956.0,ns,2223
permutation__cmp__order,WordPermutation,8,,,665346.0,ns,2394
permutation__cmp__order,WordPermutation,8,,,14273788.0,ns,2565
permutation__cmp__order,WordPermutation,8,,,1429299.0,ns,2736
permutation__cmp__order,WordPermutation,8,,,11632206.0,ns,2907
permutation__cmp__order,WordPermutation,8,,,8171865.0,ns,3078
permutation__cmp__order,WordPermutation,8,,,8623797.0,ns,3249
permutation__cmp__order,WordPermutation,8,,,5715496.0,ns,3420
permutation__cmp__order,WordPermutation,8,,,14355094.0,ns,3591
permutation__cmp__order,WordPermutation,8,,,20758137.0,ns,3762
permutation__cmp__order,WordPermutation,8,,,6586256.0,ns,3933
permutation__cmp__order,WordPermutation,8,,,6550253.0,ns,4104
permutation__cmp__order,WordPermutation,8,,,9193736.0,ns,4275
permutation__cmp__order,WordPermutation,8,,,17904140.0,ns,4446
permutation__cmp__order,WordPermutation,8,,,5575686.0,ns,4617
permutation__cmp__order,WordPermutation,8,,,2505373.0,ns,4788
permutation__cmp__order,WordPermutation,8,,,10659238.0,ns,4959
permutation__cmp__order,WordPermutation,8,,,40693917.0,ns,5130
permutation__cmp__order,WordPermutation,8,,,8586194.0,ns,5301
permutation__cmp__order,WordPermutation,8,,,9283343.0,ns,5472
permutation__cmp__order,WordPermutation,8,,,4575617.0,ns,5643
permutation__cmp__order,WordPermutation,8,,,9432453.0,ns,5814
permutation__cmp__order,WordPermutation,8,,,9963289.0,ns,5985
permutation__cmp__order,WordPermutation,8,,,10194205.0,ns,6156
permutation__cmp__order,WordPermutation,8,,,34651999.0,ns,6327
permutation__cmp__order,WordPermutation,8,,,13958966.0,ns,6498
permutation__cmp__order,WordPermutation,8,,,11270780.0,ns,6669
permutation__cmp__order,WordPermutation,8,,,3616950.0,ns,6840
permutation__cmp__order,WordPermutation,8,,,11952928.0,ns,7011
permutation__cmp__order,WordPermutation,8,,,12152841.0,ns,7182
permutation__cmp__order,WordPermutation,8,,,58588255.0,ns,7353
permutation__cmp__order,WordPermutation,8,,,12598072.0,ns,7524
permutation__cmp__order,WordPermutation,8,,,12729081.0,ns,7695
permutation__cmp__order,WordPermutation,8,,,63015661.0,ns,7866
permutation__cmp__order,WordPermutation,8,,,6510751.0,ns,8037
permutation__cmp__order,WordPermutation,8,,,13327722.0,ns,8208
permutation__cmp__order,WordPermutation,8,,,22259941.0,ns,8379
permutation__cmp__order,WordPermutation,8,,,22708472.0,ns,8550
permutation__cmp__order,WordPermutation,8,,,14580409.0,ns,8721
permutation__cmp__order,WordPermutation,8,,,7240401.0,ns,8892
permutation__cmp__order,WordPermutation,8,,,15464071.0,ns,9063
permutation__cmp__order,WordPermutation,8,,,19855174.0,ns,9234
permutation__cmp__order,WordPermutation,8,,,20214299.0,ns,9405
permutation__cmp__order,WordPermutation,8,,,20584725.0,ns,9576
permutation__cmp__order,WordPermutation,8,,,20948650.0,ns,9747
permutation__cmp__order,WordPermutation,8,,,39576939.0,ns,9918
permutation__cmp__order,WordPermutation,8,,,16958274.0,ns,10089
permutation__cmp__order,WordPermutation,8,,,56223091.0,ns,10260
permutation__cmp__order,WordPermutation,8,,,5514482.0,ns,10431
permutation__cmp__order,WordPermutation,8,,,5525382.0,ns,10602
permutation__cmp__order,WordPermutation,8,,,28583978.0,ns,10773
permutation__cmp__order,WordPermutation,8,,,43968844.0,ns,10944
permutation__cmp__order,WordPermutation,8,,,23884353.0,ns,11115
permutation__cmp__order,WordPermutation,8,,,29978575.0,ns,11286
permutation__cmp__order,WordPermutation,8,,,30444207.0,ns,11457
permutation__cmp__order,WordPermutation,8,,,24996730.0,ns,11628
permutation__cmp__order,WordPermutation,8,,,19516351.0,ns,11799
permutation__cmp__order,WordPermutation,8,,,19426644.0,ns,11970
permutation__cmp__order,WordPermutation,8,,,9843182.0,ns,12141
permutation__cmp__order,WordPermutation,8,,,14577609.0,ns,12312
permutation__cmp__order,WordPermutation,8,,,20644128.0,ns,12483
permutation__cmp__order,WordPermutation,8,,,15002738.0,ns,12654
permutation__cmp__order,WordPermutation,8,,,34060057.0,ns,12825
permutation__cmp__order,WordPermutation,8,,,34519789.0,ns,12996
permutation__cmp__order,WordPermutation,8,,,28293158.0,ns,13167
permutation__cmp__order,WordPermutation,8,,,53592109.0,ns,13338
permutation__cmp__order,WordPermutation,8,,,16322630.0,ns,13509
permutation__cmp__order,WordPermutation,8,,,55522242.0,ns,13680
permutation__cmp__order,WordPermutation,8,,,16741659.0,ns,13851
permutation__cmp__order,WordPermutation,8,,,16948873.0,ns,14022
permutation__cmp__order,WordPermutation,8,,,30509211.0,ns,14193
permutation__cmp__order,WordPermutation,8,,,11725812.0,ns,14364
permutation__cmp__order,WordPermutation,8,,,23611334.0,ns,14535
permutation__cmp__order,WordPermutation,8,,,7781438.0,ns,14706
permutation__cmp__order,WordPermutation,8,,,84195827.0,ns,14877
permutation__cmp__order,WordPermutation,8,,,60032455.0,ns,15048
permutation__cmp__order,WordPermutation,8,,,83336867.0,ns,15219
permutation__cmp__order,WordPermutation,8,,,25581870.0,ns,15390
permutation__cmp__order,WordPermutation,8,,,33569023.0,ns,15561
permutation__cmp__order,WordPermutation,8,,,33809640.0,ns,15732
permutation__cmp__order,WordPermutation,8,,,12890392.0,ns,15903
permutation__cmp__order,WordPermutation,8,,,128046661.0,ns,16074
permutation__cmp__order,WordPermutation,8,,,34919716.0,ns,16245
permutation__cmp__order,WordPermutation,8,,,13307221.0,ns,16416
permutation__cmp__order,WordPermutation,8,,,13670746.0,ns,16587
permutation__cmp__order,WordPermutation,8,,,44531282.0,ns,16758
permutation__cmp__order,WordPermutation,8,,,13722150.0,ns,16929
permutation__cmp__order,WordPermutation,8,,,68289425.0,ns,17100
