group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__order,WordPermutation,8,,,2463171.0,ns,636
permutation__cmp__order,WordPermutation,8,,,6744267.0,ns,1272
permutation__cmp__order,WordPermutation,8,,,4898640.0,ns,1908
permutation__cmp__order,WordPermutation,8,,,9803080.0,ns,2544
permutation__cmp__order,WordPermutation,8,,,6326439.0,ns,3180
permutation__cmp__order,WordPermutation,8,,,29779465.0,ns,3816
permutation__cmp__order,WordPermutation,8,,,7045989.0,ns,4452
permutation__cmp__order,WordPermutation,8,,,3950774.0,ns,5088
permutation__cmp__order,WordPermutation,8,,,9158235.0,ns,5724
permutation__cmp__order,WordPermutation,8,,,10045396.0,ns,6360
permutation__cmp__order,WordPermutation,8,,,11228379.0,ns,6996
permutation__cmp__order,WordPermutation,8,,,12116840.0,ns,7632
permutation__cmp__order,WordPermutation,8,,,64665884.0,ns,8268
permutation__cmp__order,WordPermutation,8,,,4486411.0,ns,8904
permutation__cmp__order,WordPermutation,8,,,15191654.0,ns,9540
permutation__cmp__order,WordPermutation,8,,,16068714.0,ns,10176
permutation__cmp__order,WordPermutation,8,,,27481506.0,ns,10812
permutation__cmp__order,WordPermutation,8,,,23299716.0,ns,11448
permutation__cmp__order,WordPermutation,8,,,95073193.0,ns,12084
permutation__cmp__order,WordPermutation,8,,,98860255.0,ns,12720
permutation__cmp__order,WordPermutation,8,,,27045076.0,ns,13356
permutation__cmp__order,WordPermutation,8,,,22124434.0,ns,13992
permutation__cmp__order,WordPermutation,8,,,22575066.0,ns,14628
permutation__cmp__order,WordPermutation,8,,,11925527.0,ns,15264
permutation__cmp__order,WordPermutation,8,,,24802920.0,ns,15900
permutation__cmp__order,WordPermutation,8,,,33456520.0,ns,16536
permutation__cmp__order,WordPermutation,8,,,4622721.0,ns,17172
permutation__cmp__order,WordPermutation,8,,,13872662.0,ns,17808
permutation__cmp__order,WordPermutation,8,,,70875015.0,ns,18444
permutation__cmp__order,WordPermutation,8,,,38633379.0,ns,19080
permutation__cmp__order,WordPermutation,8,,,31150760.0,ns,19716
permutation__cmp__order,WordPermutation,8,,,32170731.0,ns,20352
permutation__cmp__order,WordPermutation,8,,,16235826.0,ns,20988
permutation__cmp__order,WordPermutation,8,,,114438936.0,ns,21624
permutation__cmp__order,WordPermutation,8,,,174443957.0,ns,22260
permutation__cmp__order,WordPermutation,8,,,6118217.0,ns,22896
permutation__cmp__order,WordPermutation,8,,,59759548.0,ns,23532
permutation__cmp__order,WordPermutation,8,,,18584369.0,ns,24168
permutation__cmp__order,WordPermutation,8,,,62965019.0,ns,24804
permutation__cmp__order,WordPermutation,8,,,51601859.0,ns,25440
permutation__cmp__order,WordPermutation,8,,,20354720.0,ns,26076
permutation__cmp__order,WordPermutation,8,,,42364978.0,ns,26712
permutation__cmp__order,WordPermutation,8,,,43165547.0,ns,27348
permutation__cmp__order,WordPermutation,8,,,217222849.0,ns,27984
permutation__cmp__order,WordPermutation,8,,,223703596.0,ns,28620
permutation__cmp__order,WordPermutation,8,,,156672234.0,ns,29256
permutation__cmp__order,WordPermutation,8,,,60128679.0,ns,29892
permutation__cmp__order,WordPermutation,8,,,48008055.0,ns,30528
permutation__cmp__order,WordPermutation,8,,,242744405.0,ns,31164
permutation__cmp__order,WordPermutation,8,,,122801073.0,ns,31800
permutation__cmp__order,WordPermutation,8,,,25214230.0,ns,32436
permutation__cmp__order,WordPermutation,8,,,8844447.0,ns,33072
permutation__cmp__order,WordPermutation,8,,,128756676.0,ns,33708
permutation__cmp__order,WordPermutation,8,,,130898557.0,ns,34344
permutation__cmp__order,WordPermutation,8,,,271989176.0,ns,34980
permutation__cmp__order,WordPermutation,8,,,90430338.0,ns,35616
permutation__cmp__order,WordPermutation,8,,,18126432.0,ns,36252
permutation__cmp__order,WordPermutation,8,,,58204116.0,ns,36888
