group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__random_creation,BasedPermutation,16,,,997874.0,ns,1449
permutation__cmp__random_creation,BasedPermutation,16,,,1989646.0,ns,2898
permutation__cmp__random_creation,BasedPermutation,16,,,2987621.0,ns,4347
permutation__cmp__random_creation,BasedPermutation,16,,,4003195.0,ns,5796
permutation__cmp__random_creation,BasedPermutation,16,,,5011970.0,ns,7245
permutation__cmp__random_creation,BasedPermutation,16,,,5975341.0,ns,8694
permutation__cmp__random_creation,BasedPermutation,16,,,6973914.0,ns,10143
permutation__cmp__random_creation,BasedPermutation,16,,,7973788.0,ns,11592
permutation__cmp__random_creation,BasedPermutation,16,,,8981763.0,ns,13041
permutation__cmp__random_creation,BasedPermutation,16,,,9985237.0,ns,14490
permutation__cmp__random_creation,BasedPermutation,16,,,10955708.0,ns,15939
permutation__cmp__random_creation,BasedPermutation,16,,,11969683.0,ns,17388
permutation__cmp__random_creation,BasedPermutation,16,,,12897851.0,ns,18837
permutation__cmp__random_creation,BasedPermutation,16,,,13940129.0,ns,20286
permutation__cmp__random_creation,BasedPermutation,16,,,14758688.0,ns,21735
permutation__cmp__random_creation,BasedPermutation,16,,,15913674.0,ns,23184
permutation__cmp__random_creation,BasedPermutation,16,,,16928649.0,ns,24633
permutation__cmp__random_creation,BasedPermutation,16,,,17664603.0,ns,26082
permutation__cmp__random_creation,BasedPermutation,16,,,18313351.0,ns,27531
permutation__cmp__random_creation,BasedPermutation,16,,,19747157.0,ns,28980
permutation__cmp__random_creation,BasedPermutation,16,,,20691026.0,ns,30429
permutation__cmp__random_creation,BasedPermutation,16,,,21534389.0,ns,31878
permutation__cmp__random_creation,BasedPermutation,16,,,22457656.0,ns,33327
permutation__cmp__random_creation,BasedPermutation,16,,,23772254.0,ns,34776
permutation__cmp__random_creation,BasedPermutation,16,,,24887236.0,ns,36225
permutation__cmp__random_creation,BasedPermutation,16,,,25973816.0,ns,37674
permutation__cmp__random_creation,BasedPermutation,16,,,26462252.0,ns,39123
permutation__cmp__random_creation,BasedPermutation,16,,,27847054.0,ns,40572
permutation__cmp__random_creation,BasedPermutation,16,,,28872130.0,ns,42021
permutation__cmp__random_creation,BasedPermutation,16,,,29960610.0,ns,43470
permutation__cmp__random_creation,BasedPermutation,16,,,30715466.0,ns,44919
permutation__cmp__random_creation,BasedPermutation,16,,,31906354.0,ns,46368
permutation__cmp__random_creation,BasedPermutation,16,,,32752316.0,ns,47817
permutation__cmp__random_creation,BasedPermutation,16,,,33860498.0,ns,49266
permutation__cmp__random_creation,BasedPermutation,16,,,34868672.0,ns,50715
permutation__cmp__random_creation,BasedPermutation,16,,,35823943.0,ns,52164
permutation__cmp__random_creation,BasedPermutation,16,,,36391484.0,ns,53613
permutation__cmp__random_creation,BasedPermutation,16,,,37708682.0,ns,55062
permutation__cmp__random_creation,BasedPermutation,16,,,38533042.0,ns,56511
permutation__cmp__random_creation,BasedPermutation,16,,,39606022.0,ns,57960
permutation__cmp__random_creation,BasedPermutation,16,,,40207266.0,ns,59409
permutation__cmp__random_creation,BasedPermutation,16,,,41641872.0,ns,60858
permutation__cmp__random_creation,BasedPermutation,16,,,42641846.0,ns,62307
permutation__cmp__random_creation,BasedPermutation,16,,,43549412.0,ns,63756
permutation__cmp__random_creation,BasedPermutation,16,,,44604791.0,ns,65205
permutation__cmp__random_creation,BasedPermutation,16,,,45460953.0,ns,66654
permutation__cmp__random_creation,BasedPermutation,16,,,46796352.0,ns,68103
permutation__cmp__random_creation,BasedPermutation,16,,,47703619.0,ns,69552
permutation__cmp__random_creation,BasedPermutation,16,,,48745396.0,ns,71001
permutation__cmp__random_creation,BasedPermutation,16,,,49720668.0,ns,72450
permutation__cmp__random_creation,BasedPermutation,16,,,50808548.0,ns,73899
permutation__cmp__random_creation,BasedPermutation,16,,,51755618.0,ns,75348
permutation__cmp__random_creation,BasedPermutation,16,,,52723989.0,ns,76797
permutation__cmp__random_creation,BasedPermutation,16,,,53915678.0,ns,78246
permutation__cmp__random_creation,BasedPermutation,16,,,54741238.0,ns,79695
permutation__cmp__random_creation,BasedPermutation,16,,,55807317.0,ns,81144
permutation__cmp__random_creation,BasedPermutation,16,,,56414561.0,ns,82593
permutation__cmp__random_creation,BasedPermutation,16,,,57587148.0,ns,84042
permutation__cmp__random_creation,BasedPermutation,16,,,58489415.0,ns,85491
permutation__cmp__random_creation,BasedPermutation,16,,,59654901.0,ns,86940
permutation__cmp__random_creation,BasedPermutation,16,,,60237443.0,ns,88389
permutation__cmp__random_creation,BasedPermutation,16,,,61709152.0,ns,89838
permutation__cmp__random_creation,BasedPermutation,16,,,61980273.0,ns,91287
permutation__cmp__random_creation,BasedPermutation,16,,,63263166.0,ns,92736
permutation__cmp__random_creation,BasedPermutation,16,,,63981720.0,ns,94185
permutation__cmp__random_creation,BasedPermutation,16,,,65693246.0,ns,95634
