group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__random_creation,BasedPermutation,64,,,992654.0,ns,322
permutation__cmp__random_creation,BasedPermutation,64,,,1998609.0,ns,644
permutation__cmp__random_creation,BasedPermutation,64,,,3004164.0,ns,966
permutation__cmp__random_creation,BasedPermutation,64,,,3996019.0,ns,1288
permutation__cmp__random_creation,BasedPermutation,64,,,4992673.0,ns,1610
permutation__cmp__random_creation,BasedPermutation,64,,,6003428.0,ns,1932
permutation__cmp__random_creation,BasedPermutation,64,,,6997882.0,ns,2254
permutation__cmp__random_creation,BasedPermutation,64,,,7998038.0,ns,2576
permutation__cmp__random_creation,BasedPermutation,64,,,8973090.0,ns,2898
permutation__cmp__random_creation,BasedPermutation,64,,,9994147.0,ns,3220
permutation__cmp__random_creation,BasedPermutation,64,,,10969599.0,ns,3542
permutation__cmp__random_creation,BasedPermutation,64,,,11988756.0,ns,3864
permutation__cmp__random_creation,BasedPermutation,64,,,12996310.0,ns,4186
permutation__cmp__random_creation,BasedPermutation,64,,,13990365.0,ns,4508
permutation__cmp__random_creation,BasedPermutation,64,,,14988819.0,ns,4830
permutation__cmp__random_creation,BasedPermutation,64,,,15996975.0,ns,5152
permutation__cmp__random_creation,BasedPermutation,64,,,16990228.0,ns,5474
permutation__cmp__random_creation,BasedPermutation,64,,,17998084.0,ns,5796
permutation__cmp__random_creation,BasedPermutation,64,,,18973237.0,ns,6118
permutation__cmp__random_creation,BasedPermutation,64,,,19994693.0,ns,6440
permutation__cmp__random_creation,BasedPermutation,64,,,20986448.0,ns,6762
permutation__cmp__random_creation,BasedPermutation,64,,,22022204.0,ns,7084
permutation__cmp__random_creation,BasedPermutation,64,,,23023858.0,ns,7406
permutation__cmp__random_creation,BasedPermutation,64,,,24021813.0,ns,7728
permutation__cmp__random_creation,BasedPermutation,64,,,24988866.0,ns,8050
permutation__cmp__random_creation,BasedPermutation,64,,,25994921.0,ns,8372
permutation__cmp__random_creation,BasedPermutation,64,,,27013877.0,ns,8694
permutation__cmp__random_creation,BasedPermutation,64,,,27997031.0,ns,9016
permutation__cmp__random_creation,BasedPermutation,64,,,29002785.0,ns,9338
permutation__cmp__random_creation,BasedPermutation,64,,,30017141.0,ns,9660
permutation__cmp__random_creation,BasedPermutation,64,,,30987894.0,ns,9982
permutation__cmp__random_creation,BasedPermutation,64,,,31991549.0,ns,10304
permutation__cmp__random_creation,BasedPermutation,64,,,32966302.0,ns,10626
permutation__cmp__random_creation,BasedPermutation,64,,,33980157.0,ns,10948
permutation__cmp__random_creation,BasedPermutation,64,,,34996713.0,ns,11270
permutation__cmp__random_creation,BasedPermutation,64,,,35967966.0,ns,11592
permutation__cmp__random_creation,BasedPermutation,64,,,36985221.0,ns,11914
permutation__cmp__random_creation,BasedPermutation,64,,,37998577.0,ns,12236
permutation__cmp__random_creation,BasedPermutation,64,,,38998532.0,ns,12558
permutation__cmp__random_creation,BasedPermutation,64,,,40012188.0,ns,12880
permutation__cmp__random_creation,BasedPermutation,64,,,40990640.0,ns,13202
permutation__cmp__random_creation,BasedPermutation,64,,,42001796.0,ns,13524
permutation__cmp__random_creation,BasedPermutation,64,,,43029052.0,ns,13846
permutation__cmp__random_creation,BasedPermutation,64,,,43987003.0,ns,14168
permutation__cmp__random_creation,BasedPermutation,64,,,44962957.0,ns,14490
permutation__cmp__random_creation,BasedPermutation,64,,,45977713.0,ns,14812
permutation__cmp__random_creation,BasedPermutation,64,,,47019370.0,ns,15134
permutation__cmp__random_creation,BasedPermutation,64,,,48014124.0,ns,15456
permutation__cmp__random_creation,BasedPermutation,64,,,48987777.0,ns,15778
permutation__cmp__random_creation,BasedPermutation,64,,,50036134.0,ns,16100
permutation__cmp__random_creation,BasedPermutation,64,,,50970585.0,ns,16422
permutation__cmp__random_creation,BasedPermutation,64,,,52023943.0,ns,16744
permutation__cmp__random_creation,BasedPermutation,64,,,52983896.0,ns,17066
permutation__cmp__random_creation,BasedPermutation,64,,,54017152.0,ns,17388
permutation__cmp__random_creation,BasedPermutation,64,,,54982005.0,ns,17710
permutation__cmp__random_creation,BasedPermutation,64,,,55968258.0,ns,18032
permutation__cmp__random_creation,BasedPermutation,64,,,56966113.0,ns,18354
permutation__cmp__random_creation,BasedPermutation,64,,,57989969.0,ns,18676
permutation__cmp__random_creation,BasedPermutation,64,,,58945922.0,ns,18998
permutation__cmp__random_creation,BasedPermutation,64,,,59958476.0,ns,19320
permutation__cmp__random_creation,BasedPermutation,64,,,60930230.0,ns,19642
permutation__cmp__random_creation,BasedPermutation,64,,,61970585.0,ns,19964
permutation__cmp__random_creation,BasedPermutation,64,,,62978641.0,ns,20286
permutation__cmp__random_creation,BasedPermutation,64,,,63936793.0,ns,20608
permutation__cmp__random_creation,BasedPermutation,64,,,64948248.0,ns,20930
permutation__cmp__random_creation,BasedPermutation,64,,,66016007.0,ns,21252
permutation__cmp__random_creation,BasedPermutation,64,,,66952758.0,ns,21574
permutation__cmp__random_creation,BasedPermutation,64,,,67987414.0,ns,21896
permutation__cmp__random_creation,BasedPermutation,64,,,68965968.0,ns,22218
permutation__cmp__random_creation,BasedPermutation,64,,,70056527.0,ns,22540
permutation__cmp__random_creation,BasedPermutation,64,,,71031280.0,ns,22862
permutation__cmp__random_creation,BasedPermutation,64,,,72003334.0,ns,23184
permutation__cmp__random_creation,BasedPermutation,64,,,72995388.0,ns,23506
permutation__cmp__random_creation,BasedPermutation,64,,,74005743.0,ns,23828
permutation__cmp__random_creation,BasedPermutation,64,,,74970996.0,ns,24150
permutation__cmp__random_creation,BasedPermutation,64,,,75981050.0,ns,24472
permutation__cmp__random_creation,BasedPermutation,64,,,77007406.0,ns,24794
permutation__cmp__random_creation,BasedPermutation,64,,,77991659.0,ns,25116
permutation__cmp__random_creation,BasedPermutation,64,,,79001215.0,ns,25438
permutation__cmp__random_creation,BasedPermutation,64,,,79992169.0,ns,25760
permutation__cmp__random_creation,BasedPermutation,64,,,80973822.0,ns,26082
permutation__cmp__random_creation,BasedPermutation,64,,,81977278.0,ns,26404
permutation__cmp__random_creation,BasedPermutation,64,,,83093638.0,ns,26726
permutation__cmp__random_creation,BasedPermutation,64,,,84272502.0,ns,27048
permutation__cmp__random_creation,BasedPermutation,64,,,85139550.0,ns,27370
permutation__cmp__random_creation,BasedPermutation,64,,,85972296.0,ns,27692
permutation__cmp__random_creation,BasedPermutation,64,,,86976150.0,ns,28014
permutation__cmp__random_creation,BasedPermutation,64,,,87999305.0,ns,28336
permutation__cmp__random_creation,BasedPermutation,64,,,88907554.0,ns,28658
permutation__cmp__random_creation,BasedPermutation,64,,,89985813.0,ns,28980
permutation__cmp__random_creation,BasedPermutation,64,,,90966567.0,ns,29302
permutation__cmp__random_creation,BasedPermutation,64,,,91966121.0,ns,29624
permutation__cmp__random_creation,BasedPermutation,64,,,93001678.0,ns,29946
permutation__cmp__random_creation,BasedPermutation,64,,,93967530.0,ns,30268
permutation__cmp__random_creation,BasedPermutation,64,,,94949984.0,ns,30590
permutation__cmp__random_creation,BasedPermutation,64,,,95962740.0,ns,30912
permutation__cmp__random_creation,BasedPermutation,64,,,97000596.0,ns,31234
permutation__cmp__random_creation,BasedPermutation,64,,,97946948.0,ns,31556
permutation__cmp__random_creation,BasedPermutation,64,,,99015205.0,ns,31878
permutation__cmp__random_creation,BasedPermutation,64,,,99948755.0,ns,32200
