group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__random_creation,MapPermutation,32,,,979954.0,ns,302
permutation__cmp__random_creation,MapPermutation,32,,,1977610.0,ns,604
permutation__cmp__random_creation,MapPermutation,32,,,2952265.0,ns,906
permutation__cmp__random_creation,MapPermutation,32,,,3933019.0,ns,1208
permutation__cmp__random_creation,MapPermutation,32,,,4920374.0,ns,1510
permutation__cmp__random_creation,MapPermutation,32,,,5909228.0,ns,1812
permutation__cmp__random_creation,MapPermutation,32,,,6888184.0,ns,2114
permutation__cmp__random_creation,MapPermutation,32,,,7889039.0,ns,2416
permutation__cmp__random_creation,MapPermutation,32,,,8865893.0,ns,2718
permutation__cmp__random_creation,MapPermutation,32,,,9839048.0,ns,3020
permutation__cmp__random_creation,MapPermutation,32,,,10831303.0,ns,3322
permutation__cmp__random_creation,MapPermutation,32,,,11818758.0,ns,3624
permutation__cmp__random_creation,MapPermutation,32,,,12804412.0,ns,3926
permutation__cmp__random_creation,MapPermutation,32,,,13793068.0,ns,4228
permutation__cmp__random_creation,MapPermutation,32,,,14766421.0,ns,4530
permutation__cmp__random_creation,MapPermutation,32,,,15812180.0,ns,4832
permutation__cmp__random_creation,MapPermutation,32,,,16720031.0,ns,5134
permutation__cmp__random_creation,MapPermutation,32,,,17735086.0,ns,5436
permutation__cmp__random_creation,MapPermutation,32,,,18684740.0,ns,5738
permutation__cmp__random_creation,MapPermutation,32,,,19631892.0,ns,6040
permutation__cmp__random_creation,MapPermutation,32,,,20607247.0,ns,6342
permutation__cmp__random_creation,MapPermutation,32,,,21633604.0,ns,6644
permutation__cmp__random_creation,MapPermutation,32,,,22596757.0,ns,6946
permutation__cmp__random_creation,MapPermutation,32,,,23570011.0,ns,7248
permutation__cmp__random_creation,MapPermutation,32,,,24525065.0,ns,7550
permutation__cmp__random_creation,MapPermutation,32,,,25523120.0,ns,7852
permutation__cmp__random_creation,MapPermutation,32,,,26512775.0,ns,8154
permutation__cmp__random_creation,MapPermutation,32,,,27537833.0,ns,8456
permutation__cmp__random_creation,MapPermutation,32,,,28576590.0,ns,8758
permutation__cmp__random_creation,MapPermutation,32,,,29478440.0,ns,9060
permutation__cmp__random_creation,MapPermutation,32,,,30402891.0,ns,9362
permutation__cmp__random_creation,MapPermutation,32,,,31455751.0,ns,9664
permutation__cmp__random_creation,MapPermutation,32,,,32395602.0,ns,9966
permutation__cmp__random_creation,MapPermutation,32,,,33412259.0,ns,10268
permutation__cmp__random_creation,MapPermutation,32,,,34472518.0,ns,10570
permutation__cmp__random_creation,MapPermutation,32,,,35444372.0,ns,10872
permutation__cmp__random_creation,MapPermutation,32,,,36453829.0,ns,11174
permutation__cmp__random_creation,MapPermutation,32,,,37374979.0,ns,11476
permutation__cmp__random_creation,MapPermutation,32,,,38276130.0,ns,11778
permutation__cmp__random_creation,MapPermutation,32,,,39266985.0,ns,12080
permutation__cmp__random_creation,MapPermutation,32,,,40267040.0,ns,12382
permutation__cmp__random_creation,MapPermutation,32,,,41213894.0,ns,12684
permutation__cmp__random_creation,MapPermutation,32,,,42332855.0,ns,12986
permutation__cmp__random_creation,MapPermutation,32,,,43214304.0,ns,13288
permutation__cmp__random_creation,MapPermutation,32,,,44196960.0,ns,13590
permutation__cmp__random_creation,MapPermutation,32,,,45186214.0,ns,13892
permutation__cmp__random_creation,MapPermutation,32,,,46227571.0,ns,14194
permutation__cmp__random_creation,MapPermutation,32,,,47216926.0,ns,14496
permutation__cmp__random_creation,MapPermutation,32,,,48105476.0,ns,14798
permutation__cmp__random_creation,MapPermutation,32,,,49171235.0,ns,15100
permutation__cmp__random_creation,MapPermutation,32,,,50243495.0,ns,15402
permutation__cmp__random_creation,MapPermutation,32,,,51053139.0,ns,15704
permutation__cmp__random_creation,MapPermutation,32,,,52033494.0,ns,16006
permutation__cmp__random_creation,MapPermutation,32,,,53014949.0,ns,16308
permutation__cmp__random_creation,MapPermutation,32,,,54174813.0,ns,16610
permutation__cmp__random_creation,MapPermutation,32,,,54997759.0,ns,16912
permutation__cmp__random_creation,MapPermutation,32,,,55982514.0,ns,17214
permutation__cmp__random_creation,MapPermutation,32,,,57008071.0,ns,17516
permutation__cmp__random_creation,MapPermutation,32,,,58145734.0,ns,17818
permutation__cmp__random_creation,MapPermutation,32,,,58985281.0,ns,18120
permutation__cmp__random_creation,MapPermutation,32,,,60036039.0,ns,18422
permutation__cmp__random_creation,MapPermutation,32,,,61057496.0,ns,18724
permutation__cmp__random_creation,MapPermutation,32,,,62036850.0,ns,19026
