group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__random_creation,MapPermutation,64,,,996273.0,ns,165
permutation__cmp__random_creation,MapPermutation,64,,,2006349.0,ns,330
permutation__cmp__random_creation,MapPermutation,64,,,2890413.0,ns,495
permutation__cmp__random_creation,MapPermutation,64,,,3895888.0,ns,660
permutation__cmp__random_creation,MapPermutation,64,,,4912963.0,ns,825
permutation__cmp__random_creation,MapPermutation,64,,,5946940.0,ns,990
permutation__cmp__random_creation,MapPermutation,64,,,6617689.0,ns,1155
permutation__cmp__random_creation,MapPermutation,64,,,7894383.0,ns,1320
permutation__cmp__random_creation,MapPermutation,64,,,8995365.0,ns,1485
permutation__cmp__random_creation,MapPermutation,64,,,9965736.0,ns,1650
permutation__cmp__random_creation,MapPermutation,64,,,10464273.0,ns,1815
permutation__cmp__random_creation,MapPermutation,64,,,11720566.0,ns,1980
permutation__cmp__random_creation,MapPermutation,64,,,12966859.0,ns,2145
permutation__cmp__random_creation,MapPermutation,64,,,14015835.0,ns,2310
permutation__cmp__random_creation,MapPermutation,64,,,15045812.0,ns,2475
permutation__cmp__random_creation,MapPermutation,64,,,15948179.0,ns,2640
permutation__cmp__random_creation,MapPermutation,64,,,17003156.0,ns,2805
permutation__cmp__random_creation,MapPermutation,64,,,17954927.0,ns,2970
permutation__cmp__random_creation,MapPermutation,64,,,18866094.0,ns,3135
permutation__cmp__random_creation,MapPermutation,64,,,20046581.0,ns,3300
permutation__cmp__random_creation,MapPermutation,64,,,20883443.0,ns,3465
permutation__cmp__random_creation,MapPermutation,64,,,21784510.0,ns,3630
permutation__cmp__random_creation,MapPermutation,64,,,22883991.0,ns,3795
permutation__cmp__random_creation,MapPermutation,64,,,23541840.0,ns,3960
permutation__cmp__random_creation,MapPermutation,64,,,24793832.0,ns,4125
permutation__cmp__random_creation,MapPermutation,64,,,25852910.0,ns,4290
permutation__cmp__random_creation,MapPermutation,64,,,26641669.0,ns,4455
permutation__cmp__random_creation,MapPermutation,64,,,27593339.0,ns,4620
permutation__cmp__random_creation,MapPermutation,64,,,28800628.0,ns,4785
permutation__cmp__random_creation,MapPermutation,64,,,30010418.0,ns,4950
permutation__cmp__random_creation,MapPermutation,64,,,30782474.0,ns,5115
permutation__cmp__random_creation,MapPermutation,64,,,31727345.0,ns,5280
permutation__cmp__random_creation,MapPermutation,64,,,32833326.0,ns,5445
permutation__cmp__random_creation,MapPermutation,64,,,33905105.0,ns,5610
