group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__random_creation,StandardPermutation,128,,,994554.0,ns,157
permutation__cmp__random_creation,StandardPermutation,128,,,1995008.0,ns,314
permutation__cmp__random_creation,StandardPermutation,128,,,2996762.0,ns,471
permutation__cmp__random_creation,StandardPermutation,128,,,3981515.0,ns,628
permutation__cmp__random_creation,StandardPermutation,128,,,4991470.0,ns,785
permutation__cmp__random_creation,StandardPermutation,128,,,5967422.0,ns,942
permutation__cmp__random_creation,StandardPermutation,128,,,6974577.0,ns,1099
permutation__cmp__random_creation,StandardPermutation,128,,,7979532.0,ns,1256
permutation__cmp__random_creation,StandardPermutation,128,,,8949983.0,ns,1413
permutation__cmp__random_creation,StandardPermutation,128,,,9951538.0,ns,1570
permutation__cmp__random_creation,StandardPermutation,128,,,10955092.0,ns,1727
permutation__cmp__random_creation,StandardPermutation,128,,,11938546.0,ns,1884
permutation__cmp__random_creation,StandardPermutation,128,,,12939999.0,ns,2041
permutation__cmp__random_creation,StandardPermutation,128,,,13929053.0,ns,2198
permutation__cmp__random_creation,StandardPermutation,128,,,14948608.0,ns,2355
permutation__cmp__random_creation,StandardPermutation,128,,,15928961.0,ns,2512
permutation__cmp__random_creation,StandardPermutation,128,,,16962817.0,ns,2669
permutation__cmp__random_creation,StandardPermutation,128,,,17928169.0,ns,2826
permutation__cmp__random_creation,StandardPermutation,128,,,18916822.0,ns,2983
permutation__cmp__random_creation,StandardPermutation,128,,,19923577.0,ns,3140
permutation__cmp__random_creation,StandardPermutation,128,,,20910031.0,ns,3297
permutation__cmp__random_creation,StandardPermutation,128,,,21894783.0,ns,3454
permutation__cmp__random_creation,StandardPermutation,128,,,22905338.0,ns,3611
permutation__cmp__random_creation,StandardPermutation,128,,,23883191.0,ns,3768
permutation__cmp__random_creation,StandardPermutation,128,,,24881045.0,ns,3925
permutation__cmp__random_creation,StandardPermutation,128,,,25916301.0,ns,4082
permutation__cmp__random_creation,StandardPermutation,128,,,26886353.0,ns,4239
permutation__cmp__random_creation,StandardPermutation,128,,,27862706.0,ns,4396
permutation__cmp__random_creation,StandardPermutation,128,,,28896462.0,ns,4553
permutation__cmp__random_creation,StandardPermutation,128,,,29876414.0,ns,4710
permutation__cmp__random_creation,StandardPermutation,128,,,30872368.0,ns,4867
permutation__cmp__random_creation,StandardPermutation,128,,,31876323.0,ns,5024
permutation__cmp__random_creation,StandardPermutation,128,,,32853775.0,ns,5181
permutation__cmp__random_creation,StandardPermutation,128,,,33805527.0,ns,5338
permutation__cmp__random_creation,StandardPermutation,128,,,34858984.0,ns,5495
permutation__cmp__random_creation,StandardPermutation,128,,,35844637.0,ns,5652
permutation__cmp__random_creation,StandardPermutation,128,,,36836790.0,ns,5809
permutation__cmp__random_creation,StandardPermutation,128,,,37841545.0,ns,5966
permutation__cmp__random_creation,StandardPermutation,128,,,38867100.0,ns,6123
permutation__cmp__random_creation,StandardPermutation,128,,,39784650.0,ns,6280
permutation__cmp__random_creation,StandardPermutation,128,,,40818706.0,ns,6437
permutation__cmp__random_creation,StandardPermutation,128,,,41826860.0,ns,6594
permutation__cmp__random_creation,StandardPermutation,128,,,42836215.0,ns,6751
permutation__cmp__random_creation,StandardPermutation,128,,,43814067.0,ns,6908
permutation__cmp__random_creation,StandardPermutation,128,,,44792820.0,ns,7065
permutation__cmp__random_creation,StandardPermutation,128,,,45804075.0,ns,7222
permutation__cmp__random_creation,StandardPermutation,128,,,46764227.0,ns,7379
permutation__cmp__random_creation,StandardPermutation,128,,,47840885.0,ns,7536
permutation__cmp__random_creation,StandardPermutation,128,,,48800637.0,ns,7693
permutation__cmp__random_creation,StandardPermutation,128,,,49804292.0,ns,7850
permutation__cmp__random_creation,StandardPermutation,128,,,50783744.0,ns,8007
permutation__cmp__random_creation,StandardPermutation,128,,,51802599.0,ns,8164
permutation__cmp__random_creation,StandardPermutation,128,,,52808654.0,ns,8321
permutation__cmp__random_creation,StandardPermutation,128,,,53793406.0,ns,8478
permutation__cmp__random_creation,StandardPermutation,128,,,54744257.0,ns,8635
permutation__cmp__random_creation,StandardPermutation,128,,,55723811.0,ns,8792
permutation__cmp__random_creation,StandardPermutation,128,,,56726164.0,ns,8949
permutation__cmp__random_creation,StandardPermutation,128,,,57748120.0,ns,9106
permutation__cmp__random_creation,StandardPermutation,128,,,58709972.0,ns,9263
permutation__cmp__random_creation,StandardPermutation,128,,,59692724.0,ns,9420
permutation__cmp__random_creation,StandardPermutation,128,,,60663378.0,ns,9577
permutation__cmp__random_creation,StandardPermutation,128,,,61698733.0,ns,9734
permutation__cmp__random_creation,StandardPermutation,128,,,62718688.0,ns,9891
permutation__cmp__random_creation,StandardPermutation,128,,,63753244.0,ns,10048
permutation__cmp__random_creation,StandardPermutation,128,,,64690795.0,ns,10205
permutation__cmp__random_creation,StandardPermutation,128,,,65740152.0,ns,10362
permutation__cmp__random_creation,StandardPermutation,128,,,66712304.0,ns,10519
permutation__cmp__random_creation,StandardPermutation,128,,,67706257.0,ns,10676
permutation__cmp__random_creation,StandardPermutation,128,,,68693711.0,ns,10833
permutation__cmp__random_creation,StandardPermutation,128,,,69679164.0,ns,10990
permutation__cmp__random_creation,StandardPermutation,128,,,70667917.0,ns,11147
permutation__cmp__random_creation,StandardPermutation,128,,,71687871.0,ns,11304
permutation__cmp__random_creation,StandardPermutation,128,,,72700027.0,ns,11461
permutation__cmp__random_creation,StandardPermutation,128,,,73674879.0,ns,11618
permutation__cmp__random_creation,StandardPermutation,128,,,74675533.0,ns,11775
permutation__cmp__random_creation,StandardPermutation,128,,,75671787.0,ns,11932
permutation__cmp__random_creation,StandardPermutation,128,,,76654140.0,ns,12089
permutation__cmp__random_creation,StandardPermutation,128,,,77646894.0,ns,12246
permutation__cmp__random_creation,StandardPermutation,128,,,78677149.0,ns,12403
permutation__cmp__random_creation,StandardPermutation,128,,,79611500.0,ns,12560
permutation__cmp__random_creation,StandardPermutation,128,,,80664356.0,ns,12717
permutation__cmp__random_creation,StandardPermutation,128,,,81659711.0,ns,12874
permutation__cmp__random_creation,StandardPermutation,128,,,82618061.0,ns,13031
permutation__cmp__random_creation,StandardPermutation,128,,,83641417.0,ns,13188
permutation__cmp__random_creation,StandardPermutation,128,,,84624269.0,ns,13345
permutation__cmp__random_creation,StandardPermutation,128,,,85691727.0,ns,13502
permutation__cmp__random_creation,StandardPermutation,128,,,86578975.0,ns,13659
permutation__cmp__random_creation,StandardPermutation,128,,,87562828.0,ns,13816
permutation__cmp__random_creation,StandardPermutation,128,,,88665987.0,ns,13973
permutation__cmp__random_creation,StandardPermutation,128,,,89629640.0,ns,14130
permutation__cmp__random_creation,StandardPermutation,128,,,90642194.0,ns,14287
permutation__cmp__random_creation,StandardPermutation,128,,,91621647.0,ns,14444
permutation__cmp__random_creation,StandardPermutation,128,,,92594900.0,ns,14601
