group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__random_creation,StandardPermutation,16,,,987673.0,ns,1499
permutation__cmp__random_creation,StandardPermutation,16,,,1831836.0,ns,2998
permutation__cmp__random_creation,StandardPermutation,16,,,2918215.0,ns,4497
permutation__cmp__random_creation,StandardPermutation,16,,,3788180.0,ns,5996
permutation__cmp__random_creation,StandardPermutation,16,,,4995069.0,ns,7495
permutation__cmp__random_creation,StandardPermutation,16,,,5888735.0,ns,8994
permutation__cmp__random_creation,StandardPermutation,16,,,7011518.0,ns,10493
permutation__cmp__random_creation,StandardPermutation,16,,,7868681.0,ns,11992
permutation__cmp__random_creation,StandardPermutation,16,,,8214606.0,ns,13491
permutation__cmp__random_creation,StandardPermutation,16,,,9802623.0,ns,14990
permutation__cmp__random_creation,StandardPermutation,16,,,10767496.0,ns,16489
permutation__cmp__random_creation,StandardPermutation,16,,,12003086.0,ns,17988
permutation__cmp__random_creation,StandardPermutation,16,,,13049864.0,ns,19487
permutation__cmp__random_creation,StandardPermutation,16,,,14088340.0,ns,20986
permutation__cmp__random_creation,StandardPermutation,16,,,15024910.0,ns,22485
permutation__cmp__random_creation,StandardPermutation,16,,,16049585.0,ns,23984
permutation__cmp__random_creation,StandardPermutation,16,,,17093663.0,ns,25483
permutation__cmp__random_creation,StandardPermutation,16,,,18032632.0,ns,26982
permutation__cmp__random_creation,StandardPermutation,16,,,19000003.0,ns,28481
permutation__cmp__random_creation,StandardPermutation,16,,,20057781.0,ns,29980
permutation__cmp__random_creation,StandardPermutation,16,,,21015152.0,ns,31479
permutation__cmp__random_creation,StandardPermutation,16,,,21949021.0,ns,32978
permutation__cmp__random_creation,StandardPermutation,16,,,23132109.0,ns,34477
permutation__cmp__random_creation,StandardPermutation,16,,,24125381.0,ns,35976
permutation__cmp__random_creation,StandardPermutation,16,,,25034149.0,ns,37475
permutation__cmp__random_creation,StandardPermutation,16,,,25851710.0,ns,38974
permutation__cmp__random_creation,StandardPermutation,16,,,27103701.0,ns,40473
permutation__cmp__random_creation,StandardPermutation,16,,,27782952.0,ns,41972
permutation__cmp__random_creation,StandardPermutation,16,,,28712321.0,ns,43471
permutation__cmp__random_creation,StandardPermutation,16,,,29612287.0,ns,44970
permutation__cmp__random_creation,StandardPermutation,16,,,31071494.0,ns,46469
permutation__cmp__random_creation,StandardPermutation,16,,,32005464.0,ns,47968
permutation__cmp__random_creation,StandardPermutation,16,,,32889129.0,ns,49467
permutation__cmp__random_creation,StandardPermutation,16,,,33886003.0,ns,50966
permutation__cmp__random_creation,StandardPermutation,16,,,35008885.0,ns,52465
permutation__cmp__random_creation,StandardPermutation,16,,,35971957.0,ns,53964
permutation__cmp__random_creation,StandardPermutation,16,,,36993632.0,ns,55463
permutation__cmp__random_creation,StandardPermutation,16,,,37473167.0,ns,56962
permutation__cmp__random_creation,StandardPermutation,16,,,38213623.0,ns,58461
permutation__cmp__random_creation,StandardPermutation,16,,,39908347.0,ns,59960
permutation__cmp__random_creation,StandardPermutation,16,,,40314077.0,ns,61459
permutation__cmp__random_creation,StandardPermutation,16,,,41929197.0,ns,62958
permutation__cmp__random_creation,StandardPermutation,16,,,42822963.0,ns,64457
permutation__cmp__random_creation,StandardPermutation,16,,,42931370.0,ns,65956
permutation__cmp__random_creation,StandardPermutation,16,,,44927618.0,ns,67455
permutation__cmp__random_creation,StandardPermutation,16,,,45830285.0,ns,68954
permutation__cmp__random_creation,StandardPermutation,16,,,45866387.0,ns,70453
permutation__cmp__random_creation,StandardPermutation,16,,,47685822.0,ns,71952
permutation__cmp__random_creation,StandardPermutation,16,,,47749227.0,ns,73451
permutation__cmp__random_creation,StandardPermutation,16,,,49468553.0,ns,74950
permutation__cmp__random_creation,StandardPermutation,16,,,50086499.0,ns,76449
