group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__random_creation,SyncPermutation,128,,,998954.0,ns,147
permutation__cmp__random_creation,SyncPermutation,128,,,1999908.0,ns,294
permutation__cmp__random_creation,SyncPermutation,128,,,2993961.0,ns,441
permutation__cmp__random_creation,SyncPermutation,128,,,3989715.0,ns,588
permutation__cmp__random_creation,SyncPermutation,128,,,4974668.0,ns,735
permutation__cmp__random_creation,SyncPermutation,128,,,5990523.0,ns,882
permutation__cmp__random_creation,SyncPermutation,128,,,6986376.0,ns,1029
permutation__cmp__random_creation,SyncPermutation,128,,,8003831.0,ns,1176
permutation__cmp__random_creation,SyncPermutation,128,,,8986384.0,ns,1323
permutation__cmp__random_creation,SyncPermutation,128,,,9971637.0,ns,1470
permutation__cmp__random_creation,SyncPermutation,128,,,10982992.0,ns,1617
permutation__cmp__random_creation,SyncPermutation,128,,,11988645.0,ns,1764
permutation__cmp__random_creation,SyncPermutation,128,,,13005801.0,ns,1911
permutation__cmp__random_creation,SyncPermutation,128,,,13991653.0,ns,2058
permutation__cmp__random_creation,SyncPermutation,128,,,14973707.0,ns,2205
permutation__cmp__random_creation,SyncPermutation,128,,,16040064.0,ns,2352
permutation__cmp__random_creation,SyncPermutation,128,,,17012616.0,ns,2499
permutation__cmp__random_creation,SyncPermutation,128,,,18003870.0,ns,2646
permutation__cmp__random_creation,SyncPermutation,128,,,18949820.0,ns,2793
permutation__cmp__random_creation,SyncPermutation,128,,,20042980.0,ns,2940
permutation__cmp__random_creation,SyncPermutation,128,,,20974929.0,ns,3087
permutation__cmp__random_creation,SyncPermutation,128,,,21993285.0,ns,3234
permutation__cmp__random_creation,SyncPermutation,128,,,22973937.0,ns,3381
permutation__cmp__random_creation,SyncPermutation,128,,,23998893.0,ns,3528
permutation__cmp__random_creation,SyncPermutation,128,,,24965744.0,ns,3675
permutation__cmp__random_creation,SyncPermutation,128,,,26019802.0,ns,3822
permutation__cmp__random_creation,SyncPermutation,128,,,26956652.0,ns,3969
permutation__cmp__random_creation,SyncPermutation,128,,,27973706.0,ns,4116
permutation__cmp__random_creation,SyncPermutation,128,,,28979561.0,ns,4263
permutation__cmp__random_creation,SyncPermutation,128,,,29942013.0,ns,4410
permutation__cmp__random_creation,SyncPermutation,128,,,31012570.0,ns,4557
permutation__cmp__random_creation,SyncPermutation,128,,,32035725.0,ns,4704
permutation__cmp__random_creation,SyncPermutation,128,,,32989477.0,ns,4851
permutation__cmp__random_creation,SyncPermutation,128,,,33967830.0,ns,4998
permutation__cmp__random_creation,SyncPermutation,128,,,34971983.0,ns,5145
permutation__cmp__random_creation,SyncPermutation,128,,,35971537.0,ns,5292
permutation__cmp__random_creation,SyncPermutation,128,,,37007893.0,ns,5439
permutation__cmp__random_creation,SyncPermutation,128,,,37950544.0,ns,5586
permutation__cmp__random_creation,SyncPermutation,128,,,38963798.0,ns,5733
permutation__cmp__random_creation,SyncPermutation,128,,,39944151.0,ns,5880
permutation__cmp__random_creation,SyncPermutation,128,,,40937404.0,ns,6027
permutation__cmp__random_creation,SyncPermutation,128,,,41962760.0,ns,6174
permutation__cmp__random_creation,SyncPermutation,128,,,42950113.0,ns,6321
permutation__cmp__random_creation,SyncPermutation,128,,,43971267.0,ns,6468
permutation__cmp__random_creation,SyncPermutation,128,,,45021124.0,ns,6615
permutation__cmp__random_creation,SyncPermutation,128,,,45967676.0,ns,6762
permutation__cmp__random_creation,SyncPermutation,128,,,46990030.0,ns,6909
permutation__cmp__random_creation,SyncPermutation,128,,,47982883.0,ns,7056
permutation__cmp__random_creation,SyncPermutation,128,,,49048141.0,ns,7203
permutation__cmp__random_creation,SyncPermutation,128,,,50013693.0,ns,7350
permutation__cmp__random_creation,SyncPermutation,128,,,51051249.0,ns,7497
permutation__cmp__random_creation,SyncPermutation,128,,,52013301.0,ns,7644
permutation__cmp__random_creation,SyncPermutation,128,,,52960352.0,ns,7791
permutation__cmp__random_creation,SyncPermutation,128,,,53917403.0,ns,7938
permutation__cmp__random_creation,SyncPermutation,128,,,54918557.0,ns,8085
permutation__cmp__random_creation,SyncPermutation,128,,,55949012.0,ns,8232
permutation__cmp__random_creation,SyncPermutation,128,,,56999770.0,ns,8379
permutation__cmp__random_creation,SyncPermutation,128,,,58084727.0,ns,8526
permutation__cmp__random_creation,SyncPermutation,128,,,58998777.0,ns,8673
permutation__cmp__random_creation,SyncPermutation,128,,,60011131.0,ns,8820
permutation__cmp__random_creation,SyncPermutation,128,,,60980583.0,ns,8967
permutation__cmp__random_creation,SyncPermutation,128,,,61981637.0,ns,9114
permutation__cmp__random_creation,SyncPermutation,128,,,63006492.0,ns,9261
permutation__cmp__random_creation,SyncPermutation,128,,,63915240.0,ns,9408
permutation__cmp__random_creation,SyncPermutation,128,,,64985799.0,ns,9555
permutation__cmp__random_creation,SyncPermutation,128,,,65951950.0,ns,9702
permutation__cmp__random_creation,SyncPermutation,128,,,66990206.0,ns,9849
permutation__cmp__random_creation,SyncPermutation,128,,,67986960.0,ns,9996
permutation__cmp__random_creation,SyncPermutation,128,,,68968113.0,ns,10143
permutation__cmp__random_creation,SyncPermutation,128,,,69912563.0,ns,10290
permutation__cmp__random_creation,SyncPermutation,128,,,71005823.0,ns,10437
permutation__cmp__random_creation,SyncPermutation,128,,,71967674.0,ns,10584
permutation__cmp__random_creation,SyncPermutation,128,,,72913825.0,ns,10731
permutation__cmp__random_creation,SyncPermutation,128,,,73892278.0,ns,10878
permutation__cmp__random_creation,SyncPermutation,128,,,74976836.0,ns,11025
permutation__cmp__random_creation,SyncPermutation,128,,,75875084.0,ns,11172
permutation__cmp__random_creation,SyncPermutation,128,,,76978642.0,ns,11319
permutation__cmp__random_creation,SyncPermutation,128,,,77934995.0,ns,11466
permutation__cmp__random_creation,SyncPermutation,128,,,79044354.0,ns,11613
permutation__cmp__random_creation,SyncPermutation,128,,,79936602.0,ns,11760
permutation__cmp__random_creation,SyncPermutation,128,,,80944756.0,ns,11907
permutation__cmp__random_creation,SyncPermutation,128,,,81961111.0,ns,12054
permutation__cmp__random_creation,SyncPermutation,128,,,82921563.0,ns,12201
permutation__cmp__random_creation,SyncPermutation,128,,,83917816.0,ns,12348
permutation__cmp__random_creation,SyncPermutation,128,,,84956972.0,ns,12495
permutation__cmp__random_creation,SyncPermutation,128,,,85936025.0,ns,12642
permutation__cmp__random_creation,SyncPermutation,128,,,86951480.0,ns,12789
permutation__cmp__random_creation,SyncPermutation,128,,,87994435.0,ns,12936
permutation__cmp__random_creation,SyncPermutation,128,,,89163297.0,ns,13083
permutation__cmp__random_creation,SyncPermutation,128,,,89980341.0,ns,13230
permutation__cmp__random_creation,SyncPermutation,128,,,90992696.0,ns,13377
permutation__cmp__random_creation,SyncPermutation,128,,,92049153.0,ns,13524
permutation__cmp__random_creation,SyncPermutation,128,,,92902298.0,ns,13671
permutation__cmp__random_creation,SyncPermutation,128,,,93921554.0,ns,13818
permutation__cmp__random_creation,SyncPermutation,128,,,95021812.0,ns,13965
permutation__cmp__random_creation,SyncPermutation,128,,,95926262.0,ns,14112
permutation__cmp__random_creation,SyncPermutation,128,,,96970817.0,ns,14259
permutation__cmp__random_creation,SyncPermutation,128,,,97979572.0,ns,14406
permutation__cmp__random_creation,SyncPermutation,128,,,99060629.0,ns,14553
permutation__cmp__random_creation,SyncPermutation,128,,,99948076.0,ns,14700
