group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__random_creation,SyncPermutation,512,,,975172.0,ns,38
permutation__cmp__random_creation,SyncPermutation,512,,,1995847.0,ns,76
permutation__cmp__random_creation,SyncPermutation,512,,,3001323.0,ns,114
permutation__cmp__random_creation,SyncPermutation,512,,,3917289.0,ns,152
permutation__cmp__random_creation,SyncPermutation,512,,,4997070.0,ns,190
permutation__cmp__random_creation,SyncPermutation,512,,,6076550.0,ns,228
permutation__cmp__random_creation,SyncPermutation,512,,,6961115.0,ns,266
permutation__cmp__random_creation,SyncPermutation,512,,,8015293.0,ns,304
permutation__cmp__random_creation,SyncPermutation,512,,,8972764.0,ns,342
permutation__cmp__random_creation,SyncPermutation,512,,,10026442.0,ns,380
permutation__cmp__random_creation,SyncPermutation,512,,,10855703.0,ns,418
permutation__cmp__random_creation,SyncPermutation,512,,,11078920.0,ns,456
permutation__cmp__random_creation,SyncPermutation,512,,,12379316.0,ns,494
permutation__cmp__random_creation,SyncPermutation,512,,,13901228.0,ns,532
permutation__cmp__random_creation,SyncPermutation,512,,,15012111.0,ns,570
permutation__cmp__random_creation,SyncPermutation,512,,,16014685.0,ns,608
permutation__cmp__random_creation,SyncPermutation,512,,,16670834.0,ns,646
permutation__cmp__random_creation,SyncPermutation,512,,,17723011.0,ns,684
permutation__cmp__random_creation,SyncPermutation,512,,,18927200.0,ns,722
permutation__cmp__random_creation,SyncPermutation,512,,,19885472.0,ns,760
permutation__cmp__random_creation,SyncPermutation,512,,,20619626.0,ns,798
permutation__cmp__random_creation,SyncPermutation,512,,,21991127.0,ns,836
permutation__cmp__random_creation,SyncPermutation,512,,,22039831.0,ns,874
permutation__cmp__random_creation,SyncPermutation,512,,,23573244.0,ns,912
permutation__cmp__random_creation,SyncPermutation,512,,,24795334.0,ns,950
permutation__cmp__random_creation,SyncPermutation,512,,,26036527.0,ns,988
permutation__cmp__random_creation,SyncPermutation,512,,,26920592.0,ns,1026
permutation__cmp__random_creation,SyncPermutation,512,,,27923466.0,ns,1064
permutation__cmp__random_creation,SyncPermutation,512,,,28706524.0,ns,1102
permutation__cmp__random_creation,SyncPermutation,512,,,29375274.0,ns,1140
permutation__cmp__random_creation,SyncPermutation,512,,,30734474.0,ns,1178
permutation__cmp__random_creation,SyncPermutation,512,,,31771951.0,ns,1216
permutation__cmp__random_creation,SyncPermutation,512,,,32977240.0,ns,1254
