group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__random_creation,WordPermutation,128,,,998253.0,ns,158
permutation__cmp__random_creation,WordPermutation,128,,,1994007.0,ns,316
permutation__cmp__random_creation,WordPermutation,128,,,2990959.0,ns,474
permutation__cmp__random_creation,WordPermutation,128,,,3997014.0,ns,632
permutation__cmp__random_creation,WordPermutation,128,,,4984266.0,ns,790
permutation__cmp__random_creation,WordPermutation,128,,,5995820.0,ns,948
permutation__cmp__random_creation,WordPermutation,128,,,6981972.0,ns,1106
permutation__cmp__random_creation,WordPermutation,128,,,7986226.0,ns,1264
permutation__cmp__random_creation,WordPermutation,128,,,8961778.0,ns,1422
permutation__cmp__random_creation,WordPermutation,128,,,9977633.0,ns,1580
permutation__cmp__random_creation,WordPermutation,128,,,10994186.0,ns,1738
permutation__cmp__random_creation,WordPermutation,128,,,11986140.0,ns,1896
permutation__cmp__random_creation,WordPermutation,128,,,12987092.0,ns,2054
permutation__cmp__random_creation,WordPermutation,128,,,13971246.0,ns,2212
permutation__cmp__random_creation,WordPermutation,128,,,14961698.0,ns,2370
permutation__cmp__random_creation,WordPermutation,128,,,15969952.0,ns,2528
permutation__cmp__random_creation,WordPermutation,128,,,16977406.0,ns,2686
permutation__cmp__random_creation,WordPermutation,128,,,17945457.0,ns,2844
permutation__cmp__random_creation,WordPermutation,128,,,18993214.0,ns,3002
permutation__cmp__random_creation,WordPermutation,128,,,19957664.0,ns,3160
permutation__cmp__random_creation,WordPermutation,128,,,20929917.0,ns,3318
permutation__cmp__random_creation,WordPermutation,128,,,21950471.0,ns,3476
permutation__cmp__random_creation,WordPermutation,128,,,22947224.0,ns,3634
permutation__cmp__random_creation,WordPermutation,128,,,23977979.0,ns,3792
permutation__cmp__random_creation,WordPermutation,128,,,24947831.0,ns,3950
permutation__cmp__random_creation,WordPermutation,128,,,25945685.0,ns,4108
permutation__cmp__random_creation,WordPermutation,128,,,26961838.0,ns,4266
permutation__cmp__random_creation,WordPermutation,128,,,27928490.0,ns,4424
permutation__cmp__random_creation,WordPermutation,128,,,29005048.0,ns,4582
permutation__cmp__random_creation,WordPermutation,128,,,29986899.0,ns,4740
permutation__cmp__random_creation,WordPermutation,128,,,30912450.0,ns,4898
permutation__cmp__random_creation,WordPermutation,128,,,31936803.0,ns,5056
permutation__cmp__random_creation,WordPermutation,128,,,32904456.0,ns,5214
permutation__cmp__random_creation,WordPermutation,128,,,33950811.0,ns,5372
permutation__cmp__random_creation,WordPermutation,128,,,34959465.0,ns,5530
permutation__cmp__random_creation,WordPermutation,128,,,35934517.0,ns,5688
permutation__cmp__random_creation,WordPermutation,128,,,36942871.0,ns,5846
permutation__cmp__random_creation,WordPermutation,128,,,37968526.0,ns,6004
permutation__cmp__random_creation,WordPermutation,128,,,38957078.0,ns,6162
permutation__cmp__random_creation,WordPermutation,128,,,39934630.0,ns,6320
permutation__cmp__random_creation,WordPermutation,128,,,40900482.0,ns,6478
permutation__cmp__random_creation,WordPermutation,128,,,41929536.0,ns,6636
permutation__cmp__random_creation,WordPermutation,128,,,42883988.0,ns,6794
permutation__cmp__random_creation,WordPermutation,128,,,43911142.0,ns,6952
permutation__cmp__random_creation,WordPermutation,128,,,44856193.0,ns,7110
permutation__cmp__random_creation,WordPermutation,128,,,45928149.0,ns,7268
permutation__cmp__random_creation,WordPermutation,128,,,46895302.0,ns,7426
permutation__cmp__random_creation,WordPermutation,128,,,47948857.0,ns,7584
permutation__cmp__random_creation,WordPermutation,128,,,48903409.0,ns,7742
permutation__cmp__random_creation,WordPermutation,128,,,49936263.0,ns,7900
permutation__cmp__random_creation,WordPermutation,128,,,50897115.0,ns,8058
permutation__cmp__random_creation,WordPermutation,128,,,51912669.0,ns,8216
permutation__cmp__random_creation,WordPermutation,128,,,52933823.0,ns,8374
permutation__cmp__random_creation,WordPermutation,128,,,53908276.0,ns,8532
permutation__cmp__random_creation,WordPermutation,128,,,54916429.0,ns,8690
permutation__cmp__random_creation,WordPermutation,128,,,55921983.0,ns,8848
permutation__cmp__random_creation,WordPermutation,128,,,56880534.0,ns,9006
permutation__cmp__random_creation,WordPermutation,128,,,57909489.0,ns,9164
permutation__cmp__random_creation,WordPermutation,128,,,58851139.0,ns,9322
permutation__cmp__random_creation,WordPermutation,128,,,59855592.0,ns,9480
permutation__cmp__random_creation,WordPermutation,128,,,60891847.0,ns,9638
permutation__cmp__random_creation,WordPermutation,128,,,61859699.0,ns,9796
permutation__cmp__random_creation,WordPermutation,128,,,62878453.0,ns,9954
permutation__cmp__random_creation,WordPermutation,128,,,63860205.0,ns,10112
permutation__cmp__random_creation,WordPermutation,128,,,64862159.0,ns,10270
permutation__cmp__random_creation,WordPermutation,128,,,65885514.0,ns,10428
permutation__cmp__random_creation,WordPermutation,128,,,66870266.0,ns,10586
permutation__cmp__random_creation,WordPermutation,128,,,67846518.0,ns,10744
permutation__cmp__random_creation,WordPermutation,128,,,68863672.0,ns,10902
permutation__cmp__random_creation,WordPermutation,128,,,69832324.0,ns,11060
permutation__cmp__random_creation,WordPermutation,128,,,70795476.0,ns,11218
permutation__cmp__random_creation,WordPermutation,128,,,71862732.0,ns,11376
permutation__cmp__random_creation,WordPermutation,128,,,72939690.0,ns,11534
permutation__cmp__random_creation,WordPermutation,128,,,73943243.0,ns,11692
permutation__cmp__random_creation,WordPermutation,128,,,74908194.0,ns,11850
permutation__cmp__random_creation,WordPermutation,128,,,75859444.0,ns,12008
permutation__cmp__random_creation,WordPermutation,128,,,76831397.0,ns,12166
permutation__cmp__random_creation,WordPermutation,128,,,77790147.0,ns,12324
permutation__cmp__random_creation,WordPermutation,128,,,78791101.0,ns,12482
permutation__cmp__random_creation,WordPermutation,128,,,79854258.0,ns,12640
permutation__cmp__random_creation,WordPermutation,128,,,80761205.0,ns,12798
permutation__cmp__random_creation,WordPermutation,128,,,81815163.0,ns,12956
permutation__cmp__random_creation,WordPermutation,128,,,82848517.0,ns,13114
permutation__cmp__random_creation,WordPermutation,128,,,83822369.0,ns,13272
permutation__cmp__random_creation,WordPermutation,128,,,84869525.0,ns,13430
permutation__cmp__random_creation,WordPermutation,128,,,85845477.0,ns,13588
permutation__cmp__random_creation,WordPermutation,128,,,86841929.0,ns,13746
permutation__cmp__random_creation,WordPermutation,128,,,87832482.0,ns,13904
permutation__cmp__random_creation,WordPermutation,128,,,88879538.0,ns,14062
permutation__cmp__random_creation,WordPermutation,128,,,89852390.0,ns,14220
permutation__cmp__random_creation,WordPermutation,128,,,90874744.0,ns,14378
permutation__cmp__random_creation,WordPermutation,128,,,91841695.0,ns,14536
permutation__cmp__random_creation,WordPermutation,128,,,92770445.0,ns,14694
permutation__cmp__random_creation,WordPermutation,128,,,93747798.0,ns,14852
permutation__cmp__random_creation,WordPermutation,128,,,94784752.0,ns,15010
permutation__cmp__random_creation,WordPermutation,128,,,95782906.0,ns,15168
permutation__cmp__random_creation,WordPermutation,128,,,96792259.0,ns,15326
permutation__cmp__random_creation,WordPermutation,128,,,97759011.0,ns,15484
permutation__cmp__random_creation,WordPermutation,128,,,98855268.0,ns,15642
permutation__cmp__random_creation,WordPermutation,128,,,99837621.0,ns,15800
