group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__random_creation,WordPermutation,32,,,1005274.0,ns,683
permutation__cmp__random_creation,WordPermutation,32,,,2011648.0,ns,1366
permutation__cmp__random_creation,WordPermutation,32,,,2937316.0,ns,2049
permutation__cmp__random_creation,WordPermutation,32,,,4027897.0,ns,2732
permutation__cmp__random_creation,WordPermutation,32,,,4871259.0,ns,3415
permutation__cmp__random_creation,WordPermutation,32,,,5945238.0,ns,4098
permutation__cmp__random_creation,WordPermutation,32,,,7025718.0,ns,4781
permutation__cmp__random_creation,WordPermutation,32,,,8020292.0,ns,5464
permutation__cmp__random_creation,WordPermutation,32,,,8997363.0,ns,6147
permutation__cmp__random_creation,WordPermutation,32,,,10051241.0,ns,6830
permutation__cmp__random_creation,WordPermutation,32,,,11099818.0,ns,7513
permutation__cmp__random_creation,WordPermutation,32,,,12004085.0,ns,8196
permutation__cmp__random_creation,WordPermutation,32,,,12995458.0,ns,8879
permutation__cmp__random_creation,WordPermutation,32,,,13964530.0,ns,9562
permutation__cmp__random_creation,WordPermutation,32,,,14961303.0,ns,10245
permutation__cmp__random_creation,WordPermutation,32,,,15953276.0,ns,10928
permutation__cmp__random_creation,WordPermutation,32,,,17096460.0,ns,11611
permutation__cmp__random_creation,WordPermutation,32,,,18095834.0,ns,12294
permutation__cmp__random_creation,WordPermutation,32,,,18962998.0,ns,12977
permutation__cmp__random_creation,WordPermutation,32,,,20074880.0,ns,13660
permutation__cmp__random_creation,WordPermutation,32,,,21025350.0,ns,14343
permutation__cmp__random_creation,WordPermutation,32,,,22063226.0,ns,15026
permutation__cmp__random_creation,WordPermutation,32,,,23170708.0,ns,15709
permutation__cmp__random_creation,WordPermutation,32,,,24093977.0,ns,16392
permutation__cmp__random_creation,WordPermutation,32,,,25027945.0,ns,17075
permutation__cmp__random_creation,WordPermutation,32,,,26074422.0,ns,17758
permutation__cmp__random_creation,WordPermutation,32,,,27202406.0,ns,18441
permutation__cmp__random_creation,WordPermutation,32,,,28072269.0,ns,19124
permutation__cmp__random_creation,WordPermutation,32,,,28985337.0,ns,19807
permutation__cmp__random_creation,WordPermutation,32,,,29957009.0,ns,20490
permutation__cmp__random_creation,WordPermutation,32,,,30916179.0,ns,21173
permutation__cmp__random_creation,WordPermutation,32,,,31755441.0,ns,21856
permutation__cmp__random_creation,WordPermutation,32,,,32359186.0,ns,22539
permutation__cmp__random_creation,WordPermutation,32,,,33821493.0,ns,23222
permutation__cmp__random_creation,WordPermutation,32,,,34778464.0,ns,23905
permutation__cmp__random_creation,WordPermutation,32,,,35929249.0,ns,24588
permutation__cmp__random_creation,WordPermutation,32,,,36711506.0,ns,25271
permutation__cmp__random_creation,WordPermutation,32,,,38099109.0,ns,25954
permutation__cmp__random_creation,WordPermutation,32,,,39087982.0,ns,26637
permutation__cmp__random_creation,WordPermutation,32,,,40211164.0,ns,27320
permutation__cmp__random_creation,WordPermutation,32,,,41239040.0,ns,28003
permutation__cmp__random_creation,WordPermutation,32,,,42104304.0,ns,28686
permutation__cmp__random_creation,WordPermutation,32,,,43055674.0,ns,29369
permutation__cmp__random_creation,WordPermutation,32,,,44327568.0,ns,30052
permutation__cmp__random_creation,WordPermutation,32,,,45056221.0,ns,30735
permutation__cmp__random_creation,WordPermutation,32,,,45554359.0,ns,31418
permutation__cmp__random_creation,WordPermutation,32,,,46499528.0,ns,32101
permutation__cmp__random_creation,WordPermutation,32,,,48097146.0,ns,32784
permutation__cmp__random_creation,WordPermutation,32,,,49238730.0,ns,33467
permutation__cmp__random_creation,WordPermutation,32,,,50268506.0,ns,34150
permutation__cmp__random_creation,WordPermutation,32,,,51155271.0,ns,34833
permutation__cmp__random_creation,WordPermutation,32,,,52043737.0,ns,35516
permutation__cmp__random_creation,WordPermutation,32,,,53197722.0,ns,36199
permutation__cmp__random_creation,WordPermutation,32,,,54235198.0,ns,36882
permutation__cmp__random_creation,WordPermutation,32,,,55154266.0,ns,37565
permutation__cmp__random_creation,WordPermutation,32,,,55635002.0,ns,38248
permutation__cmp__random_creation,WordPermutation,32,,,55619600.0,ns,38931
permutation__cmp__random_creation,WordPermutation,32,,,56930997.0,ns,39614
permutation__cmp__random_creation,WordPermutation,32,,,58680826.0,ns,40297
permutation__cmp__random_creation,WordPermutation,32,,,59022452.0,ns,40980
permutation__cmp__random_creation,WordPermutation,32,,,59508587.0,ns,41663
permutation__cmp__random_creation,WordPermutation,32,,,61920265.0,ns,42346
