group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__shift,BasedPermutation,256,,,995592.0,ns,113657
permutation__cmp__shift,BasedPermutation,256,,,1979982.0,ns,227314
permutation__cmp__shift,BasedPermutation,256,,,2976174.0,ns,340971
permutation__cmp__shift,BasedPermutation,256,,,3967964.0,ns,454628
permutation__cmp__shift,BasedPermutation,256,,,4956155.0,ns,568285
permutation__cmp__shift,BasedPermutation,256,,,5952547.0,ns,681942
permutation__cmp__shift,BasedPermutation,256,,,6936837.0,ns,795599
permutation__cmp__shift,BasedPermutation,256,,,7934328.0,ns,909256
permutation__cmp__shift,BasedPermutation,256,,,8931920.0,ns,1022913
permutation__cmp__shift,BasedPermutation,256,,,9912810.0,ns,1136570
permutation__cmp__shift,BasedPermutation,256,,,10921103.0,ns,1250227
permutation__cmp__shift,BasedPermutation,256,,,11899793.0,ns,1363884
permutation__cmp__shift,BasedPermutation,256,,,12890683.0,ns,1477541
permutation__cmp__shift,BasedPermutation,256,,,13886375.0,ns,1591198
permutation__cmp__shift,BasedPermutation,256,,,14870565.0,ns,1704855
permutation__cmp__shift,BasedPermutation,256,,,15879758.0,ns,1818512
permutation__cmp__shift,BasedPermutation,256,,,16860648.0,ns,1932169
permutation__cmp__shift,BasedPermutation,256,,,17855939.0,ns,2045826
permutation__cmp__shift,BasedPermutation,256,,,18840729.0,ns,2159483
permutation__cmp__shift,BasedPermutation,256,,,19834821.0,ns,2273140
permutation__cmp__shift,BasedPermutation,256,,,20831512.0,ns,2386797
permutation__cmp__shift,BasedPermutation,256,,,21828703.0,ns,2500454
permutation__cmp__shift,BasedPermutation,256,,,22814093.0,ns,2614111
permutation__cmp__shift,BasedPermutation,256,,,23803284.0,ns,2727768
permutation__cmp__shift,BasedPermutation,256,,,24792775.0,ns,2841425
permutation__cmp__shift,BasedPermutation,256,,,25780566.0,ns,2955082
permutation__cmp__shift,BasedPermutation,256,,,26772357.0,ns,3068739
permutation__cmp__shift,BasedPermutation,256,,,27768648.0,ns,3182396
permutation__cmp__shift,BasedPermutation,256,,,28759338.0,ns,3296053
permutation__cmp__shift,BasedPermutation,256,,,29753230.0,ns,3409710
permutation__cmp__shift,BasedPermutation,256,,,30747922.0,ns,3523367
permutation__cmp__shift,BasedPermutation,256,,,31734812.0,ns,3637024
permutation__cmp__shift,BasedPermutation,256,,,32730704.0,ns,3750681
permutation__cmp__shift,BasedPermutation,256,,,33710293.0,ns,3864338
permutation__cmp__shift,BasedPermutation,256,,,34710184.0,ns,3977995
permutation__cmp__shift,BasedPermutation,256,,,35707576.0,ns,4091652
permutation__cmp__shift,BasedPermutation,256,,,36691366.0,ns,4205309
permutation__cmp__shift,BasedPermutation,256,,,37688458.0,ns,4318966
permutation__cmp__shift,BasedPermutation,256,,,38687049.0,ns,4432623
permutation__cmp__shift,BasedPermutation,256,,,39673640.0,ns,4546280
permutation__cmp__shift,BasedPermutation,256,,,40677133.0,ns,4659937
permutation__cmp__shift,BasedPermutation,256,,,41656522.0,ns,4773594
permutation__cmp__shift,BasedPermutation,256,,,42646713.0,ns,4887251
permutation__cmp__shift,BasedPermutation,256,,,43638604.0,ns,5000908
permutation__cmp__shift,BasedPermutation,256,,,44646596.0,ns,5114565
permutation__cmp__shift,BasedPermutation,256,,,45631287.0,ns,5228222
permutation__cmp__shift,BasedPermutation,256,,,46607477.0,ns,5341879
permutation__cmp__shift,BasedPermutation,256,,,47606368.0,ns,5455536
permutation__cmp__shift,BasedPermutation,256,,,48586158.0,ns,5569193
permutation__cmp__shift,BasedPermutation,256,,,49604150.0,ns,5682850
permutation__cmp__shift,BasedPermutation,256,,,50612542.0,ns,5796507
permutation__cmp__shift,BasedPermutation,256,,,51587931.0,ns,5910164
permutation__cmp__shift,BasedPermutation,256,,,52567621.0,ns,6023821
permutation__cmp__shift,BasedPermutation,256,,,53551112.0,ns,6137478
permutation__cmp__shift,BasedPermutation,256,,,54552603.0,ns,6251135
permutation__cmp__shift,BasedPermutation,256,,,55520691.0,ns,6364792
permutation__cmp__shift,BasedPermutation,256,,,56521383.0,ns,6478449
permutation__cmp__shift,BasedPermutation,256,,,57515375.0,ns,6592106
permutation__cmp__shift,BasedPermutation,256,,,58516767.0,ns,6705763
permutation__cmp__shift,BasedPermutation,256,,,59515558.0,ns,6819420
permutation__cmp__shift,BasedPermutation,256,,,60494848.0,ns,6933077
permutation__cmp__shift,BasedPermutation,256,,,61485739.0,ns,7046734
permutation__cmp__shift,BasedPermutation,256,,,62792458.0,ns,7160391
permutation__cmp__shift,BasedPermutation,256,,,63477121.0,ns,7274048
permutation__cmp__shift,BasedPermutation,256,,,64447010.0,ns,7387705
permutation__cmp__shift,BasedPermutation,256,,,65455403.0,ns,7501362
permutation__cmp__shift,BasedPermutation,256,,,66447691.0,ns,7615019
permutation__cmp__shift,BasedPermutation,256,,,67474785.0,ns,7728676
permutation__cmp__shift,BasedPermutation,256,,,68427872.0,ns,7842333
permutation__cmp__shift,BasedPermutation,256,,,69440565.0,ns,7955990
permutation__cmp__shift,BasedPermutation,256,,,70405854.0,ns,8069647
permutation__cmp__shift,BasedPermutation,256,,,71394744.0,ns,8183304
permutation__cmp__shift,BasedPermutation,256,,,72396136.0,ns,8296961
permutation__cmp__shift,BasedPermutation,256,,,73371825.0,ns,8410618
permutation__cmp__shift,BasedPermutation,256,,,74366217.0,ns,8524275
permutation__cmp__shift,BasedPermutation,256,,,75362708.0,ns,8637932
permutation__cmp__shift,BasedPermutation,256,,,76356399.0,ns,8751589
permutation__cmp__shift,BasedPermutation,256,,,77364992.0,ns,8865246
permutation__cmp__shift,BasedPermutation,256,,,78351682.0,ns,8978903
permutation__cmp__shift,BasedPermutation,256,,,79336672.0,ns,9092560
permutation__cmp__shift,BasedPermutation,256,,,80330160.0,ns,9206217
permutation__cmp__shift,BasedPermutation,256,,,81335652.0,ns,9319874
permutation__cmp__shift,BasedPermutation,256,,,82311042.0,ns,9433531
permutation__cmp__shift,BasedPermutation,256,,,83304433.0,ns,9547188
