group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__shift,BasedPermutation,8,,,926472.0,ns,150908
permutation__cmp__shift,BasedPermutation,8,,,1895247.0,ns,301816
permutation__cmp__shift,BasedPermutation,8,,,2822220.0,ns,452724
permutation__cmp__shift,BasedPermutation,8,,,3806497.0,ns,603632
permutation__cmp__shift,BasedPermutation,8,,,4776471.0,ns,754540
permutation__cmp__shift,BasedPermutation,8,,,5746648.0,ns,905448
permutation__cmp__shift,BasedPermutation,8,,,6701922.0,ns,1056356
permutation__cmp__shift,BasedPermutation,8,,,7480782.0,ns,1207264
permutation__cmp__shift,BasedPermutation,8,,,8533064.0,ns,1358172
permutation__cmp__shift,BasedPermutation,8,,,9582146.0,ns,1509080
permutation__cmp__shift,BasedPermutation,8,,,10431512.0,ns,1659988
permutation__cmp__shift,BasedPermutation,8,,,11552900.0,ns,1810896
permutation__cmp__shift,BasedPermutation,8,,,12434368.0,ns,1961804
permutation__cmp__shift,BasedPermutation,8,,,14273011.0,ns,2112712
permutation__cmp__shift,BasedPermutation,8,,,13689765.0,ns,2263620
permutation__cmp__shift,BasedPermutation,8,,,15349595.0,ns,2414528
permutation__cmp__shift,BasedPermutation,8,,,16414578.0,ns,2565436
permutation__cmp__shift,BasedPermutation,8,,,17065329.0,ns,2716344
permutation__cmp__shift,BasedPermutation,8,,,18209717.0,ns,2867252
permutation__cmp__shift,BasedPermutation,8,,,18852468.0,ns,3018160
permutation__cmp__shift,BasedPermutation,8,,,21324260.0,ns,3169068
permutation__cmp__shift,BasedPermutation,8,,,20135967.0,ns,3319976
permutation__cmp__shift,BasedPermutation,8,,,21549878.0,ns,3470884
permutation__cmp__shift,BasedPermutation,8,,,22958687.0,ns,3621792
permutation__cmp__shift,BasedPermutation,8,,,23460426.0,ns,3772700
permutation__cmp__shift,BasedPermutation,8,,,24991946.0,ns,3923608
permutation__cmp__shift,BasedPermutation,8,,,25803308.0,ns,4074516
permutation__cmp__shift,BasedPermutation,8,,,25821010.0,ns,4225424
permutation__cmp__shift,BasedPermutation,8,,,27247721.0,ns,4376332
permutation__cmp__shift,BasedPermutation,8,,,28496319.0,ns,4527240
permutation__cmp__shift,BasedPermutation,8,,,29385987.0,ns,4678148
permutation__cmp__shift,BasedPermutation,8,,,30575580.0,ns,4829056
permutation__cmp__shift,BasedPermutation,8,,,31244432.0,ns,4979964
permutation__cmp__shift,BasedPermutation,8,,,32266112.0,ns,5130872
permutation__cmp__shift,BasedPermutation,8,,,32431125.0,ns,5281780
permutation__cmp__shift,BasedPermutation,8,,,36403333.0,ns,5432688
permutation__cmp__shift,BasedPermutation,8,,,35128935.0,ns,5583596
permutation__cmp__shift,BasedPermutation,8,,,36182416.0,ns,5734504
permutation__cmp__shift,BasedPermutation,8,,,37494718.0,ns,5885412
permutation__cmp__shift,BasedPermutation,8,,,38480196.0,ns,6036320
permutation__cmp__shift,BasedPermutation,8,,,39254655.0,ns,6187228
permutation__cmp__shift,BasedPermutation,8,,,40436648.0,ns,6338136
permutation__cmp__shift,BasedPermutation,8,,,41284514.0,ns,6489044
permutation__cmp__shift,BasedPermutation,8,,,42352697.0,ns,6639952
permutation__cmp__shift,BasedPermutation,8,,,42407901.0,ns,6790860
permutation__cmp__shift,BasedPermutation,8,,,43669499.0,ns,6941768
permutation__cmp__shift,BasedPermutation,8,,,45065808.0,ns,7092676
permutation__cmp__shift,BasedPermutation,8,,,46127191.0,ns,7243584
permutation__cmp__shift,BasedPermutation,8,,,46936353.0,ns,7394492
permutation__cmp__shift,BasedPermutation,8,,,47573304.0,ns,7545400
permutation__cmp__shift,BasedPermutation,8,,,48673088.0,ns,7696308
permutation__cmp__shift,BasedPermutation,8,,,48971812.0,ns,7847216
permutation__cmp__shift,BasedPermutation,8,,,50775453.0,ns,7998124
permutation__cmp__shift,BasedPermutation,8,,,51002970.0,ns,8149032
permutation__cmp__shift,BasedPermutation,8,,,51130280.0,ns,8299940
permutation__cmp__shift,BasedPermutation,8,,,52225066.0,ns,8450848
permutation__cmp__shift,BasedPermutation,8,,,53724982.0,ns,8601756
permutation__cmp__shift,BasedPermutation,8,,,58728871.0,ns,8752664
permutation__cmp__shift,BasedPermutation,8,,,55879150.0,ns,8903572
permutation__cmp__shift,BasedPermutation,8,,,57254257.0,ns,9054480
permutation__cmp__shift,BasedPermutation,8,,,58123424.0,ns,9205388
permutation__cmp__shift,BasedPermutation,8,,,58211232.0,ns,9356296
permutation__cmp__shift,BasedPermutation,8,,,59288915.0,ns,9507204
permutation__cmp__shift,BasedPermutation,8,,,60369299.0,ns,9658112
permutation__cmp__shift,BasedPermutation,8,,,62290249.0,ns,9809020
permutation__cmp__shift,BasedPermutation,8,,,62345553.0,ns,9959928
permutation__cmp__shift,BasedPermutation,8,,,64290404.0,ns,10110836
permutation__cmp__shift,BasedPermutation,8,,,64865250.0,ns,10261744
permutation__cmp__shift,BasedPermutation,8,,,70274170.0,ns,10412652
permutation__cmp__shift,BasedPermutation,8,,,66890807.0,ns,10563560
permutation__cmp__shift,BasedPermutation,8,,,66857483.0,ns,10714468
permutation__cmp__shift,BasedPermutation,8,,,67604407.0,ns,10865376
permutation__cmp__shift,BasedPermutation,8,,,68333462.0,ns,11016284
permutation__cmp__shift,BasedPermutation,8,,,70687340.0,ns,11167192
permutation__cmp__shift,BasedPermutation,8,,,77314341.0,ns,11318100
permutation__cmp__shift,BasedPermutation,8,,,72753196.0,ns,11469008
permutation__cmp__shift,BasedPermutation,8,,,73392545.0,ns,11619916
permutation__cmp__shift,BasedPermutation,8,,,79430700.0,ns,11770824
permutation__cmp__shift,BasedPermutation,8,,,74290213.0,ns,11921732
permutation__cmp__shift,BasedPermutation,8,,,73808876.0,ns,12072640
permutation__cmp__shift,BasedPermutation,8,,,75199481.0,ns,12223548
