group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__shift,MapPermutation,16,,,1001666.0,ns,1265
permutation__cmp__shift,MapPermutation,16,,,1869824.0,ns,2530
permutation__cmp__shift,MapPermutation,16,,,3014400.0,ns,3795
permutation__cmp__shift,MapPermutation,16,,,3755549.0,ns,5060
permutation__cmp__shift,MapPermutation,16,,,5020932.0,ns,6325
permutation__cmp__shift,MapPermutation,16,,,6031299.0,ns,7590
permutation__cmp__shift,MapPermutation,16,,,7028066.0,ns,8855
permutation__cmp__shift,MapPermutation,16,,,8042833.0,ns,10120
permutation__cmp__shift,MapPermutation,16,,,8447060.0,ns,11385
permutation__cmp__shift,MapPermutation,16,,,9386723.0,ns,12650
permutation__cmp__shift,MapPermutation,16,,,10326985.0,ns,13915
permutation__cmp__shift,MapPermutation,16,,,9815151.0,ns,15180
permutation__cmp__shift,MapPermutation,16,,,11405356.0,ns,16445
permutation__cmp__shift,MapPermutation,16,,,13138371.0,ns,17710
permutation__cmp__shift,MapPermutation,16,,,13166673.0,ns,18975
permutation__cmp__shift,MapPermutation,16,,,14021230.0,ns,20240
permutation__cmp__shift,MapPermutation,16,,,17083533.0,ns,21505
permutation__cmp__shift,MapPermutation,16,,,16994527.0,ns,22770
permutation__cmp__shift,MapPermutation,16,,,19122168.0,ns,24035
permutation__cmp__shift,MapPermutation,16,,,18762844.0,ns,25300
permutation__cmp__shift,MapPermutation,16,,,17246044.0,ns,26565
permutation__cmp__shift,MapPermutation,16,,,22067463.0,ns,27830
permutation__cmp__shift,MapPermutation,16,,,18896053.0,ns,29095
permutation__cmp__shift,MapPermutation,16,,,24126299.0,ns,30360
permutation__cmp__shift,MapPermutation,16,,,25105665.0,ns,31625
permutation__cmp__shift,MapPermutation,16,,,26126933.0,ns,32890
permutation__cmp__shift,MapPermutation,16,,,27121798.0,ns,34155
permutation__cmp__shift,MapPermutation,16,,,28137366.0,ns,35420
permutation__cmp__shift,MapPermutation,16,,,25475089.0,ns,36685
permutation__cmp__shift,MapPermutation,16,,,28194370.0,ns,37950
permutation__cmp__shift,MapPermutation,16,,,31162766.0,ns,39215
permutation__cmp__shift,MapPermutation,16,,,30021691.0,ns,40480
permutation__cmp__shift,MapPermutation,16,,,33128197.0,ns,41745
permutation__cmp__shift,MapPermutation,16,,,29837878.0,ns,43010
permutation__cmp__shift,MapPermutation,16,,,28757307.0,ns,44275
permutation__cmp__shift,MapPermutation,16,,,33789041.0,ns,45540
permutation__cmp__shift,MapPermutation,16,,,37132262.0,ns,46805
permutation__cmp__shift,MapPermutation,16,,,38171431.0,ns,48070
permutation__cmp__shift,MapPermutation,16,,,34211869.0,ns,49335
permutation__cmp__shift,MapPermutation,16,,,37574391.0,ns,50600
permutation__cmp__shift,MapPermutation,16,,,36003187.0,ns,51865
permutation__cmp__shift,MapPermutation,16,,,42200598.0,ns,53130
permutation__cmp__shift,MapPermutation,16,,,43195064.0,ns,54395
permutation__cmp__shift,MapPermutation,16,,,44201431.0,ns,55660
permutation__cmp__shift,MapPermutation,16,,,45248700.0,ns,56925
permutation__cmp__shift,MapPermutation,16,,,40380478.0,ns,58190
permutation__cmp__shift,MapPermutation,16,,,41219033.0,ns,59455
permutation__cmp__shift,MapPermutation,16,,,42088490.0,ns,60720
permutation__cmp__shift,MapPermutation,16,,,49251565.0,ns,61985
permutation__cmp__shift,MapPermutation,16,,,46984816.0,ns,63250
permutation__cmp__shift,MapPermutation,16,,,47914377.0,ns,64515
permutation__cmp__shift,MapPermutation,16,,,52257065.0,ns,65780
permutation__cmp__shift,MapPermutation,16,,,46530185.0,ns,67045
permutation__cmp__shift,MapPermutation,16,,,50682961.0,ns,68310
permutation__cmp__shift,MapPermutation,16,,,48242598.0,ns,69575
permutation__cmp__shift,MapPermutation,16,,,49077654.0,ns,70840
permutation__cmp__shift,MapPermutation,16,,,46767401.0,ns,72105
permutation__cmp__shift,MapPermutation,16,,,47541052.0,ns,73370
permutation__cmp__shift,MapPermutation,16,,,59295932.0,ns,74635
permutation__cmp__shift,MapPermutation,16,,,60303298.0,ns,75900
permutation__cmp__shift,MapPermutation,16,,,61188257.0,ns,77165
permutation__cmp__shift,MapPermutation,16,,,58203859.0,ns,78430
permutation__cmp__shift,MapPermutation,16,,,55286266.0,ns,79695
permutation__cmp__shift,MapPermutation,16,,,60161689.0,ns,80960
permutation__cmp__shift,MapPermutation,16,,,61037647.0,ns,82225
permutation__cmp__shift,MapPermutation,16,,,66299996.0,ns,83490
permutation__cmp__shift,MapPermutation,16,,,62926272.0,ns,84755
permutation__cmp__shift,MapPermutation,16,,,52285667.0,ns,86020
permutation__cmp__shift,MapPermutation,16,,,64849700.0,ns,87285
permutation__cmp__shift,MapPermutation,16,,,70313362.0,ns,88550
permutation__cmp__shift,MapPermutation,16,,,71362531.0,ns,89815
permutation__cmp__shift,MapPermutation,16,,,67686888.0,ns,91080
permutation__cmp__shift,MapPermutation,16,,,73346463.0,ns,92345
permutation__cmp__shift,MapPermutation,16,,,74362931.0,ns,93610
permutation__cmp__shift,MapPermutation,16,,,75376797.0,ns,94875
permutation__cmp__shift,MapPermutation,16,,,62427239.0,ns,96140
permutation__cmp__shift,MapPermutation,16,,,67578181.0,ns,97405
permutation__cmp__shift,MapPermutation,16,,,68464039.0,ns,98670
permutation__cmp__shift,MapPermutation,16,,,79308958.0,ns,99935
permutation__cmp__shift,MapPermutation,16,,,80379930.0,ns,101200
permutation__cmp__shift,MapPermutation,16,,,76055642.0,ns,102465
permutation__cmp__shift,MapPermutation,16,,,71955571.0,ns,103730
permutation__cmp__shift,MapPermutation,16,,,77891764.0,ns,104995
permutation__cmp__shift,MapPermutation,16,,,73640883.0,ns,106260
permutation__cmp__shift,MapPermutation,16,,,74513940.0,ns,107525
permutation__cmp__shift,MapPermutation,16,,,86360126.0,ns,108790
permutation__cmp__shift,MapPermutation,16,,,76254956.0,ns,110055
permutation__cmp__shift,MapPermutation,16,,,82551573.0,ns,111320
permutation__cmp__shift,MapPermutation,16,,,83579541.0,ns,112585
permutation__cmp__shift,MapPermutation,16,,,97562768.0,ns,113850
permutation__cmp__shift,MapPermutation,16,,,85437265.0,ns,115115
permutation__cmp__shift,MapPermutation,16,,,80725452.0,ns,116380
permutation__cmp__shift,MapPermutation,16,,,87340090.0,ns,117645
permutation__cmp__shift,MapPermutation,16,,,94421360.0,ns,118910
permutation__cmp__shift,MapPermutation,16,,,89142310.0,ns,120175
permutation__cmp__shift,MapPermutation,16,,,90404994.0,ns,121440
permutation__cmp__shift,MapPermutation,16,,,85097041.0,ns,122705
permutation__cmp__shift,MapPermutation,16,,,98498430.0,ns,123970
permutation__cmp__shift,MapPermutation,16,,,99446693.0,ns,125235
permutation__cmp__shift,MapPermutation,16,,,100459460.0,ns,126500
