group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__shift,MapPermutation,512,,,1044692.0,ns,17
permutation__cmp__shift,MapPermutation,512,,,2082184.0,ns,34
permutation__cmp__shift,MapPermutation,512,,,3104274.0,ns,51
permutation__cmp__shift,MapPermutation,512,,,4151867.0,ns,68
permutation__cmp__shift,MapPermutation,512,,,5208761.0,ns,85
permutation__cmp__shift,MapPermutation,512,,,6217549.0,ns,102
permutation__cmp__shift,MapPermutation,512,,,7190335.0,ns,119
permutation__cmp__shift,MapPermutation,512,,,8233628.0,ns,136
permutation__cmp__shift,MapPermutation,512,,,9269519.0,ns,153
permutation__cmp__shift,MapPermutation,512,,,10302210.0,ns,170
permutation__cmp__shift,MapPermutation,512,,,11351303.0,ns,187
permutation__cmp__shift,MapPermutation,512,,,12381194.0,ns,204
permutation__cmp__shift,MapPermutation,512,,,13324477.0,ns,221
permutation__cmp__shift,MapPermutation,512,,,14385772.0,ns,238
permutation__cmp__shift,MapPermutation,512,,,15391060.0,ns,255
permutation__cmp__shift,MapPermutation,512,,,16411650.0,ns,272
permutation__cmp__shift,MapPermutation,512,,,17551451.0,ns,289
permutation__cmp__shift,MapPermutation,512,,,18397326.0,ns,306
permutation__cmp__shift,MapPermutation,512,,,19478921.0,ns,323
permutation__cmp__shift,MapPermutation,512,,,20517213.0,ns,340
permutation__cmp__shift,MapPermutation,512,,,21372689.0,ns,357
permutation__cmp__shift,MapPermutation,512,,,22451884.0,ns,374
permutation__cmp__shift,MapPermutation,512,,,23569482.0,ns,391
permutation__cmp__shift,MapPermutation,512,,,24785289.0,ns,408
permutation__cmp__shift,MapPermutation,512,,,25656966.0,ns,425
permutation__cmp__shift,MapPermutation,512,,,26627252.0,ns,442
permutation__cmp__shift,MapPermutation,512,,,27739550.0,ns,459
permutation__cmp__shift,MapPermutation,512,,,29021963.0,ns,476
permutation__cmp__shift,MapPermutation,512,,,29736626.0,ns,493
permutation__cmp__shift,MapPermutation,512,,,30787319.0,ns,510
permutation__cmp__shift,MapPermutation,512,,,31840712.0,ns,527
permutation__cmp__shift,MapPermutation,512,,,32758794.0,ns,544
permutation__cmp__shift,MapPermutation,512,,,33975301.0,ns,561
permutation__cmp__shift,MapPermutation,512,,,34796773.0,ns,578
permutation__cmp__shift,MapPermutation,512,,,36012280.0,ns,595
permutation__cmp__shift,MapPermutation,512,,,36540828.0,ns,612
permutation__cmp__shift,MapPermutation,512,,,37916249.0,ns,629
permutation__cmp__shift,MapPermutation,512,,,38789626.0,ns,646
permutation__cmp__shift,MapPermutation,512,,,39970331.0,ns,663
permutation__cmp__shift,MapPermutation,512,,,41015022.0,ns,680
permutation__cmp__shift,MapPermutation,512,,,41982608.0,ns,697
permutation__cmp__shift,MapPermutation,512,,,43055402.0,ns,714
permutation__cmp__shift,MapPermutation,512,,,44043790.0,ns,731
permutation__cmp__shift,MapPermutation,512,,,44988773.0,ns,748
permutation__cmp__shift,MapPermutation,512,,,46181379.0,ns,765
permutation__cmp__shift,MapPermutation,512,,,47269375.0,ns,782
permutation__cmp__shift,MapPermutation,512,,,48170655.0,ns,799
permutation__cmp__shift,MapPermutation,512,,,49309355.0,ns,816
permutation__cmp__shift,MapPermutation,512,,,50502760.0,ns,833
permutation__cmp__shift,MapPermutation,512,,,51396039.0,ns,850
permutation__cmp__shift,MapPermutation,512,,,52369324.0,ns,867
permutation__cmp__shift,MapPermutation,512,,,53174894.0,ns,884
permutation__cmp__shift,MapPermutation,512,,,54358200.0,ns,901
permutation__cmp__shift,MapPermutation,512,,,55269979.0,ns,918
permutation__cmp__shift,MapPermutation,512,,,56071951.0,ns,935
permutation__cmp__shift,MapPermutation,512,,,57629088.0,ns,952
permutation__cmp__shift,MapPermutation,512,,,58487264.0,ns,969
permutation__cmp__shift,MapPermutation,512,,,59361241.0,ns,986
permutation__cmp__shift,MapPermutation,512,,,60784566.0,ns,1003
permutation__cmp__shift,MapPermutation,512,,,61087193.0,ns,1020
permutation__cmp__shift,MapPermutation,512,,,62836348.0,ns,1037
permutation__cmp__shift,MapPermutation,512,,,63075868.0,ns,1054
permutation__cmp__shift,MapPermutation,512,,,64696711.0,ns,1071
permutation__cmp__shift,MapPermutation,512,,,65294764.0,ns,1088
permutation__cmp__shift,MapPermutation,512,,,66328756.0,ns,1105
permutation__cmp__shift,MapPermutation,512,,,67478158.0,ns,1122
permutation__cmp__shift,MapPermutation,512,,,68284826.0,ns,1139
permutation__cmp__shift,MapPermutation,512,,,69669049.0,ns,1156
permutation__cmp__shift,MapPermutation,512,,,70326106.0,ns,1173
permutation__cmp__shift,MapPermutation,512,,,71814138.0,ns,1190
permutation__cmp__shift,MapPermutation,512,,,72662812.0,ns,1207
permutation__cmp__shift,MapPermutation,512,,,73223062.0,ns,1224
permutation__cmp__shift,MapPermutation,512,,,74886309.0,ns,1241
permutation__cmp__shift,MapPermutation,512,,,75712682.0,ns,1258
permutation__cmp__shift,MapPermutation,512,,,76966992.0,ns,1275
permutation__cmp__shift,MapPermutation,512,,,77751762.0,ns,1292
permutation__cmp__shift,MapPermutation,512,,,79310899.0,ns,1309
permutation__cmp__shift,MapPermutation,512,,,80182476.0,ns,1326
permutation__cmp__shift,MapPermutation,512,,,81245570.0,ns,1343
permutation__cmp__shift,MapPermutation,512,,,82032738.0,ns,1360
permutation__cmp__shift,MapPermutation,512,,,82841307.0,ns,1377
permutation__cmp__shift,MapPermutation,512,,,83974707.0,ns,1394
permutation__cmp__shift,MapPermutation,512,,,84896789.0,ns,1411
permutation__cmp__shift,MapPermutation,512,,,85574349.0,ns,1428
