group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__shift,StandardPermutation,128,,,1002170.0,ns,3407
permutation__cmp__shift,StandardPermutation,128,,,2012141.0,ns,6814
permutation__cmp__shift,StandardPermutation,128,,,3008112.0,ns,10221
permutation__cmp__shift,StandardPermutation,128,,,4018283.0,ns,13628
permutation__cmp__shift,StandardPermutation,128,,,5061456.0,ns,17035
permutation__cmp__shift,StandardPermutation,128,,,6054225.0,ns,20442
permutation__cmp__shift,StandardPermutation,128,,,7008393.0,ns,23849
permutation__cmp__shift,StandardPermutation,128,,,7938458.0,ns,27256
permutation__cmp__shift,StandardPermutation,128,,,8885524.0,ns,30663
permutation__cmp__shift,StandardPermutation,128,,,9665679.0,ns,34070
permutation__cmp__shift,StandardPermutation,128,,,11031175.0,ns,37477
permutation__cmp__shift,StandardPermutation,128,,,12063248.0,ns,40884
permutation__cmp__shift,StandardPermutation,128,,,12997113.0,ns,44291
permutation__cmp__shift,StandardPermutation,128,,,13731965.0,ns,47698
permutation__cmp__shift,StandardPermutation,128,,,14881746.0,ns,51105
permutation__cmp__shift,StandardPermutation,128,,,15804812.0,ns,54512
permutation__cmp__shift,StandardPermutation,128,,,17048899.0,ns,57919
permutation__cmp__shift,StandardPermutation,128,,,17765549.0,ns,61326
permutation__cmp__shift,StandardPermutation,128,,,19077341.0,ns,64733
permutation__cmp__shift,StandardPermutation,128,,,19887299.0,ns,68140
permutation__cmp__shift,StandardPermutation,128,,,20927172.0,ns,71547
permutation__cmp__shift,StandardPermutation,128,,,21349301.0,ns,74954
permutation__cmp__shift,StandardPermutation,128,,,22049051.0,ns,78361
permutation__cmp__shift,StandardPermutation,128,,,23340241.0,ns,81768
permutation__cmp__shift,StandardPermutation,128,,,24331010.0,ns,85175
permutation__cmp__shift,StandardPermutation,128,,,26188741.0,ns,88582
permutation__cmp__shift,StandardPermutation,128,,,28426098.0,ns,91989
permutation__cmp__shift,StandardPermutation,128,,,29635083.0,ns,95396
permutation__cmp__shift,StandardPermutation,128,,,29744491.0,ns,98803
permutation__cmp__shift,StandardPermutation,128,,,30320032.0,ns,102210
permutation__cmp__shift,StandardPermutation,128,,,31153990.0,ns,105617
permutation__cmp__shift,StandardPermutation,128,,,31963647.0,ns,109024
permutation__cmp__shift,StandardPermutation,128,,,33082926.0,ns,112431
permutation__cmp__shift,StandardPermutation,128,,,34027092.0,ns,115838
permutation__cmp__shift,StandardPermutation,128,,,34382917.0,ns,119245
permutation__cmp__shift,StandardPermutation,128,,,35369186.0,ns,122652
permutation__cmp__shift,StandardPermutation,128,,,36086537.0,ns,126059
permutation__cmp__shift,StandardPermutation,128,,,37643747.0,ns,129466
permutation__cmp__shift,StandardPermutation,128,,,37121110.0,ns,132873
permutation__cmp__shift,StandardPermutation,128,,,40246630.0,ns,136280
