group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__shift,StandardPermutation,8,,,1002076.0,ns,8056
permutation__cmp__shift,StandardPermutation,8,,,1947547.0,ns,16112
permutation__cmp__shift,StandardPermutation,8,,,2882517.0,ns,24168
permutation__cmp__shift,StandardPermutation,8,,,4060106.0,ns,32224
permutation__cmp__shift,StandardPermutation,8,,,5003577.0,ns,40280
permutation__cmp__shift,StandardPermutation,8,,,5998252.0,ns,48336
permutation__cmp__shift,StandardPermutation,8,,,6964925.0,ns,56392
permutation__cmp__shift,StandardPermutation,8,,,7967900.0,ns,64448
permutation__cmp__shift,StandardPermutation,8,,,9042282.0,ns,72504
permutation__cmp__shift,StandardPermutation,8,,,10026856.0,ns,80560
permutation__cmp__shift,StandardPermutation,8,,,10862318.0,ns,88616
permutation__cmp__shift,StandardPermutation,8,,,11896097.0,ns,96672
permutation__cmp__shift,StandardPermutation,8,,,12943775.0,ns,104728
permutation__cmp__shift,StandardPermutation,8,,,13977253.0,ns,112784
permutation__cmp__shift,StandardPermutation,8,,,15008131.0,ns,120840
permutation__cmp__shift,StandardPermutation,8,,,15887298.0,ns,128896
permutation__cmp__shift,StandardPermutation,8,,,16952777.0,ns,136952
permutation__cmp__shift,StandardPermutation,8,,,17790041.0,ns,145008
permutation__cmp__shift,StandardPermutation,8,,,19011833.0,ns,153064
permutation__cmp__shift,StandardPermutation,8,,,19955504.0,ns,161120
permutation__cmp__shift,StandardPermutation,8,,,21047986.0,ns,169176
permutation__cmp__shift,StandardPermutation,8,,,21717537.0,ns,177232
permutation__cmp__shift,StandardPermutation,8,,,21932253.0,ns,185288
permutation__cmp__shift,StandardPermutation,8,,,23605779.0,ns,193344
permutation__cmp__shift,StandardPermutation,8,,,24897177.0,ns,201400
permutation__cmp__shift,StandardPermutation,8,,,26260179.0,ns,209456
permutation__cmp__shift,StandardPermutation,8,,,25983458.0,ns,217512
permutation__cmp__shift,StandardPermutation,8,,,27677886.0,ns,225568
permutation__cmp__shift,StandardPermutation,8,,,27700988.0,ns,233624
permutation__cmp__shift,StandardPermutation,8,,,29848350.0,ns,241680
permutation__cmp__shift,StandardPermutation,8,,,31452470.0,ns,249736
permutation__cmp__shift,StandardPermutation,8,,,31585981.0,ns,257792
permutation__cmp__shift,StandardPermutation,8,,,32278532.0,ns,265848
permutation__cmp__shift,StandardPermutation,8,,,33873953.0,ns,273904
permutation__cmp__shift,StandardPermutation,8,,,34851227.0,ns,281960
permutation__cmp__shift,StandardPermutation,8,,,35693690.0,ns,290016
permutation__cmp__shift,StandardPermutation,8,,,36901181.0,ns,298072
permutation__cmp__shift,StandardPermutation,8,,,37986763.0,ns,306128
permutation__cmp__shift,StandardPermutation,8,,,38752821.0,ns,314184
permutation__cmp__shift,StandardPermutation,8,,,39250758.0,ns,322240
permutation__cmp__shift,StandardPermutation,8,,,40613361.0,ns,330296
permutation__cmp__shift,StandardPermutation,8,,,40889782.0,ns,338352
permutation__cmp__shift,StandardPermutation,8,,,42069370.0,ns,346408
permutation__cmp__shift,StandardPermutation,8,,,43039743.0,ns,354464
permutation__cmp__shift,StandardPermutation,8,,,43593686.0,ns,362520
permutation__cmp__shift,StandardPermutation,8,,,44098323.0,ns,370576
permutation__cmp__shift,StandardPermutation,8,,,46697920.0,ns,378632
permutation__cmp__shift,StandardPermutation,8,,,47653391.0,ns,386688
permutation__cmp__shift,StandardPermutation,8,,,48543659.0,ns,394744
permutation__cmp__shift,StandardPermutation,8,,,48800678.0,ns,402800
permutation__cmp__shift,StandardPermutation,8,,,50798228.0,ns,410856
permutation__cmp__shift,StandardPermutation,8,,,51378573.0,ns,418912
