group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__shift,SyncPermutation,64,,,989699.0,ns,2015
permutation__cmp__shift,SyncPermutation,64,,,1982698.0,ns,4030
permutation__cmp__shift,SyncPermutation,64,,,2970097.0,ns,6045
permutation__cmp__shift,SyncPermutation,64,,,3958895.0,ns,8060
permutation__cmp__shift,SyncPermutation,64,,,4946794.0,ns,10075
permutation__cmp__shift,SyncPermutation,64,,,6253625.0,ns,12090
permutation__cmp__shift,SyncPermutation,64,,,7048105.0,ns,14105
permutation__cmp__shift,SyncPermutation,64,,,8058006.0,ns,16120
permutation__cmp__shift,SyncPermutation,64,,,9069507.0,ns,18135
permutation__cmp__shift,SyncPermutation,64,,,10068506.0,ns,20150
permutation__cmp__shift,SyncPermutation,64,,,11081508.0,ns,22165
permutation__cmp__shift,SyncPermutation,64,,,12083808.0,ns,24180
permutation__cmp__shift,SyncPermutation,64,,,13193620.0,ns,26195
permutation__cmp__shift,SyncPermutation,64,,,14128913.0,ns,28210
permutation__cmp__shift,SyncPermutation,64,,,15104010.0,ns,30225
permutation__cmp__shift,SyncPermutation,64,,,16117912.0,ns,32240
permutation__cmp__shift,SyncPermutation,64,,,17124312.0,ns,34255
permutation__cmp__shift,SyncPermutation,64,,,18125212.0,ns,36270
permutation__cmp__shift,SyncPermutation,64,,,19130613.0,ns,38285
permutation__cmp__shift,SyncPermutation,64,,,20141214.0,ns,40300
permutation__cmp__shift,SyncPermutation,64,,,21149815.0,ns,42315
permutation__cmp__shift,SyncPermutation,64,,,22155516.0,ns,44330
permutation__cmp__shift,SyncPermutation,64,,,23164916.0,ns,46345
permutation__cmp__shift,SyncPermutation,64,,,24176317.0,ns,48360
permutation__cmp__shift,SyncPermutation,64,,,25213321.0,ns,50375
permutation__cmp__shift,SyncPermutation,64,,,26187218.0,ns,52390
permutation__cmp__shift,SyncPermutation,64,,,27207920.0,ns,54405
permutation__cmp__shift,SyncPermutation,64,,,28204220.0,ns,56420
permutation__cmp__shift,SyncPermutation,64,,,29209220.0,ns,58435
permutation__cmp__shift,SyncPermutation,64,,,30210121.0,ns,60450
permutation__cmp__shift,SyncPermutation,64,,,31230921.0,ns,62465
permutation__cmp__shift,SyncPermutation,64,,,32226120.0,ns,64480
