group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__shift,SyncPermutation,8,,,1025478.0,ns,3863
permutation__cmp__shift,SyncPermutation,8,,,2033653.0,ns,7726
permutation__cmp__shift,SyncPermutation,8,,,3035929.0,ns,11589
permutation__cmp__shift,SyncPermutation,8,,,3833989.0,ns,15452
permutation__cmp__shift,SyncPermutation,8,,,4847966.0,ns,19315
permutation__cmp__shift,SyncPermutation,8,,,6056057.0,ns,23178
permutation__cmp__shift,SyncPermutation,8,,,7038432.0,ns,27041
permutation__cmp__shift,SyncPermutation,8,,,8091811.0,ns,30904
permutation__cmp__shift,SyncPermutation,8,,,9096786.0,ns,34767
permutation__cmp__shift,SyncPermutation,8,,,9807941.0,ns,38630
permutation__cmp__shift,SyncPermutation,8,,,11144641.0,ns,42493
permutation__cmp__shift,SyncPermutation,8,,,11831293.0,ns,46356
permutation__cmp__shift,SyncPermutation,8,,,13216698.0,ns,50219
permutation__cmp__shift,SyncPermutation,8,,,13928651.0,ns,54082
permutation__cmp__shift,SyncPermutation,8,,,15195947.0,ns,57945
permutation__cmp__shift,SyncPermutation,8,,,16243927.0,ns,61808
permutation__cmp__shift,SyncPermutation,8,,,16307931.0,ns,65671
permutation__cmp__shift,SyncPermutation,8,,,18290680.0,ns,69534
permutation__cmp__shift,SyncPermutation,8,,,18761016.0,ns,73397
permutation__cmp__shift,SyncPermutation,8,,,19442067.0,ns,77260
permutation__cmp__shift,SyncPermutation,8,,,21489322.0,ns,81123
permutation__cmp__shift,SyncPermutation,8,,,22289883.0,ns,84986
permutation__cmp__shift,SyncPermutation,8,,,23160348.0,ns,88849
permutation__cmp__shift,SyncPermutation,8,,,23832999.0,ns,92712
permutation__cmp__shift,SyncPermutation,8,,,24566155.0,ns,96575
permutation__cmp__shift,SyncPermutation,8,,,25683938.0,ns,100438
permutation__cmp__shift,SyncPermutation,8,,,27100046.0,ns,104301
permutation__cmp__shift,SyncPermutation,8,,,27136348.0,ns,108164
permutation__cmp__shift,SyncPermutation,8,,,28963187.0,ns,112027
permutation__cmp__shift,SyncPermutation,8,,,30280685.0,ns,115890
permutation__cmp__shift,SyncPermutation,8,,,30721119.0,ns,119753
permutation__cmp__shift,SyncPermutation,8,,,31105648.0,ns,123616
permutation__cmp__shift,SyncPermutation,8,,,32900484.0,ns,127479
permutation__cmp__shift,SyncPermutation,8,,,32804576.0,ns,131342
permutation__cmp__shift,SyncPermutation,8,,,34774025.0,ns,135205
permutation__cmp__shift,SyncPermutation,8,,,35052646.0,ns,139068
permutation__cmp__shift,SyncPermutation,8,,,36324142.0,ns,142931
permutation__cmp__shift,SyncPermutation,8,,,36803078.0,ns,146794
permutation__cmp__shift,SyncPermutation,8,,,38809830.0,ns,150657
permutation__cmp__shift,SyncPermutation,8,,,40301842.0,ns,154520
permutation__cmp__shift,SyncPermutation,8,,,41564637.0,ns,158383
permutation__cmp__shift,SyncPermutation,8,,,42462505.0,ns,162246
permutation__cmp__shift,SyncPermutation,8,,,42748927.0,ns,166109
permutation__cmp__shift,SyncPermutation,8,,,44266342.0,ns,169972
permutation__cmp__shift,SyncPermutation,8,,,44094928.0,ns,173835
permutation__cmp__shift,SyncPermutation,8,,,46285894.0,ns,177698
permutation__cmp__shift,SyncPermutation,8,,,47596093.0,ns,181561
permutation__cmp__shift,SyncPermutation,8,,,48168036.0,ns,185424
permutation__cmp__shift,SyncPermutation,8,,,48591768.0,ns,189287
permutation__cmp__shift,SyncPermutation,8,,,49605744.0,ns,193150
permutation__cmp__shift,SyncPermutation,8,,,50996149.0,ns,197013
permutation__cmp__shift,SyncPermutation,8,,,52337350.0,ns,200876
permutation__cmp__shift,SyncPermutation,8,,,53793361.0,ns,204739
permutation__cmp__shift,SyncPermutation,8,,,54222893.0,ns,208602
permutation__cmp__shift,SyncPermutation,8,,,54977250.0,ns,212465
permutation__cmp__shift,SyncPermutation,8,,,54556318.0,ns,216328
permutation__cmp__shift,SyncPermutation,8,,,56378055.0,ns,220191
permutation__cmp__shift,SyncPermutation,8,,,54087583.0,ns,224054
permutation__cmp__shift,SyncPermutation,8,,,59457488.0,ns,227917
permutation__cmp__shift,SyncPermutation,8,,,60778888.0,ns,231780
permutation__cmp__shift,SyncPermutation,8,,,61728960.0,ns,235643
permutation__cmp__shift,SyncPermutation,8,,,62352406.0,ns,239506
