group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__shift,WordPermutation,64,,,1007270.0,ns,4318
permutation__cmp__shift,WordPermutation,64,,,1997638.0,ns,8636
permutation__cmp__shift,WordPermutation,64,,,3000808.0,ns,12954
permutation__cmp__shift,WordPermutation,64,,,4022680.0,ns,17272
permutation__cmp__shift,WordPermutation,64,,,4942743.0,ns,21590
permutation__cmp__shift,WordPermutation,64,,,5904510.0,ns,25908
permutation__cmp__shift,WordPermutation,64,,,6995786.0,ns,30226
permutation__cmp__shift,WordPermutation,64,,,8490790.0,ns,34544
permutation__cmp__shift,WordPermutation,64,,,9046728.0,ns,38862
permutation__cmp__shift,WordPermutation,64,,,9360850.0,ns,43180
permutation__cmp__shift,WordPermutation,64,,,10585635.0,ns,47498
permutation__cmp__shift,WordPermutation,64,,,11536402.0,ns,51816
permutation__cmp__shift,WordPermutation,64,,,12695082.0,ns,56134
permutation__cmp__shift,WordPermutation,64,,,12969401.0,ns,60452
permutation__cmp__shift,WordPermutation,64,,,14600014.0,ns,64770
permutation__cmp__shift,WordPermutation,64,,,15973510.0,ns,69088
permutation__cmp__shift,WordPermutation,64,,,16873372.0,ns,73406
permutation__cmp__shift,WordPermutation,64,,,17527618.0,ns,77724
permutation__cmp__shift,WordPermutation,64,,,18436781.0,ns,82042
permutation__cmp__shift,WordPermutation,64,,,19435450.0,ns,86360
permutation__cmp__shift,WordPermutation,64,,,20550627.0,ns,90678
permutation__cmp__shift,WordPermutation,64,,,21521995.0,ns,94996
permutation__cmp__shift,WordPermutation,64,,,22355052.0,ns,99314
permutation__cmp__shift,WordPermutation,64,,,23191010.0,ns,103632
permutation__cmp__shift,WordPermutation,64,,,24247984.0,ns,107950
permutation__cmp__shift,WordPermutation,64,,,25972204.0,ns,112268
permutation__cmp__shift,WordPermutation,64,,,26164318.0,ns,116586
permutation__cmp__shift,WordPermutation,64,,,27870736.0,ns,120904
permutation__cmp__shift,WordPermutation,64,,,28841303.0,ns,125222
permutation__cmp__shift,WordPermutation,64,,,29810871.0,ns,129540
permutation__cmp__shift,WordPermutation,64,,,31009254.0,ns,133858
permutation__cmp__shift,WordPermutation,64,,,31908317.0,ns,138176
permutation__cmp__shift,WordPermutation,64,,,32159033.0,ns,142494
permutation__cmp__shift,WordPermutation,64,,,33700840.0,ns,146812
permutation__cmp__shift,WordPermutation,64,,,34117469.0,ns,151130
permutation__cmp__shift,WordPermutation,64,,,35770484.0,ns,155448
permutation__cmp__shift,WordPermutation,64,,,37027672.0,ns,159766
permutation__cmp__shift,WordPermutation,64,,,38016840.0,ns,164084
permutation__cmp__shift,WordPermutation,64,,,38894302.0,ns,168402
permutation__cmp__shift,WordPermutation,64,,,39793864.0,ns,172720
permutation__cmp__shift,WordPermutation,64,,,40611721.0,ns,177038
permutation__cmp__shift,WordPermutation,64,,,40024380.0,ns,181356
permutation__cmp__shift,WordPermutation,64,,,42943382.0,ns,185674
permutation__cmp__shift,WordPermutation,64,,,42909480.0,ns,189992
permutation__cmp__shift,WordPermutation,64,,,43664233.0,ns,194310
permutation__cmp__shift,WordPermutation,64,,,45570966.0,ns,198628
permutation__cmp__shift,WordPermutation,64,,,45764979.0,ns,202946
permutation__cmp__shift,WordPermutation,64,,,47854324.0,ns,207264
permutation__cmp__shift,WordPermutation,64,,,48585775.0,ns,211582
permutation__cmp__shift,WordPermutation,64,,,47615907.0,ns,215900
permutation__cmp__shift,WordPermutation,64,,,48743486.0,ns,220218
permutation__cmp__shift,WordPermutation,64,,,51293163.0,ns,224536
permutation__cmp__shift,WordPermutation,64,,,52429342.0,ns,228854
permutation__cmp__shift,WordPermutation,64,,,53153392.0,ns,233172
permutation__cmp__shift,WordPermutation,64,,,54273470.0,ns,237490
permutation__cmp__shift,WordPermutation,64,,,54951917.0,ns,241808
permutation__cmp__shift,WordPermutation,64,,,56439020.0,ns,246126
permutation__cmp__shift,WordPermutation,64,,,56471123.0,ns,250444
permutation__cmp__shift,WordPermutation,64,,,57395286.0,ns,254762
permutation__cmp__shift,WordPermutation,64,,,59558137.0,ns,259080
permutation__cmp__shift,WordPermutation,64,,,60329590.0,ns,263398
permutation__cmp__shift,WordPermutation,64,,,61526774.0,ns,267716
permutation__cmp__shift,WordPermutation,64,,,62899769.0,ns,272034
permutation__cmp__shift,WordPermutation,64,,,63518912.0,ns,276352
permutation__cmp__shift,WordPermutation,64,,,64628489.0,ns,280670
permutation__cmp__shift,WordPermutation,64,,,65745967.0,ns,284988
permutation__cmp__shift,WordPermutation,64,,,66929449.0,ns,289306
permutation__cmp__shift,WordPermutation,64,,,67658700.0,ns,293624
permutation__cmp__shift,WordPermutation,64,,,68753375.0,ns,297942
permutation__cmp__shift,WordPermutation,64,,,69209107.0,ns,302260
permutation__cmp__shift,WordPermutation,64,,,69813249.0,ns,306578
permutation__cmp__shift,WordPermutation,64,,,70358187.0,ns,310896
permutation__cmp__shift,WordPermutation,64,,,73119879.0,ns,315214
permutation__cmp__shift,WordPermutation,64,,,73998640.0,ns,319532
permutation__cmp__shift,WordPermutation,64,,,73297892.0,ns,323850
permutation__cmp__shift,WordPermutation,64,,,74852799.0,ns,328168
permutation__cmp__shift,WordPermutation,64,,,76555618.0,ns,332486
permutation__cmp__shift,WordPermutation,64,,,76571918.0,ns,336804
permutation__cmp__shift,WordPermutation,64,,,78037520.0,ns,341122
permutation__cmp__shift,WordPermutation,64,,,78728468.0,ns,345440
permutation__cmp__shift,WordPermutation,64,,,80525993.0,ns,349758
permutation__cmp__shift,WordPermutation,64,,,82208310.0,ns,354076
permutation__cmp__shift,WordPermutation,64,,,82773549.0,ns,358394
permutation__cmp__shift,WordPermutation,64,,,82061400.0,ns,362712
permutation__cmp__shift,WordPermutation,64,,,83949931.0,ns,367030
permutation__cmp__shift,WordPermutation,64,,,85812760.0,ns,371348
permutation__cmp__shift,WordPermutation,64,,,86491007.0,ns,375666
permutation__cmp__shift,WordPermutation,64,,,86768127.0,ns,379984
permutation__cmp__shift,WordPermutation,64,,,88634657.0,ns,384302
permutation__cmp__shift,WordPermutation,64,,,94114437.0,ns,388620
permutation__cmp__shift,WordPermutation,64,,,89921946.0,ns,392938
permutation__cmp__shift,WordPermutation,64,,,89421711.0,ns,397256
permutation__cmp__shift,WordPermutation,64,,,90408480.0,ns,401574
permutation__cmp__shift,WordPermutation,64,,,92614933.0,ns,405892
permutation__cmp__shift,WordPermutation,64,,,94327152.0,ns,410210
permutation__cmp__shift,WordPermutation,64,,,93745012.0,ns,414528
permutation__cmp__shift,WordPermutation,64,,,94075534.0,ns,418846
permutation__cmp__shift,WordPermutation,64,,,96815325.0,ns,423164
permutation__cmp__shift,WordPermutation,64,,,98611349.0,ns,427482
permutation__cmp__shift,WordPermutation,64,,,99312198.0,ns,431800
