group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__shift,WordPermutation,8,,,970672.0,ns,5657
permutation__cmp__shift,WordPermutation,8,,,2024550.0,ns,11314
permutation__cmp__shift,WordPermutation,8,,,3037724.0,ns,16971
permutation__cmp__shift,WordPermutation,8,,,4085402.0,ns,22628
permutation__cmp__shift,WordPermutation,8,,,4907263.0,ns,28285
permutation__cmp__shift,WordPermutation,8,,,6159355.0,ns,33942
permutation__cmp__shift,WordPermutation,8,,,6962114.0,ns,39599
permutation__cmp__shift,WordPermutation,8,,,8101899.0,ns,45256
permutation__cmp__shift,WordPermutation,8,,,9028867.0,ns,50913
permutation__cmp__shift,WordPermutation,8,,,9951835.0,ns,56570
permutation__cmp__shift,WordPermutation,8,,,11128922.0,ns,62227
permutation__cmp__shift,WordPermutation,8,,,12133597.0,ns,67884
permutation__cmp__shift,WordPermutation,8,,,13040563.0,ns,73541
permutation__cmp__shift,WordPermutation,8,,,13677311.0,ns,79198
permutation__cmp__shift,WordPermutation,8,,,15159720.0,ns,84855
permutation__cmp__shift,WordPermutation,8,,,16038184.0,ns,90512
permutation__cmp__shift,WordPermutation,8,,,17108064.0,ns,96169
permutation__cmp__shift,WordPermutation,8,,,17149567.0,ns,101826
permutation__cmp__shift,WordPermutation,8,,,19011205.0,ns,107483
permutation__cmp__shift,WordPermutation,8,,,20035980.0,ns,113140
permutation__cmp__shift,WordPermutation,8,,,20295799.0,ns,118797
permutation__cmp__shift,WordPermutation,8,,,21557092.0,ns,124454
permutation__cmp__shift,WordPermutation,8,,,23146210.0,ns,130111
permutation__cmp__shift,WordPermutation,8,,,23979472.0,ns,135768
permutation__cmp__shift,WordPermutation,8,,,25417277.0,ns,141425
permutation__cmp__shift,WordPermutation,8,,,25999021.0,ns,147082
permutation__cmp__shift,WordPermutation,8,,,27289616.0,ns,152739
permutation__cmp__shift,WordPermutation,8,,,28363996.0,ns,158396
permutation__cmp__shift,WordPermutation,8,,,29406772.0,ns,164053
permutation__cmp__shift,WordPermutation,8,,,30384845.0,ns,169710
permutation__cmp__shift,WordPermutation,8,,,31518729.0,ns,175367
permutation__cmp__shift,WordPermutation,8,,,32455897.0,ns,181024
permutation__cmp__shift,WordPermutation,8,,,33385567.0,ns,186681
permutation__cmp__shift,WordPermutation,8,,,34425643.0,ns,192338
permutation__cmp__shift,WordPermutation,8,,,35377214.0,ns,197995
permutation__cmp__shift,WordPermutation,8,,,36497096.0,ns,203652
permutation__cmp__shift,WordPermutation,8,,,37444466.0,ns,209309
permutation__cmp__shift,WordPermutation,8,,,38451741.0,ns,214966
permutation__cmp__shift,WordPermutation,8,,,39113890.0,ns,220623
permutation__cmp__shift,WordPermutation,8,,,39874845.0,ns,226280
permutation__cmp__shift,WordPermutation,8,,,40757311.0,ns,231937
permutation__cmp__shift,WordPermutation,8,,,42201618.0,ns,237594
permutation__cmp__shift,WordPermutation,8,,,43466611.0,ns,243251
permutation__cmp__shift,WordPermutation,8,,,44645699.0,ns,248908
permutation__cmp__shift,WordPermutation,8,,,45548565.0,ns,254565
permutation__cmp__shift,WordPermutation,8,,,46430230.0,ns,260222
permutation__cmp__shift,WordPermutation,8,,,47534211.0,ns,265879
permutation__cmp__shift,WordPermutation,8,,,48662195.0,ns,271536
permutation__cmp__shift,WordPermutation,8,,,49183434.0,ns,277193
permutation__cmp__shift,WordPermutation,8,,,50525333.0,ns,282850
permutation__cmp__shift,WordPermutation,8,,,49656968.0,ns,288507
permutation__cmp__shift,WordPermutation,8,,,51911835.0,ns,294164
permutation__cmp__shift,WordPermutation,8,,,52702494.0,ns,299821
permutation__cmp__shift,WordPermutation,8,,,52881906.0,ns,305478
permutation__cmp__shift,WordPermutation,8,,,54654938.0,ns,311135
permutation__cmp__shift,WordPermutation,8,,,56731391.0,ns,316792
permutation__cmp__shift,WordPermutation,8,,,56690488.0,ns,322449
permutation__cmp__shift,WordPermutation,8,,,57526449.0,ns,328106
permutation__cmp__shift,WordPermutation,8,,,59075565.0,ns,333763
permutation__cmp__shift,WordPermutation,8,,,58405114.0,ns,339420
permutation__cmp__shift,WordPermutation,8,,,60075939.0,ns,345077
permutation__cmp__shift,WordPermutation,8,,,62538020.0,ns,350734
permutation__cmp__shift,WordPermutation,8,,,63497191.0,ns,356391
permutation__cmp__shift,WordPermutation,8,,,63591098.0,ns,362048
permutation__cmp__shift,WordPermutation,8,,,64676378.0,ns,367705
permutation__cmp__shift,WordPermutation,8,,,65060506.0,ns,373362
permutation__cmp__shift,WordPermutation,8,,,66992049.0,ns,379019
permutation__cmp__shift,WordPermutation,8,,,66249995.0,ns,384676
permutation__cmp__shift,WordPermutation,8,,,68786681.0,ns,390333
permutation__cmp__shift,WordPermutation,8,,,68439256.0,ns,395990
permutation__cmp__shift,WordPermutation,8,,,71364173.0,ns,401647
permutation__cmp__shift,WordPermutation,8,,,70765027.0,ns,407304
permutation__cmp__shift,WordPermutation,8,,,72366547.0,ns,412961
permutation__cmp__shift,WordPermutation,8,,,74716219.0,ns,418618
permutation__cmp__shift,WordPermutation,8,,,73954664.0,ns,424275
permutation__cmp__shift,WordPermutation,8,,,75108749.0,ns,429932
permutation__cmp__shift,WordPermutation,8,,,75978113.0,ns,435589
permutation__cmp__shift,WordPermutation,8,,,76121523.0,ns,441246
permutation__cmp__shift,WordPermutation,8,,,78489599.0,ns,446903
permutation__cmp__shift,WordPermutation,8,,,79521774.0,ns,452560
permutation__cmp__shift,WordPermutation,8,,,80998083.0,ns,458217
permutation__cmp__shift,WordPermutation,8,,,80349036.0,ns,463874
permutation__cmp__shift,WordPermutation,8,,,82980131.0,ns,469531
permutation__cmp__shift,WordPermutation,8,,,84723859.0,ns,475188
permutation__cmp__shift,WordPermutation,8,,,85074885.0,ns,480845
permutation__cmp__shift,WordPermutation,8,,,85372207.0,ns,486502
permutation__cmp__shift,WordPermutation,8,,,87515765.0,ns,492159
permutation__cmp__shift,WordPermutation,8,,,86984026.0,ns,497816
permutation__cmp__shift,WordPermutation,8,,,89600119.0,ns,503473
permutation__cmp__shift,WordPermutation,8,,,88888766.0,ns,509130
permutation__cmp__shift,WordPermutation,8,,,91419554.0,ns,514787
permutation__cmp__shift,WordPermutation,8,,,91337148.0,ns,520444
permutation__cmp__shift,WordPermutation,8,,,93201085.0,ns,526101
permutation__cmp__shift,WordPermutation,8,,,93347596.0,ns,531758
permutation__cmp__shift,WordPermutation,8,,,95242936.0,ns,537415
permutation__cmp__shift,WordPermutation,8,,,96501230.0,ns,543072
permutation__cmp__shift,WordPermutation,8,,,97964837.0,ns,548729
permutation__cmp__shift,WordPermutation,8,,,97237483.0,ns,554386
permutation__cmp__shift,WordPermutation,8,,,97310989.0,ns,560043
permutation__cmp__shift,WordPermutation,8,,,95634565.0,ns,565700
