group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__simple_application,BasedPermutation,16,,,989864.0,ns,14864
permutation__cmp__simple_application,BasedPermutation,16,,,1970628.0,ns,29728
permutation__cmp__simple_application,BasedPermutation,16,,,2977995.0,ns,44592
permutation__cmp__simple_application,BasedPermutation,16,,,3955358.0,ns,59456
permutation__cmp__simple_application,BasedPermutation,16,,,5037130.0,ns,74320
permutation__cmp__simple_application,BasedPermutation,16,,,6032794.0,ns,89184
permutation__cmp__simple_application,BasedPermutation,16,,,6979056.0,ns,104048
permutation__cmp__simple_application,BasedPermutation,16,,,7958620.0,ns,118912
permutation__cmp__simple_application,BasedPermutation,16,,,8835677.0,ns,133776
permutation__cmp__simple_application,BasedPermutation,16,,,9730236.0,ns,148640
permutation__cmp__simple_application,BasedPermutation,16,,,10943515.0,ns,163504
permutation__cmp__simple_application,BasedPermutation,16,,,11839373.0,ns,178368
permutation__cmp__simple_application,BasedPermutation,16,,,12783535.0,ns,193232
permutation__cmp__simple_application,BasedPermutation,16,,,13962112.0,ns,208096
permutation__cmp__simple_application,BasedPermutation,16,,,15144489.0,ns,222960
permutation__cmp__simple_application,BasedPermutation,16,,,15361004.0,ns,237824
permutation__cmp__simple_application,BasedPermutation,16,,,16988910.0,ns,252688
permutation__cmp__simple_application,BasedPermutation,16,,,17755860.0,ns,267552
permutation__cmp__simple_application,BasedPermutation,16,,,18677420.0,ns,282416
permutation__cmp__simple_application,BasedPermutation,16,,,19735289.0,ns,297280
permutation__cmp__simple_application,BasedPermutation,16,,,19854197.0,ns,312144
permutation__cmp__simple_application,BasedPermutation,16,,,20915967.0,ns,327008
permutation__cmp__simple_application,BasedPermutation,16,,,21838926.0,ns,341872
permutation__cmp__simple_application,BasedPermutation,16,,,23227718.0,ns,356736
permutation__cmp__simple_application,BasedPermutation,16,,,24959130.0,ns,371600
permutation__cmp__simple_application,BasedPermutation,16,,,25745381.0,ns,386464
permutation__cmp__simple_application,BasedPermutation,16,,,27293583.0,ns,401328
permutation__cmp__simple_application,BasedPermutation,16,,,28231644.0,ns,416192
permutation__cmp__simple_application,BasedPermutation,16,,,28437558.0,ns,431056
permutation__cmp__simple_application,BasedPermutation,16,,,29979758.0,ns,445920
permutation__cmp__simple_application,BasedPermutation,16,,,30592399.0,ns,460784
permutation__cmp__simple_application,BasedPermutation,16,,,31593164.0,ns,475648
permutation__cmp__simple_application,BasedPermutation,16,,,32238706.0,ns,490512
permutation__cmp__simple_application,BasedPermutation,16,,,33295475.0,ns,505376
permutation__cmp__simple_application,BasedPermutation,16,,,34096328.0,ns,520240
permutation__cmp__simple_application,BasedPermutation,16,,,36258568.0,ns,535104
permutation__cmp__simple_application,BasedPermutation,16,,,36215766.0,ns,549968
permutation__cmp__simple_application,BasedPermutation,16,,,37766668.0,ns,564832
permutation__cmp__simple_application,BasedPermutation,16,,,39119255.0,ns,579696
permutation__cmp__simple_application,BasedPermutation,16,,,38801435.0,ns,594560
permutation__cmp__simple_application,BasedPermutation,16,,,39812001.0,ns,609424
permutation__cmp__simple_application,BasedPermutation,16,,,40829567.0,ns,624288
permutation__cmp__simple_application,BasedPermutation,16,,,43641651.0,ns,639152
permutation__cmp__simple_application,BasedPermutation,16,,,43972173.0,ns,654016
permutation__cmp__simple_application,BasedPermutation,16,,,44120982.0,ns,668880
permutation__cmp__simple_application,BasedPermutation,16,,,45090446.0,ns,683744
permutation__cmp__simple_application,BasedPermutation,16,,,46180017.0,ns,698608
permutation__cmp__simple_application,BasedPermutation,16,,,47550106.0,ns,713472
permutation__cmp__simple_application,BasedPermutation,16,,,48165847.0,ns,728336
permutation__cmp__simple_application,BasedPermutation,16,,,49393127.0,ns,743200
permutation__cmp__simple_application,BasedPermutation,16,,,49672645.0,ns,758064
permutation__cmp__simple_application,BasedPermutation,16,,,51233947.0,ns,772928
permutation__cmp__simple_application,BasedPermutation,16,,,52353520.0,ns,787792
permutation__cmp__simple_application,BasedPermutation,16,,,52346220.0,ns,802656
permutation__cmp__simple_application,BasedPermutation,16,,,52843952.0,ns,817520
permutation__cmp__simple_application,BasedPermutation,16,,,55464923.0,ns,832384
permutation__cmp__simple_application,BasedPermutation,16,,,56523593.0,ns,847248
permutation__cmp__simple_application,BasedPermutation,16,,,57842579.0,ns,862112
permutation__cmp__simple_application,BasedPermutation,16,,,57806676.0,ns,876976
permutation__cmp__simple_application,BasedPermutation,16,,,59493487.0,ns,891840
permutation__cmp__simple_application,BasedPermutation,16,,,60336241.0,ns,906704
permutation__cmp__simple_application,BasedPermutation,16,,,61735533.0,ns,921568
permutation__cmp__simple_application,BasedPermutation,16,,,62540286.0,ns,936432
permutation__cmp__simple_application,BasedPermutation,16,,,62399676.0,ns,951296
permutation__cmp__simple_application,BasedPermutation,16,,,62841006.0,ns,966160
permutation__cmp__simple_application,BasedPermutation,16,,,63747164.0,ns,981024
permutation__cmp__simple_application,BasedPermutation,16,,,66193124.0,ns,995888
permutation__cmp__simple_application,BasedPermutation,16,,,66323233.0,ns,1010752
permutation__cmp__simple_application,BasedPermutation,16,,,67833631.0,ns,1025616
permutation__cmp__simple_application,BasedPermutation,16,,,68378366.0,ns,1040480
permutation__cmp__simple_application,BasedPermutation,16,,,70224587.0,ns,1055344
permutation__cmp__simple_application,BasedPermutation,16,,,71331360.0,ns,1070208
permutation__cmp__simple_application,BasedPermutation,16,,,72485835.0,ns,1085072
permutation__cmp__simple_application,BasedPermutation,16,,,73043372.0,ns,1099936
permutation__cmp__simple_application,BasedPermutation,16,,,73394595.0,ns,1114800
permutation__cmp__simple_application,BasedPermutation,16,,,75670543.0,ns,1129664
permutation__cmp__simple_application,BasedPermutation,16,,,75896958.0,ns,1144528
permutation__cmp__simple_application,BasedPermutation,16,,,77797283.0,ns,1159392
permutation__cmp__simple_application,BasedPermutation,16,,,75764549.0,ns,1174256
permutation__cmp__simple_application,BasedPermutation,16,,,79342583.0,ns,1189120
permutation__cmp__simple_application,BasedPermutation,16,,,79582998.0,ns,1203984
permutation__cmp__simple_application,BasedPermutation,16,,,80811979.0,ns,1218848
permutation__cmp__simple_application,BasedPermutation,16,,,81698628.0,ns,1233712
permutation__cmp__simple_application,BasedPermutation,16,,,82311868.0,ns,1248576
permutation__cmp__simple_application,BasedPermutation,16,,,84167697.0,ns,1263440
permutation__cmp__simple_application,BasedPermutation,16,,,85015557.0,ns,1278304
permutation__cmp__simple_application,BasedPermutation,16,,,84625429.0,ns,1293168
permutation__cmp__simple_application,BasedPermutation,16,,,86763279.0,ns,1308032
permutation__cmp__simple_application,BasedPermutation,16,,,88491401.0,ns,1322896
permutation__cmp__simple_application,BasedPermutation,16,,,88972934.0,ns,1337760
permutation__cmp__simple_application,BasedPermutation,16,,,87883758.0,ns,1352624
permutation__cmp__simple_application,BasedPermutation,16,,,90481040.0,ns,1367488
permutation__cmp__simple_application,BasedPermutation,16,,,92400474.0,ns,1382352
permutation__cmp__simple_application,BasedPermutation,16,,,92233563.0,ns,1397216
permutation__cmp__simple_application,BasedPermutation,16,,,93223733.0,ns,1412080
permutation__cmp__simple_application,BasedPermutation,16,,,93209331.0,ns,1426944
permutation__cmp__simple_application,BasedPermutation,16,,,97140707.0,ns,1441808
permutation__cmp__simple_application,BasedPermutation,16,,,97007997.0,ns,1456672
permutation__cmp__simple_application,BasedPermutation,16,,,98984536.0,ns,1471536
permutation__cmp__simple_application,BasedPermutation,16,,,99391565.0,ns,1486400
